,year,cosine_similarity
0,1985,[[0.44355919]]
1,1943,[[0.38154681]]
2,1993,[[0.43172092]]
3,1995,[[0.43170426]]
4,1958,[[0.35915192]]
5,1983,[[0.45081666]]
6,1919,[[0.4084405]]
7,1975,[[0.43137218]]
8,1960,[[0.38348364]]
9,1922,[[0.44651098]]
10,1928,[[0.42878704]]
11,2006,[[0.4419788]]
12,1972,[[0.4257356]]
13,1908,[[0.42483912]]
14,1916,[[0.40864026]]
15,1913,[[0.44759638]]
16,1987,[[0.42358221]]
17,1971,[[0.37879458]]
18,1906,[[0.4114491]]
19,1924,[[0.43049199]]
20,1955,[[0.37913363]]
21,1954,[[0.38152839]]
22,1956,[[0.37020831]]
23,1900,[[0.50178946]]
24,1948,[[0.42981125]]
25,2004,[[0.45646634]]
26,1978,[[0.47494273]]
27,1999,[[0.47191298]]
28,1998,[[0.4361776]]
29,1934,[[0.38888248]]
30,1997,[[0.43572242]]
31,2001,[[0.44043324]]
32,1991,[[0.46252724]]
33,1903,[[0.46314094]]
34,1962,[[0.35045184]]
35,1970,[[0.40977251]]
36,1921,[[0.42515054]]
37,1917,[[0.43805092]]
38,1923,[[0.43065171]]
39,1949,[[0.40007876]]
40,1905,[[0.44493299]]
41,1914,[[0.48999467]]
42,2009,[[0.46537599]]
43,1912,[[0.43259149]]
44,1994,[[0.44530256]]
45,1935,[[0.44717487]]
46,1984,[[0.47189416]]
47,1952,[[0.3991165]]
48,1989,[[0.40850527]]
49,1929,[[0.49423079]]
50,2005,[[0.43754081]]
51,1996,[[0.47420046]]
52,1911,[[0.47040102]]
53,1933,[[0.40653452]]
54,1982,[[0.44280768]]
55,1904,[[0.49410842]]
56,1964,[[0.39311155]]
57,1941,[[0.39085907]]
58,1979,[[0.45235057]]
59,1907,[[0.46875909]]
60,1992,[[0.37501565]]
61,1926,[[0.34776729]]
62,1976,[[0.41791052]]
63,1986,[[0.39850547]]
64,1957,[[0.36574721]]
65,1947,[[0.44691261]]
66,1920,[[0.41792409]]
67,1968,[[0.43217504]]
68,1946,[[0.44916167]]
69,1961,[[0.39441049]]
70,2002,[[0.46133648]]
71,1932,[[0.46423241]]
72,1980,[[0.44867067]]
73,1977,[[0.43764439]]
74,1902,[[0.40147205]]
75,1931,[[0.44482811]]
76,2007,[[0.43295995]]
77,1918,[[0.45783635]]
78,1990,[[0.41865695]]
79,1939,[[0.34094353]]
80,1925,[[0.46204236]]
81,1910,[[0.43073497]]
82,1944,[[0.39966237]]
83,1940,[[0.36085479]]
84,1945,[[0.3664698]]
85,1969,[[0.38428191]]
86,1973,[[0.4311838]]
87,2003,[[0.47756902]]
88,1959,[[0.3738883]]
89,1966,[[0.43229594]]
90,1915,[[0.44823383]]
91,1942,[[0.37318303]]
92,1951,[[0.37616769]]
93,1901,[[0.37530903]]
94,1930,[[0.46297554]]
95,1967,[[0.39966249]]
96,1963,[[0.41462824]]
97,1981,[[0.46349904]]
98,1938,[[0.43963131]]
99,1974,[[0.44320376]]
100,2000,[[0.43852132]]
101,1950,[[0.38914966]]
102,1927,[[0.44080259]]
103,1937,[[0.38697316]]
104,1936,[[0.44834852]]
105,2008,[[0.43129475]]
106,1965,[[0.37039708]]
107,1909,[[0.53228044]]
108,1988,[[0.40537729]]
109,1953,[[0.33039105]]
