,year,cosine_similarity
0,1985,[[0.44237397]]
1,1943,[[0.43218522]]
2,1993,[[0.43850972]]
3,1995,[[0.45594065]]
4,1958,[[0.41599407]]
5,1983,[[0.42002587]]
6,1919,[[0.40392478]]
7,1975,[[0.44184104]]
8,1960,[[0.41075553]]
9,1922,[[0.33889582]]
10,1928,[[0.33183956]]
11,2006,[[0.4615873]]
12,1972,[[0.44429937]]
13,1908,[[0.32841257]]
14,1916,[[0.37392341]]
15,1913,[[0.46278509]]
16,1987,[[0.46818707]]
17,1971,[[0.39655767]]
18,1906,[[0.38025272]]
19,1924,[[0.39392041]]
20,1955,[[0.45266911]]
21,1954,[[0.43838582]]
22,1956,[[0.43797029]]
23,1900,[[0.36874441]]
24,1948,[[0.41136025]]
25,2004,[[0.5162613]]
26,1978,[[0.44472322]]
27,1999,[[0.42493615]]
28,1998,[[0.42940047]]
29,1934,[[0.32361842]]
30,1997,[[0.45140196]]
31,2001,[[0.44610478]]
32,1991,[[0.44714087]]
33,1903,[[0.35345064]]
34,1962,[[0.44970896]]
35,1970,[[0.42975999]]
36,1921,[[0.3874275]]
37,1917,[[0.2906087]]
38,1923,[[0.35964848]]
39,1949,[[0.39880646]]
40,1905,[[0.36774198]]
41,1914,[[0.39596091]]
42,2009,[[0.47605429]]
43,1912,[[0.36024869]]
44,1994,[[0.44697668]]
45,1935,[[0.44122188]]
46,1984,[[0.43304072]]
47,1952,[[0.42763356]]
48,1989,[[0.46564749]]
49,1929,[[0.38178023]]
50,2005,[[0.52642595]]
51,1996,[[0.41076342]]
52,1911,[[0.38824499]]
53,1933,[[0.3661653]]
54,1982,[[0.47368119]]
55,1904,[[0.34416433]]
56,1964,[[0.47613364]]
57,1941,[[0.36649605]]
58,1979,[[0.45310912]]
59,1907,[[0.36113969]]
60,1992,[[0.44476856]]
61,1926,[[0.3661897]]
62,1976,[[0.45491805]]
63,1986,[[0.38835025]]
64,1957,[[0.39820245]]
65,1947,[[0.41141401]]
66,1920,[[0.41526199]]
67,1968,[[0.42859585]]
68,1946,[[0.4377169]]
69,1961,[[0.431803]]
70,2002,[[0.51198053]]
71,1932,[[0.30472114]]
72,1980,[[0.45702369]]
73,1977,[[0.42867245]]
74,1902,[[0.39068746]]
75,1931,[[0.40377167]]
76,2007,[[0.46627111]]
77,1918,[[0.34776394]]
78,1990,[[0.39655989]]
79,1939,[[0.39440871]]
80,1925,[[0.33568669]]
81,1910,[[0.45290214]]
82,1944,[[0.34305188]]
83,1940,[[0.37035113]]
84,1945,[[0.34761172]]
85,1969,[[0.44062903]]
86,1973,[[0.44769578]]
87,2003,[[0.45162018]]
88,1959,[[0.43984314]]
89,1966,[[0.4071423]]
90,1915,[[0.42735384]]
91,1942,[[0.41700314]]
92,1951,[[0.40824875]]
93,1901,[[0.36604337]]
94,1930,[[0.40166307]]
95,1967,[[0.42067104]]
96,1963,[[0.45191358]]
97,1981,[[0.43705751]]
98,1938,[[0.44316028]]
99,1974,[[0.41226769]]
100,2000,[[0.4392076]]
101,1950,[[0.42310368]]
102,1927,[[0.36259]]
103,1937,[[0.45656553]]
104,1936,[[0.37650074]]
105,2008,[[0.540208]]
106,1965,[[0.42295826]]
107,1909,[[0.41477423]]
108,1988,[[0.46173602]]
109,1953,[[0.41764531]]
