,year,cosine_similarity
0,1985,[[0.50639921]]
1,1943,[[0.41219898]]
2,1993,[[0.45157078]]
3,1995,[[0.42086973]]
4,1958,[[0.40492588]]
5,1983,[[0.51018611]]
6,1919,[[0.28989743]]
7,1975,[[0.4590523]]
8,1960,[[0.42667925]]
9,1922,[[0.40731259]]
10,1928,[[0.38618666]]
11,2006,[[0.41432518]]
12,1972,[[0.44626512]]
13,1908,0
14,1916,0
15,1913,[[0.58839601]]
16,1987,[[0.46395282]]
17,1971,[[0.42070043]]
18,1906,[[0.70739406]]
19,1924,[[0.30586453]]
20,1955,[[0.41396189]]
21,1954,[[0.41909821]]
22,1956,[[0.42455352]]
23,1900,0
24,1948,[[0.48239605]]
25,2004,[[0.38795255]]
26,1978,[[0.4533852]]
27,1999,[[0.37810668]]
28,1998,[[0.43152336]]
29,1934,[[0.45641968]]
30,1997,[[0.3995939]]
31,2001,[[0.38486724]]
32,1991,[[0.53779898]]
33,1903,0
34,1962,[[0.43062937]]
35,1970,[[0.4605888]]
36,1921,[[0.41831896]]
37,1917,[[0.23270735]]
38,1923,[[0.3892039]]
39,1949,[[0.42611659]]
40,1905,[[0.58715293]]
41,1914,0
42,2009,[[0.36841076]]
43,1912,0
44,1994,[[0.5167214]]
45,1935,[[0.43078543]]
46,1984,[[0.4239005]]
47,1952,[[0.42000278]]
48,1989,[[0.4480448]]
49,1929,[[0.43301437]]
50,2005,[[0.35944005]]
51,1996,[[0.40176807]]
52,1911,0
53,1933,[[0.33418807]]
54,1982,[[0.4880427]]
55,1904,0
56,1964,[[0.40946617]]
57,1941,[[0.40979194]]
58,1979,[[0.45153303]]
59,1907,[[0.65725029]]
60,1992,[[0.44058951]]
61,1926,[[0.39114772]]
62,1976,[[0.43706778]]
63,1986,[[0.5069464]]
64,1957,[[0.38417254]]
65,1947,[[0.35536172]]
66,1920,[[0.28295571]]
67,1968,[[0.43216762]]
68,1946,[[0.41424993]]
69,1961,[[0.47564417]]
70,2002,[[0.4383971]]
71,1932,[[0.34533426]]
72,1980,[[0.42977378]]
73,1977,[[0.4428342]]
74,1902,0
75,1931,[[0.37229434]]
76,2007,[[0.42735321]]
77,1918,[[0.58040095]]
78,1990,[[0.47639261]]
79,1939,[[0.35179705]]
80,1925,[[0.36630263]]
81,1910,0
82,1944,[[0.46503254]]
83,1940,[[0.40787577]]
84,1945,[[0.34778719]]
85,1969,[[0.37744861]]
86,1973,[[0.45945108]]
87,2003,[[0.43900589]]
88,1959,[[0.39525106]]
89,1966,[[0.48830445]]
90,1915,0
91,1942,[[0.43826076]]
92,1951,[[0.40403503]]
93,1901,0
94,1930,[[0.38056348]]
95,1967,[[0.43909522]]
96,1963,[[0.38242361]]
97,1981,[[0.44922775]]
98,1938,[[0.46605705]]
99,1974,[[0.45164919]]
100,2000,[[0.41596363]]
101,1950,[[0.45882479]]
102,1927,[[0.38060649]]
103,1937,[[0.41551528]]
104,1936,[[0.40857171]]
105,2008,[[0.41395616]]
106,1965,[[0.47745552]]
107,1909,0
108,1988,[[0.44042562]]
109,1953,[[0.36588785]]
