,year,words
0,1985,"['行政管辖', '官僚权威', '部門']"
1,1993,"['行政管辖', '官僚权威', '部門']"
2,1995,"['行政管辖', '官僚权威', '部門']"
3,1958,"['行政管辖', '官僚权威', '部門']"
4,1983,"['行政管辖', '官僚权威', '部門']"
5,1975,"['行政管辖', '官僚权威', '部門']"
6,1960,"['行政管辖', '官僚权威', '部門']"
7,2006,"['行政管辖', '官僚权威', '部門']"
8,1972,"['行政管辖', '官僚权威', '部門']"
9,1987,"['行政管辖', '官僚权威', '部門']"
10,1971,"['行政管辖', '官僚权威', '部門']"
11,1955,"['行政管辖', '官僚权威', '部門']"
12,1956,"['行政管辖', '官僚权威', '部門']"
13,2004,"['行政管辖', '官僚权威', '部門']"
14,1978,"['行政管辖', '官僚权威', '部門']"
15,1999,"['行政管辖', '官僚权威', '部門']"
16,1998,"['行政管辖', '官僚权威', '部門']"
17,1997,"['行政管辖', '官僚权威', '部門']"
18,2001,"['行政管辖', '官僚权威', '部門']"
19,1991,"['行政管辖', '官僚权威', '部門']"
20,1962,"['行政管辖', '官僚权威', '部門']"
21,1970,"['行政管辖', '官僚权威', '部門']"
22,2009,"['行政管辖', '官僚权威', '部門']"
23,1994,"['行政管辖', '官僚权威', '部門']"
24,1984,"['行政管辖', '官僚权威', '部門']"
25,1989,"['行政管辖', '官僚权威', '部門']"
26,2005,"['行政管辖', '官僚权威', '部門']"
27,1996,"['行政管辖', '官僚权威', '部門']"
28,1982,"['行政管辖', '官僚权威', '部門']"
29,1964,"['行政管辖', '官僚权威', '部門']"
30,1979,"['行政管辖', '官僚权威', '部門']"
31,1992,"['行政管辖', '官僚权威', '部門']"
32,1976,"['行政管辖', '官僚权威', '部門']"
33,1986,"['行政管辖', '官僚权威', '部門']"
34,1957,"['行政管辖', '官僚权威', '部門']"
35,1968,"['行政管辖', '官僚权威', '部門', '政体']"
36,1961,"['行政管辖', '官僚权威', '部門']"
37,2002,"['行政管辖', '官僚权威', '部門']"
38,1980,"['行政管辖', '官僚权威', '部門']"
39,1977,"['行政管辖', '官僚权威', '部門']"
40,2007,"['行政管辖', '官僚权威', '部門']"
41,1990,"['行政管辖', '官僚权威', '部門']"
42,1969,"['治理', '行政管辖', '官僚权威', '部門']"
43,1973,"['行政管辖', '官僚权威', '部門']"
44,2003,"['行政管辖', '官僚权威', '部門']"
45,1959,"['行政管辖', '官僚权威', '部門']"
46,1966,"['行政管辖', '官僚权威', '部門']"
47,1967,"['行政管辖', '官僚权威', '部門']"
48,1963,"['行政管辖', '官僚权威', '部門']"
49,1981,"['行政管辖', '官僚权威', '部門']"
50,1974,"['行政管辖', '官僚权威', '部門']"
51,2000,"['行政管辖', '官僚权威', '部門']"
52,2008,"['行政管辖', '官僚权威', '部門']"
53,1965,"['行政管辖', '官僚权威', '部門']"
54,1988,"['行政管辖', '官僚权威', '部門']"
