,year,words
0,1985,"['governance', 'jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
1,1943,"['governance', 'jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
2,1993,"['jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime']"
3,1995,"['jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
4,1958,"['governance', 'jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
5,1983,"['governance', 'jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
6,1919,"['governance', 'jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
7,1975,"['governance', 'jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
8,1960,"['governance', 'jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
9,1922,"['governance', 'jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
10,1928,"['governance', 'jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
11,2006,"['jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime']"
12,1972,"['governance', 'jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
13,1908,"['governance', 'jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
14,1916,"['governance', 'jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
15,1913,"['governance', 'jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
16,1987,"['governance', 'jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
17,1971,"['governance', 'jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
18,1906,"['governance', 'jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
19,1924,"['governance', 'jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
20,1955,"['governance', 'jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
21,1954,"['governance', 'jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
22,1956,"['governance', 'jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
23,1900,"['governance', 'jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
24,1948,"['governance', 'jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
25,2004,"['jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime']"
26,1978,"['governance', 'jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
27,1999,"['jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime']"
28,1998,"['jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime']"
29,1934,"['governance', 'jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
30,1997,"['jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime']"
31,2001,"['jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
32,1991,"['jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
33,1903,"['governance', 'jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime']"
34,1962,"['governance', 'jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime']"
35,1970,"['governance', 'jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
36,1921,"['governance', 'jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
37,1917,"['governance', 'jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
38,1923,"['governance', 'jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
39,1949,"['governance', 'jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
40,1905,"['governance', 'jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
41,1914,"['governance', 'jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
42,2009,"['jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime']"
43,1912,"['governance', 'jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime']"
44,1994,"['jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime']"
45,1935,"['governance', 'jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime']"
46,1984,"['governance', 'jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
47,1952,"['governance', 'jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
48,1989,"['governance', 'jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
49,1929,"['governance', 'jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
50,2005,"['jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
51,1996,"['jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime']"
52,1911,"['governance', 'jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
53,1933,"['governance', 'jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
54,1982,"['governance', 'jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
55,1904,"['governance', 'jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
56,1964,"['governance', 'jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
57,1941,"['jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
58,1979,"['governance', 'jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
59,1907,"['governance', 'jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
60,1992,"['governance', 'jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime']"
61,1926,"['governance', 'jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime']"
62,1976,"['governance', 'jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
63,1986,"['governance', 'jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
64,1957,"['governance', 'jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
65,1947,"['governance', 'jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
66,1920,"['governance', 'jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
67,1968,"['governance', 'jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
68,1946,"['governance', 'jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
69,1961,"['governance', 'jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
70,2002,"['jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime']"
71,1932,"['governance', 'jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
72,1980,"['governance', 'jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
73,1977,"['governance', 'jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
74,1902,"['governance', 'jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
75,1931,"['governance', 'jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
76,2007,"['jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
77,1918,"['governance', 'jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
78,1990,"['jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
79,1939,"['governance', 'jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
80,1925,"['governance', 'jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
81,1910,"['governance', 'jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime']"
82,1944,"['governance', 'jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
83,1940,"['governance', 'jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
84,1945,"['governance', 'jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
85,1969,"['governance', 'jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
86,1973,"['governance', 'jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
87,2003,"['jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
88,1959,"['governance', 'jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
89,1966,"['governance', 'jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
90,1915,"['governance', 'jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
91,1942,"['governance', 'jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
92,1951,"['governance', 'jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
93,1901,"['governance', 'jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
94,1930,"['governance', 'jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
95,1967,"['governance', 'jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
96,1963,"['governance', 'jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
97,1981,"['governance', 'jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime']"
98,1938,"['governance', 'jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
99,1974,"['governance', 'jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
100,2000,"['jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
101,1950,"['governance', 'jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
102,1927,"['governance', 'jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime', 'polity']"
