,year,words
0,1985,"['bureaucrat', 'ministry,regime']"
1,1943,"['jurisdictional', 'bureaucrat', 'ministry,regime']"
2,1993,"['bureaucrat', 'ministry,regime']"
3,1995,"['bureaucrat', 'ministry,regime']"
4,1958,"['governance', 'bureaucrat', 'bureaucrats', 'ministry,regime']"
5,1983,"['bureaucrat', 'ministry,regime']"
6,1919,"['jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime']"
7,1975,"['ministry,regime']"
8,1960,"['bureaucrat', 'ministry,regime']"
9,1922,"['bureaucrat', 'bureaucrats', 'ministry,regime']"
10,1928,"['jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime']"
11,2006,"['bureaucrat', 'ministry,regime']"
12,1972,"['bureaucrat', 'ministry,regime']"
13,1908,"['jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime']"
14,1916,"['jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime']"
15,1913,"['jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime']"
16,1987,"['bureaucrat', 'ministry,regime']"
17,1971,"['ministry,regime']"
18,1906,"['jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime']"
19,1924,"['jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime']"
20,1955,"['bureaucrat', 'bureaucrats', 'ministry,regime']"
21,1954,"['bureaucrat', 'ministry,regime']"
22,1956,"['bureaucrat', 'bureaucrats', 'ministry,regime']"
23,1900,"['bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime']"
24,1948,"['bureaucrat', 'bureaucrats', 'ministry,regime']"
25,2004,"['bureaucrat', 'ministry,regime']"
26,1978,"['ministry,regime']"
27,1999,"['bureaucrat', 'ministry,regime']"
28,1998,"['bureaucrat', 'ministry,regime']"
29,1934,"['jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime']"
30,1997,"['bureaucrat', 'ministry,regime']"
31,2001,"['ministry,regime']"
32,1991,"['ministry,regime']"
33,1903,"['jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime']"
34,1962,"['bureaucrat', 'bureaucrats', 'ministry,regime']"
35,1970,"['bureaucrat', 'ministry,regime']"
36,1921,"['bureaucrat', 'bureaucrats', 'ministry,regime']"
37,1917,"['jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime']"
38,1923,"['bureaucrat', 'bureaucrats', 'ministry,regime']"
39,1949,"['bureaucrat', 'ministry,regime']"
40,1905,"['bureaucrat', 'bureaucrats', 'ministry,regime']"
41,1914,"['jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime']"
42,2009,"['bureaucrat', 'ministry,regime']"
43,1912,"['jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime']"
44,1994,"['ministry,regime']"
45,1935,"['jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime']"
46,1984,"['bureaucrat', 'ministry,regime']"
47,1952,"['bureaucrat', 'ministry,regime']"
48,1989,"['bureaucrat', 'ministry,regime']"
49,1929,"['bureaucrat', 'bureaucrats', 'ministry,regime']"
50,2005,"['bureaucrat', 'ministry,regime']"
51,1996,"['bureaucrat', 'ministry,regime']"
52,1911,"['jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime']"
53,1933,"['jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime']"
54,1982,"['bureaucrat', 'ministry,regime']"
55,1904,"['jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime']"
56,1964,"['bureaucrat', 'ministry,regime']"
57,1941,"['bureaucrat', 'bureaucrats', 'ministry,regime']"
58,1979,"['ministry,regime']"
59,1907,"['governance', 'jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime']"
60,1992,"['bureaucrat', 'ministry,regime']"
61,1926,"['bureaucrat', 'bureaucrats', 'ministry,regime']"
62,1976,"['bureaucrat', 'ministry,regime']"
63,1986,"['bureaucrat', 'ministry,regime']"
64,1957,"['governance', 'bureaucrat', 'bureaucrats', 'ministry,regime']"
65,1947,"['bureaucrat', 'bureaucrats', 'ministry,regime']"
66,1920,"['bureaucrat', 'bureaucrats', 'ministry,regime']"
67,1968,"['ministry,regime']"
68,1946,"['governance', 'bureaucrat', 'bureaucrats', 'ministry,regime']"
69,1961,"['bureaucrat', 'ministry,regime']"
70,2002,"['ministry,regime']"
71,1932,"['jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime']"
72,1980,"['ministry,regime']"
73,1977,"['bureaucrat', 'ministry,regime']"
74,1902,"['governance', 'jurisdictional', 'bureaucracy', 'bureaucrat', 'bureaucrats', 'ministry,regime']"
75,1931,"['jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime']"
76,2007,"['bureaucrat', 'ministry,regime']"
77,1918,"['jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime']"
78,1990,"['bureaucrat', 'ministry,regime']"
79,1939,"['bureaucrat', 'bureaucrats', 'ministry,regime']"
80,1925,"['bureaucrat', 'bureaucrats', 'ministry,regime']"
81,1910,"['jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime']"
82,1944,"['bureaucrat', 'bureaucrats', 'ministry,regime']"
83,1940,"['bureaucrat', 'bureaucrats', 'ministry,regime']"
84,1945,"['bureaucrat', 'bureaucrats', 'ministry,regime']"
85,1969,"['ministry,regime']"
86,1973,"['bureaucrat', 'ministry,regime']"
87,2003,"['bureaucrat', 'ministry,regime']"
88,1959,"['bureaucrat', 'ministry,regime']"
89,1966,"['bureaucrat', 'ministry,regime']"
90,1915,"['governance', 'jurisdictional', 'bureaucrat', 'bureaucrats', 'ministry,regime']"
91,1942,"['jurisdictional', 'bureaucrat', 'ministry,regime']"
