,year,words
0,1985,"['gouvernance', 'bureaucrate', 'bureaucrates']"
1,1943,"['gouvernance', 'juridictionnel', 'bureaucratie', 'bureaucrate', 'bureaucrates', 'fiscalité']"
2,1993,"['gouvernance', 'bureaucrate', 'bureaucrates']"
3,1995,"['gouvernance', 'bureaucrate', 'bureaucrates']"
4,1958,"['gouvernance', 'bureaucrate', 'bureaucrates']"
5,1983,"['gouvernance', 'bureaucrate', 'bureaucrates']"
6,1919,"['gouvernance', 'juridictionnel', 'bureaucratie', 'bureaucrate', 'bureaucrates', 'fiscalité']"
7,1975,"['gouvernance', 'bureaucrate', 'bureaucrates']"
8,1960,"['gouvernance', 'bureaucratie', 'bureaucrate', 'bureaucrates']"
9,1922,"['gouvernance', 'juridictionnel', 'bureaucratie', 'bureaucrate', 'bureaucrates', 'fiscalité']"
10,1928,"['gouvernance', 'juridictionnel', 'bureaucratie', 'bureaucrate', 'bureaucrates', 'fiscalité']"
11,2006,"['bureaucrate', 'bureaucrates']"
12,1972,"['gouvernance', 'juridictionnel', 'bureaucrate', 'bureaucrates']"
13,1908,"['gouvernance', 'juridictionnel', 'bureaucratie', 'bureaucrate', 'bureaucrates', 'fiscalité']"
14,1916,"['gouvernance', 'juridictionnel', 'bureaucratie', 'bureaucrate', 'bureaucrates', 'fiscalité']"
15,1913,"['gouvernance', 'juridictionnel', 'bureaucratie', 'bureaucrate', 'bureaucrates', 'fiscalité']"
16,1987,"['gouvernance', 'bureaucrate', 'bureaucrates']"
17,1971,"['gouvernance', 'juridictionnel', 'bureaucrate', 'bureaucrates']"
18,1906,"['gouvernance', 'juridictionnel', 'bureaucratie', 'bureaucrate', 'bureaucrates', 'fiscalité']"
19,1924,"['gouvernance', 'juridictionnel', 'bureaucratie', 'bureaucrate', 'bureaucrates', 'fiscalité']"
20,1955,"['gouvernance', 'bureaucratie', 'bureaucrate', 'bureaucrates']"
21,1954,"['gouvernance', 'bureaucratie', 'bureaucrate', 'bureaucrates']"
22,1956,"['gouvernance', 'bureaucrate', 'bureaucrates']"
23,1900,"['gouvernance', 'juridictionnel', 'bureaucratie', 'bureaucrate', 'bureaucrates', 'fiscalité']"
24,1948,"['gouvernance', 'juridictionnel', 'bureaucrate', 'bureaucrates', 'fiscalité']"
25,2004,"['juridictionnel', 'bureaucrate', 'bureaucrates']"
