,year,words
0,1985,"['bürokrat', 'bürokraten']"
1,1943,"['governance', 'bürokrat', 'bürokraten']"
2,1993,"['bürokrat', 'bürokraten']"
3,1995,"['bürokrat', 'bürokraten']"
4,1958,"['governance', 'bürokrat', 'bürokraten']"
5,1983,"['governance', 'bürokrat', 'bürokraten']"
6,1919,"['governance', 'bürokratie', 'bürokrat', 'bürokraten']"
7,1975,"['governance', 'bürokrat', 'bürokraten']"
8,1960,"['governance', 'bürokrat', 'bürokraten']"
9,1922,"['governance', 'bürokratie', 'bürokrat', 'bürokraten']"
10,1928,"['governance', 'bürokratie', 'bürokrat', 'bürokraten']"
11,2006,"['bürokrat', 'bürokraten']"
12,1972,"['governance', 'bürokrat', 'bürokraten']"
13,1908,"['governance', 'bürokratie', 'bürokrat', 'bürokraten']"
14,1916,"['governance', 'bürokratie', 'bürokrat', 'bürokraten']"
15,1913,"['governance', 'bürokratie', 'bürokrat', 'bürokraten']"
16,1987,"['governance', 'bürokrat', 'bürokraten']"
17,1971,"['governance', 'bürokrat', 'bürokraten']"
18,1906,"['governance', 'bürokratie', 'bürokrat', 'bürokraten']"
19,1924,"['governance', 'bürokrat', 'bürokraten']"
20,1955,"['governance', 'bürokrat', 'bürokraten']"
21,1954,"['governance', 'bürokrat', 'bürokraten']"
22,1956,"['governance', 'bürokrat', 'bürokraten']"
23,1900,"['governance', 'bürokratie', 'bürokrat', 'bürokraten']"
24,1948,"['governance', 'bürokrat', 'bürokraten']"
25,2004,"['bürokrat', 'bürokraten']"
26,1978,"['governance', 'bürokrat', 'bürokraten']"
27,1999,"['bürokrat', 'bürokraten']"
28,1998,"['bürokrat', 'bürokraten']"
29,1934,"['governance', 'bürokrat', 'bürokraten']"
30,1997,"['bürokrat', 'bürokraten']"
31,2001,"['bürokrat', 'bürokraten']"
32,1991,"['bürokrat', 'bürokraten']"
33,1903,"['governance', 'bürokratie', 'bürokrat', 'bürokraten']"
34,1962,"['governance', 'bürokrat', 'bürokraten']"
35,1970,"['governance', 'bürokrat', 'bürokraten']"
36,1921,"['governance', 'bürokratie', 'bürokrat', 'bürokraten']"
37,1917,"['governance', 'bürokratie', 'bürokrat', 'bürokraten']"
38,1923,"['governance', 'bürokratie', 'bürokrat', 'bürokraten']"
39,1949,"['governance', 'bürokrat', 'bürokraten']"
