,year,words
0,1985,"['governance', ' burocrate', 'burocrati']"
1,1943,"['governance', 'burocrazia', ' burocrate', 'burocrati', 'tassazione']"
2,1993,"['governance', ' burocrate']"
3,1995,"['governance', ' burocrate', 'burocrati']"
4,1958,"['governance', ' burocrate', 'burocrati']"
5,1983,"['governance', ' burocrate', 'burocrati']"
6,1919,"['governance', ' burocrate', 'burocrati']"
7,1975,"['governance', ' burocrate', 'burocrati']"
8,1960,"['governance', ' burocrate', 'burocrati']"
9,1922,"['governance', ' burocrate', 'burocrati']"
10,1928,"['governance', ' burocrate', 'burocrati']"
11,2006,"[' burocrate', 'burocrati']"
12,1972,"['governance', ' burocrate', 'burocrati']"
13,1908,"['governance', 'burocrazia', ' burocrate', 'burocrati']"
14,1916,"['governance', ' burocrate', 'burocrati']"
15,1913,"['governance', ' burocrate', 'burocrati']"
16,1987,"['governance', ' burocrate', 'burocrati']"
17,1971,"['governance', ' burocrate', 'burocrati']"
18,1906,"['governance', ' burocrate', 'burocrati']"
19,1924,"['governance', ' burocrate', 'burocrati']"
20,1955,"['governance', ' burocrate', 'burocrati']"
21,1954,"['governance', ' burocrate', 'burocrati']"
22,1956,"['governance', ' burocrate', 'burocrati']"
23,1900,"['governance', ' burocrate', 'burocrati']"
24,1948,"['governance', ' burocrate', 'burocrati']"
25,2004,"[' burocrate', 'burocrati']"
26,1978,"['governance', ' burocrate', 'burocrati']"
27,1999,"['governance', ' burocrate', 'burocrati']"
28,1998,"['governance', ' burocrate']"
29,1934,"['governance', ' burocrate', 'burocrati']"
30,1997,"['governance', ' burocrate']"
31,2001,[' burocrate']
32,1991,"['governance', ' burocrate', 'burocrati']"
33,1903,"['governance', ' burocrate', 'burocrati']"
34,1962,"['governance', ' burocrate', 'burocrati']"
35,1970,"['governance', ' burocrate', 'burocrati']"
36,1921,"['governance', ' burocrate', 'burocrati']"
37,1917,"['governance', ' burocrate', 'burocrati']"
38,1923,"['governance', ' burocrate', 'burocrati']"
39,1949,"['governance', ' burocrate', 'burocrati']"
40,1905,"['governance', ' burocrate', 'burocrati']"
41,1914,"['governance', ' burocrate', 'burocrati']"
42,2009,"[' burocrate', 'burocrati']"
43,1912,"['governance', ' burocrate', 'burocrati']"
44,1994,"['governance', ' burocrate', 'burocrati']"
45,1935,"['governance', ' burocrate', 'burocrati']"
46,1984,"['governance', ' burocrate', 'burocrati']"
47,1952,"['governance', ' burocrate', 'burocrati']"
48,1989,"['governance', ' burocrate', 'burocrati']"
49,1929,"['governance', ' burocrate', 'burocrati']"
50,2005,"[' burocrate', 'burocrati']"
51,1996,"['governance', ' burocrate']"
52,1911,"['governance', ' burocrate', 'burocrati']"
53,1933,"['governance', ' burocrate', 'burocrati']"
54,1982,"['governance', ' burocrate', 'burocrati']"
55,1904,"['governance', 'burocrazia', ' burocrate', 'burocrati']"
56,1964,"['governance', ' burocrate', 'burocrati']"
57,1941,"['governance', ' burocrate', 'burocrati']"
58,1979,"['governance', ' burocrate', 'burocrati']"
59,1907,"['governance', ' burocrate', 'burocrati']"
60,1992,"['governance', ' burocrate', 'burocrati']"
61,1926,"['governance', ' burocrate', 'burocrati']"
62,1976,"['governance', ' burocrate', 'burocrati']"
63,1986,"['governance', ' burocrate', 'burocrati']"
64,1957,"['governance', ' burocrate', 'burocrati']"
65,1947,"['governance', ' burocrate', 'burocrati']"
