,year,words
0,1985,"['юрисдикция', 'юрисдикционный', 'бюрократ', 'бюрократы', 'органы власти', 'налогообложение']"
1,1943,"['юрисдикция', 'юрисдикционный', 'бюрократия', 'бюрократ', 'бюрократы', 'органы власти', 'налогообложение']"
2,1993,"['юрисдикция', 'юрисдикционный', 'бюрократ', 'бюрократы', 'органы власти']"
3,1995,"['юрисдикция', 'юрисдикционный', 'бюрократ', 'бюрократы', 'органы власти', 'налогообложение']"
4,1958,"['юрисдикция', 'юрисдикционный', 'бюрократия', 'бюрократ', 'бюрократы', 'органы власти', 'налогообложение']"
5,1983,"['юрисдикция', 'юрисдикционный', 'бюрократия', 'бюрократ', 'бюрократы', 'органы власти', 'налогообложение']"
6,1919,"['юрисдикция', 'юрисдикционный', 'бюрократия', 'бюрократ', 'органы власти', 'суверенитет', 'налогообложение']"
7,1975,"['юрисдикция', 'юрисдикционный', 'бюрократия', 'бюрократ', 'бюрократы', 'органы власти', 'налогообложение']"
8,1960,"['юрисдикция', 'юрисдикционный', 'бюрократия', 'бюрократ', 'бюрократы', 'органы власти', 'налогообложение']"
9,1922,"['юрисдикция', 'юрисдикционный', 'бюрократия', 'бюрократ', 'бюрократы', 'органы власти', 'налогообложение']"
10,1928,"['юрисдикция', 'юрисдикционный', 'бюрократия', 'бюрократ', 'бюрократы', 'органы власти', 'суверенитет', 'налогообложение']"
11,2006,"['юрисдикция', 'юрисдикционный', 'бюрократ', 'бюрократы', 'органы власти']"
12,1972,"['юрисдикция', 'юрисдикционный', 'бюрократия', 'бюрократ', 'бюрократы', 'органы власти', 'налогообложение']"
13,1908,"['юрисдикция', 'юрисдикционный', 'бюрократия', 'бюрократ', 'бюрократы', 'органы власти', 'суверенитет', 'режим', 'налогообложение']"
14,1916,"['юрисдикция', 'юрисдикционный', 'бюрократия', 'бюрократ', 'бюрократы', 'органы власти', 'суверенитет', 'режим', 'налогообложение']"
15,1913,"['юрисдикция', 'юрисдикционный', 'бюрократия', 'бюрократ', 'бюрократы', 'органы власти', 'суверенитет', 'режим', 'налогообложение', 'налог']"
16,1987,"['юрисдикция', 'юрисдикционный', 'бюрократия', 'бюрократ', 'бюрократы', 'органы власти', 'налогообложение']"
17,1971,"['юрисдикция', 'юрисдикционный', 'бюрократия', 'бюрократ', 'бюрократы', 'органы власти', 'налогообложение']"
18,1906,"['юрисдикция', 'юрисдикционный', 'бюрократия', 'бюрократы', 'органы власти', 'суверенитет', 'режим', 'общественность', 'налогообложение', 'налог']"
19,1924,"['юрисдикция', 'юрисдикционный', 'бюрократия', 'бюрократ', 'бюрократы', 'органы власти']"
20,1955,"['юрисдикция', 'юрисдикционный', 'бюрократия', 'бюрократ', 'бюрократы', 'органы власти', 'налогообложение']"
21,1954,"['юрисдикция', 'юрисдикционный', 'бюрократия', 'бюрократ', 'бюрократы', 'органы власти', 'налогообложение']"
22,1956,"['юрисдикция', 'юрисдикционный', 'бюрократия', 'бюрократ', 'бюрократы', 'органы власти', 'налогообложение']"
23,1900,"['юрисдикция', 'юрисдикционный', 'бюрократия', 'бюрократ', 'бюрократы', 'органы власти', 'суверенитет', 'налогообложение']"
