,year,cosine_similarity
0,1985,[[0.57245617]]
1,1993,[[0.5712256]]
2,1995,[[0.59854684]]
3,1958,[[0.4862501]]
4,1983,[[0.55973024]]
5,1975,[[0.50391852]]
6,1960,[[0.49426275]]
7,2006,[[0.59887094]]
8,1972,[[0.50032091]]
9,1987,[[0.51259192]]
10,1971,[[0.43494707]]
11,1955,[[0.55250282]]
12,1956,[[0.54303374]]
13,2004,[[0.5228797]]
14,1978,[[0.54139596]]
15,1999,[[0.53388403]]
16,1998,[[0.54919611]]
17,1997,[[0.56971059]]
18,2001,[[0.54070936]]
19,1991,[[0.55306454]]
20,1962,[[0.56385106]]
21,1970,[[0.43882081]]
22,2009,[[0.57542643]]
23,1994,[[0.55167351]]
24,1984,[[0.58503046]]
25,1989,[[0.49530051]]
26,2005,[[0.57339144]]
27,1996,[[0.57944507]]
28,1982,[[0.57838417]]
29,1964,[[0.49638983]]
30,1979,[[0.54081534]]
31,1992,[[0.54387824]]
32,1976,[[0.49057448]]
33,1986,[[0.56369277]]
34,1957,[[0.49237965]]
35,1968,[[0.42699844]]
36,1961,[[0.50424771]]
37,2002,[[0.56884617]]
38,1980,[[0.59171478]]
39,1977,[[0.48971644]]
40,2007,[[0.55837322]]
41,1990,[[0.56690744]]
42,1969,[[0.46154202]]
43,1973,[[0.49437762]]
44,2003,[[0.56107404]]
45,1959,[[0.50849453]]
46,1966,[[0.4791213]]
47,1967,[[0.4150997]]
48,1963,[[0.45031634]]
49,1981,[[0.58240307]]
50,1974,[[0.48728313]]
51,2000,[[0.53332521]]
52,2008,[[0.55353691]]
53,1965,[[0.4641931]]
54,1988,[[0.56180328]]
