,year,cosine_similarity
0,1985,[[0.97323091]]
1,1943,[[0.95838161]]
2,1993,[[0.96675927]]
3,1995,[[0.96905628]]
4,1958,[[0.96604162]]
5,1983,[[0.97012976]]
6,1919,[[0.97266158]]
7,1975,[[0.96989888]]
8,1960,[[0.97428948]]
9,1922,[[0.96236259]]
10,1928,[[0.96974169]]
11,2006,[[0.96154229]]
12,1972,[[0.96942514]]
13,1908,[[0.95809513]]
14,1916,[[0.95881181]]
15,1913,[[0.96861277]]
16,1987,[[0.97021707]]
17,1971,[[0.96893976]]
18,1906,[[0.96678062]]
19,1924,[[0.96880573]]
20,1955,[[0.97765413]]
21,1954,[[0.95739558]]
22,1956,[[0.96837869]]
23,1900,[[0.96673313]]
24,1948,[[0.9694247]]
25,2004,[[0.96989829]]
26,1978,[[0.96647364]]
27,1999,[[0.97502204]]
28,1998,[[0.96699673]]
29,1934,[[0.96430785]]
30,1997,[[0.96900567]]
31,2001,[[0.96566902]]
32,1991,[[0.9676273]]
33,1903,[[0.94989498]]
34,1962,[[0.97531712]]
35,1970,[[0.9622481]]
36,1921,[[0.97112014]]
37,1917,[[0.97043918]]
38,1923,[[0.97200961]]
39,1949,[[0.98100036]]
40,1905,[[0.95274225]]
41,1914,[[0.9591352]]
42,2009,[[0.96648091]]
43,1912,[[0.95068433]]
44,1994,[[0.96162373]]
45,1935,[[0.95608559]]
46,1984,[[0.96418373]]
47,1952,[[0.96654817]]
48,1989,[[0.96861856]]
49,1929,[[0.97244456]]
50,2005,[[0.96049747]]
51,1996,[[0.96290552]]
52,1911,[[0.95126664]]
53,1933,[[0.97258008]]
54,1982,[[0.96694422]]
55,1904,[[0.95131874]]
56,1964,[[0.96917022]]
57,1941,[[0.97708935]]
58,1979,[[0.97115403]]
59,1907,[[0.94434475]]
60,1992,[[0.96374765]]
61,1926,[[0.97941691]]
62,1976,[[0.9682902]]
63,1986,[[0.96934654]]
64,1957,[[0.96342341]]
65,1947,[[0.96167126]]
66,1920,[[0.96991872]]
67,1968,[[0.95918387]]
68,1946,[[0.96630853]]
69,1961,[[0.96367821]]
70,2002,[[0.96504783]]
71,1932,[[0.96899553]]
72,1980,[[0.96920403]]
73,1977,[[0.96665671]]
74,1902,[[0.96187809]]
75,1931,[[0.97895832]]
76,2007,[[0.97723507]]
77,1918,[[0.96277825]]
78,1990,[[0.97389297]]
79,1939,[[0.96527509]]
80,1925,[[0.96820924]]
81,1910,[[0.95247293]]
82,1944,[[0.96676852]]
83,1940,[[0.95369148]]
84,1945,[[0.96938378]]
85,1969,[[0.97923552]]
86,1973,[[0.97284804]]
87,2003,[[0.96648828]]
88,1959,[[0.96695671]]
89,1966,[[0.97317299]]
90,1915,[[0.9627991]]
91,1942,[[0.96932696]]
92,1951,[[0.97509901]]
93,1901,[[0.9504213]]
94,1930,[[0.98018416]]
95,1967,[[0.969514]]
96,1963,[[0.95959308]]
97,1981,[[0.96703724]]
98,1938,[[0.9650414]]
99,1974,[[0.96277717]]
100,2000,[[0.96946463]]
101,1950,[[0.97131287]]
102,1927,[[0.97616314]]
103,1937,[[0.97108647]]
104,1936,[[0.97543252]]
105,2008,[[0.96560333]]
106,1965,[[0.97349153]]
107,1909,[[0.96806503]]
108,1988,[[0.97583223]]
109,1953,[[0.96892466]]
