,year,cosine_similarity
0,1985,[[0.65808407]]
1,1943,[[0.62860963]]
2,1993,[[0.68285661]]
3,1995,[[0.68514799]]
4,1958,[[0.68286025]]
5,1983,[[0.6806372]]
6,1919,[[0.59389647]]
7,1975,[[0.67416543]]
8,1960,[[0.68425025]]
9,1922,[[0.60421767]]
10,1928,[[0.61853119]]
11,2006,[[0.70791365]]
12,1972,[[0.66986364]]
13,1908,[[0.65167058]]
14,1916,[[0.66319275]]
15,1913,[[0.61649458]]
16,1987,[[0.6769928]]
17,1971,[[0.6645173]]
18,1906,[[0.65244815]]
19,1924,[[0.56671055]]
20,1955,[[0.63595822]]
21,1954,[[0.64197259]]
22,1956,[[0.61966536]]
23,1900,[[0.65227489]]
24,1948,[[0.63623762]]
25,2004,[[0.69302935]]
26,1978,[[0.67853821]]
27,1999,[[0.6620003]]
28,1998,[[0.67770862]]
29,1934,[[0.67663447]]
30,1997,[[0.66848554]]
31,2001,[[0.68025719]]
32,1991,[[0.66308727]]
33,1903,[[0.66253622]]
34,1962,[[0.6347038]]
35,1970,[[0.67998904]]
36,1921,[[0.6268609]]
37,1917,[[0.69052115]]
38,1923,[[0.57968782]]
39,1949,[[0.65506294]]
40,1905,[[0.6774727]]
41,1914,[[0.62243727]]
42,2009,[[0.63472083]]
43,1912,[[0.63217311]]
44,1994,[[0.68961125]]
45,1935,[[0.67991476]]
46,1984,[[0.69677431]]
47,1952,[[0.62775618]]
48,1989,[[0.68420662]]
49,1929,[[0.61046925]]
50,2005,[[0.70555519]]
51,1996,[[0.68368052]]
52,1911,[[0.62683515]]
53,1933,[[0.62595663]]
54,1982,[[0.69823675]]
55,1904,[[0.68490365]]
56,1964,[[0.65257774]]
57,1941,[[0.6597086]]
58,1979,[[0.72624567]]
59,1907,[[0.69130457]]
60,1992,[[0.67316424]]
61,1926,[[0.62200113]]
62,1976,[[0.63985556]]
63,1986,[[0.6972164]]
64,1957,[[0.66688281]]
65,1947,[[0.64345023]]
66,1920,[[0.6208757]]
67,1968,[[0.67859491]]
68,1946,[[0.63117686]]
69,1961,[[0.66875744]]
70,2002,[[0.7080822]]
71,1932,[[0.64989346]]
72,1980,[[0.68250871]]
73,1977,[[0.69529725]]
74,1902,[[0.62225281]]
75,1931,[[0.63318424]]
76,2007,[[0.66036992]]
77,1918,[[0.61379072]]
78,1990,[[0.67957606]]
79,1939,[[0.7072328]]
80,1925,[[0.62527235]]
81,1910,[[0.62943437]]
82,1944,[[0.64873475]]
83,1940,[[0.62670596]]
84,1945,[[0.6505444]]
85,1969,[[0.66374107]]
86,1973,[[0.72355534]]
87,2003,[[0.67739828]]
88,1959,[[0.66601679]]
89,1966,[[0.68411166]]
90,1915,[[0.61953491]]
91,1942,[[0.63320127]]
92,1951,[[0.63377215]]
93,1901,[[0.64666065]]
94,1930,[[0.64870508]]
95,1967,[[0.67909329]]
96,1963,[[0.66077028]]
97,1981,[[0.68749263]]
98,1938,[[0.66998482]]
99,1974,[[0.66177135]]
100,2000,[[0.67459317]]
101,1950,[[0.67765312]]
102,1927,[[0.61706322]]
103,1937,[[0.64319157]]
104,1936,[[0.68347768]]
105,2008,[[0.68793636]]
106,1965,[[0.64631789]]
107,1909,[[0.63267911]]
108,1988,[[0.6771436]]
109,1953,[[0.64636463]]
