,year,cosine_similarity
0,1985,[[0.64046586]]
1,1943,[[0.74656625]]
2,1993,[[0.67259645]]
3,1995,[[0.66755517]]
4,1958,[[0.67569758]]
5,1983,[[0.7077623]]
6,1919,[[0.73726152]]
7,1975,[[0.67858167]]
8,1960,[[0.70563802]]
9,1922,[[0.76133526]]
10,1928,[[0.70558175]]
11,2006,[[0.66077509]]
12,1972,[[0.66923008]]
13,1908,[[0.79216892]]
14,1916,[[0.68842352]]
15,1913,[[0.77670847]]
16,1987,[[0.70015248]]
17,1971,[[0.67715477]]
18,1906,[[0.75581688]]
19,1924,[[0.72080137]]
20,1955,[[0.64623395]]
21,1954,[[0.69019976]]
22,1956,[[0.66560361]]
23,1900,[[0.75849571]]
24,1948,[[0.73544092]]
25,2004,[[0.64669174]]
26,1978,[[0.62795269]]
27,1999,[[0.69326921]]
28,1998,[[0.67065362]]
29,1934,[[0.68806532]]
30,1997,[[0.6373844]]
31,2001,[[0.67037339]]
32,1991,[[0.67060351]]
33,1903,[[0.78553839]]
34,1962,[[0.64888755]]
35,1970,[[0.64112494]]
36,1921,[[0.67019716]]
37,1917,[[0.66495087]]
38,1923,[[0.71993129]]
39,1949,[[0.64212931]]
40,1905,[[0.76253466]]
41,1914,[[0.76985192]]
42,2009,[[0.68933804]]
43,1912,[[0.71604809]]
44,1994,[[0.63240581]]
45,1935,[[0.72090316]]
46,1984,[[0.66353229]]
47,1952,[[0.66323672]]
48,1989,[[0.69309525]]
49,1929,[[0.66549181]]
50,2005,[[0.71073068]]
51,1996,[[0.67248605]]
52,1911,[[0.70900475]]
53,1933,[[0.69609486]]
54,1982,[[0.66803988]]
55,1904,[[0.70513561]]
56,1964,[[0.72289567]]
57,1941,[[0.69316832]]
58,1979,[[0.68428638]]
59,1907,[[0.72687747]]
60,1992,[[0.69098809]]
61,1926,[[0.72112354]]
62,1976,[[0.68246776]]
63,1986,[[0.69061178]]
64,1957,[[0.70397262]]
65,1947,[[0.70844215]]
66,1920,[[0.66767696]]
67,1968,[[0.73483228]]
68,1946,[[0.73054063]]
69,1961,[[0.68058598]]
70,2002,[[0.64768713]]
71,1932,[[0.74687808]]
72,1980,[[0.70183491]]
73,1977,[[0.71873094]]
74,1902,[[0.74853828]]
75,1931,[[0.78186139]]
76,2007,[[0.67724467]]
77,1918,[[0.71684459]]
78,1990,[[0.66989493]]
79,1939,[[0.72467034]]
80,1925,[[0.70094898]]
81,1910,[[0.70595318]]
82,1944,[[0.6615051]]
83,1940,[[0.70411619]]
84,1945,[[0.68942647]]
85,1969,[[0.67180314]]
86,1973,[[0.7200564]]
87,2003,[[0.62612257]]
88,1959,[[0.70636942]]
89,1966,[[0.66661574]]
90,1915,[[0.68305852]]
91,1942,[[0.68168174]]
92,1951,[[0.70796094]]
93,1901,[[0.78651784]]
94,1930,[[0.72467986]]
95,1967,[[0.73125267]]
96,1963,[[0.70753697]]
97,1981,[[0.64065435]]
98,1938,[[0.70584602]]
99,1974,[[0.64138686]]
100,2000,[[0.67841477]]
101,1950,[[0.72530661]]
102,1927,[[0.71515264]]
103,1937,[[0.72068967]]
104,1936,[[0.7540793]]
105,2008,[[0.68267511]]
106,1965,[[0.71863623]]
107,1909,[[0.69098727]]
108,1988,[[0.66399901]]
109,1953,[[0.64666538]]
