,year,cosine_similarity
0,1985,[[0.56413636]]
1,1943,[[0.50108951]]
2,1993,[[0.57180654]]
3,1995,[[0.5375821]]
4,1958,[[0.54102511]]
5,1983,[[0.57914543]]
6,1919,[[0.57745887]]
7,1975,[[0.51512903]]
8,1960,[[0.58694964]]
9,1922,[[0.6417747]]
10,1928,[[0.57451011]]
11,2006,[[0.59634651]]
12,1972,[[0.61084299]]
13,1908,[[0.64068068]]
14,1916,[[0.58389334]]
15,1913,[[0.57701499]]
16,1987,[[0.56445447]]
17,1971,[[0.58669553]]
18,1906,[[0.57005218]]
19,1924,[[0.5587376]]
20,1955,[[0.57437196]]
21,1954,[[0.57055169]]
22,1956,[[0.5532964]]
23,1900,[[0.61867031]]
24,1948,[[0.63560792]]
25,2004,[[0.56460576]]
26,1978,[[0.54642642]]
27,1999,[[0.57035563]]
28,1998,[[0.55499369]]
29,1934,[[0.59725021]]
30,1997,[[0.54627954]]
31,2001,[[0.5649934]]
32,1991,[[0.54605861]]
33,1903,[[0.5907507]]
34,1962,[[0.54325544]]
35,1970,[[0.61337493]]
36,1921,[[0.61116307]]
37,1917,[[0.59661363]]
38,1923,[[0.60460106]]
39,1949,[[0.54965442]]
40,1905,[[0.62614688]]
41,1914,[[0.60702627]]
42,2009,[[0.58318565]]
43,1912,[[0.62773594]]
44,1994,[[0.52663778]]
45,1935,[[0.59974307]]
46,1984,[[0.56250224]]
47,1952,[[0.61976827]]
48,1989,[[0.56703398]]
49,1929,[[0.61389402]]
50,2005,[[0.58558745]]
51,1996,[[0.56419697]]
52,1911,[[0.62777551]]
53,1933,[[0.5819843]]
54,1982,[[0.54124247]]
55,1904,[[0.58567135]]
56,1964,[[0.60056717]]
57,1941,[[0.53086691]]
58,1979,[[0.56880758]]
59,1907,[[0.61092517]]
60,1992,[[0.54613691]]
61,1926,[[0.59563102]]
62,1976,[[0.56867715]]
63,1986,[[0.585944]]
64,1957,[[0.59232589]]
65,1947,[[0.61366047]]
66,1920,[[0.59069216]]
67,1968,[[0.61452202]]
68,1946,[[0.53717545]]
69,1961,[[0.56918938]]
70,2002,[[0.58704368]]
71,1932,[[0.61400371]]
72,1980,[[0.57515128]]
73,1977,[[0.57394173]]
74,1902,[[0.50671989]]
75,1931,[[0.59084784]]
76,2007,[[0.6142919]]
77,1918,[[0.51771205]]
78,1990,[[0.60472343]]
79,1939,[[0.61464284]]
80,1925,[[0.63243959]]
81,1910,[[0.56863984]]
82,1944,[[0.48485049]]
83,1940,[[0.62368458]]
84,1945,[[0.47543575]]
85,1969,[[0.55281069]]
86,1973,[[0.55519681]]
87,2003,[[0.60482827]]
88,1959,[[0.60281541]]
89,1966,[[0.5570512]]
90,1915,[[0.61544184]]
91,1942,[[0.51260821]]
92,1951,[[0.55930556]]
93,1901,[[0.52838429]]
94,1930,[[0.60186708]]
95,1967,[[0.593572]]
96,1963,[[0.60265602]]
97,1981,[[0.60037719]]
98,1938,[[0.56072722]]
99,1974,[[0.55935977]]
100,2000,[[0.56667847]]
101,1950,[[0.58545888]]
102,1927,[[0.59852437]]
103,1937,[[0.52352983]]
104,1936,[[0.58625406]]
105,2008,[[0.57791675]]
106,1965,[[0.58339506]]
107,1909,[[0.56331277]]
108,1988,[[0.5604709]]
109,1953,[[0.55222381]]
