,year,cosine_similarity
0,1985,[[0.63792652]]
1,1943,[[0.54643565]]
2,1993,[[0.59526791]]
3,1995,[[0.55574524]]
4,1958,[[0.56428267]]
5,1983,[[0.59080405]]
6,1919,[[0.52226085]]
7,1975,[[0.56873751]]
8,1960,[[0.59874696]]
9,1922,[[0.54209632]]
10,1928,[[0.59295466]]
11,2006,[[0.57453683]]
12,1972,[[0.62967763]]
13,1908,[[0.54414873]]
14,1916,[[0.57906051]]
15,1913,[[0.55460778]]
16,1987,[[0.5860176]]
17,1971,[[0.58709266]]
18,1906,[[0.55964997]]
19,1924,[[0.45889361]]
20,1955,[[0.56426019]]
21,1954,[[0.5977545]]
22,1956,[[0.53121345]]
23,1900,[[0.55172528]]
24,1948,[[0.60798717]]
25,2004,[[0.55742919]]
26,1978,[[0.59598298]]
27,1999,[[0.62853466]]
28,1998,[[0.6231657]]
29,1934,[[0.52889787]]
30,1997,[[0.57535141]]
31,2001,[[0.55899263]]
32,1991,[[0.56621327]]
33,1903,[[0.54490876]]
34,1962,[[0.60742344]]
35,1970,[[0.55502727]]
36,1921,[[0.50527806]]
37,1917,[[0.48151624]]
38,1923,[[0.51355083]]
39,1949,[[0.56565338]]
40,1905,[[0.54947782]]
41,1914,[[0.59817669]]
42,2009,[[0.59728792]]
43,1912,[[0.50067545]]
44,1994,[[0.61187853]]
45,1935,[[0.52119342]]
46,1984,[[0.60064843]]
47,1952,[[0.61691512]]
48,1989,[[0.58996497]]
49,1929,[[0.53458572]]
50,2005,[[0.6214675]]
51,1996,[[0.59737182]]
52,1911,[[0.55362697]]
53,1933,[[0.48585351]]
54,1982,[[0.61458933]]
55,1904,[[0.52517099]]
56,1964,[[0.56008161]]
57,1941,[[0.51629819]]
58,1979,[[0.55998338]]
59,1907,[[0.48768118]]
60,1992,[[0.60663753]]
61,1926,[[0.55454558]]
62,1976,[[0.63381749]]
63,1986,[[0.62166518]]
64,1957,[[0.627835]]
65,1947,[[0.57547259]]
66,1920,[[0.52207866]]
67,1968,[[0.56317642]]
68,1946,[[0.54647965]]
69,1961,[[0.57079438]]
70,2002,[[0.61484918]]
71,1932,[[0.50907337]]
72,1980,[[0.58742853]]
73,1977,[[0.6118207]]
74,1902,[[0.52897785]]
75,1931,[[0.51148565]]
76,2007,[[0.5658256]]
77,1918,[[0.4652112]]
78,1990,[[0.54801174]]
79,1939,[[0.55342927]]
80,1925,[[0.49049757]]
81,1910,[[0.59202865]]
82,1944,[[0.49377289]]
83,1940,[[0.52782538]]
84,1945,[[0.54175019]]
85,1969,[[0.58295518]]
86,1973,[[0.57146031]]
87,2003,[[0.57334186]]
88,1959,[[0.56136788]]
89,1966,[[0.60289638]]
90,1915,[[0.60990093]]
91,1942,[[0.6171554]]
92,1951,[[0.60283332]]
93,1901,[[0.54352937]]
94,1930,[[0.57401328]]
95,1967,[[0.59011543]]
96,1963,[[0.58820464]]
97,1981,[[0.61256245]]
98,1938,[[0.50667171]]
99,1974,[[0.57021466]]
100,2000,[[0.60792757]]
101,1950,[[0.54049307]]
102,1927,[[0.5332252]]
103,1937,[[0.60580022]]
104,1936,[[0.57718703]]
105,2008,[[0.60895074]]
106,1965,[[0.61064539]]
107,1909,[[0.52329857]]
108,1988,[[0.58888125]]
109,1953,[[0.57908894]]
