,year,cosine_similarity
0,1985,[[0.93875155]]
1,1943,[[0.92667745]]
2,1993,[[0.92561418]]
3,1995,[[0.92525041]]
4,1958,[[0.92488278]]
5,1983,[[0.93151098]]
6,1919,[[0.92182111]]
7,1975,[[0.92533906]]
8,1960,[[0.93740417]]
9,1922,[[0.91627006]]
10,1928,[[0.93105286]]
11,2006,[[0.92066786]]
12,1972,[[0.93615446]]
13,1908,[[0.95776847]]
14,1916,[[0.94003051]]
15,1913,[[0.94150566]]
16,1987,[[0.92189497]]
17,1971,[[0.92907663]]
18,1906,[[0.95382882]]
19,1924,[[0.90632843]]
20,1955,[[0.92022972]]
21,1954,[[0.92445176]]
22,1956,[[0.92542763]]
23,1900,[[0.94249914]]
24,1948,[[0.93129737]]
25,2004,[[0.92868346]]
26,1978,[[0.92902624]]
27,1999,[[0.9304451]]
28,1998,[[0.93081246]]
29,1934,[[0.91965704]]
30,1997,[[0.92357337]]
31,2001,[[0.9224586]]
32,1991,[[0.91184366]]
33,1903,[[0.94909708]]
34,1962,[[0.9339455]]
35,1970,[[0.92321872]]
36,1921,[[0.89828356]]
37,1917,[[0.93997805]]
38,1923,[[0.92011421]]
39,1949,[[0.91624071]]
40,1905,[[0.95668352]]
41,1914,[[0.95527374]]
42,2009,[[0.9299867]]
43,1912,[[0.94725248]]
44,1994,[[0.92711435]]
45,1935,[[0.9073325]]
46,1984,[[0.93104953]]
47,1952,[[0.92540369]]
48,1989,[[0.93193936]]
49,1929,[[0.9184584]]
50,2005,[[0.92729903]]
51,1996,[[0.92836454]]
52,1911,[[0.94489764]]
53,1933,[[0.89480775]]
54,1982,[[0.93716991]]
55,1904,[[0.94165602]]
56,1964,[[0.91909932]]
57,1941,[[0.92274469]]
58,1979,[[0.91626251]]
59,1907,[[0.93968294]]
60,1992,[[0.92725466]]
61,1926,[[0.92603683]]
62,1976,[[0.93413873]]
63,1986,[[0.93173565]]
64,1957,[[0.92867643]]
65,1947,[[0.91433466]]
66,1920,[[0.90812529]]
67,1968,[[0.92656578]]
68,1946,[[0.91662535]]
69,1961,[[0.9287441]]
70,2002,[[0.93497883]]
71,1932,[[0.91188061]]
72,1980,[[0.93059425]]
73,1977,[[0.92834315]]
74,1902,[[0.96298545]]
75,1931,[[0.89941266]]
76,2007,[[0.91584837]]
77,1918,[[0.93840739]]
78,1990,[[0.92286533]]
79,1939,[[0.91962583]]
80,1925,[[0.91150828]]
81,1910,[[0.94125822]]
82,1944,[[0.90459081]]
83,1940,[[0.93306201]]
84,1945,[[0.92662147]]
85,1969,[[0.93247169]]
86,1973,[[0.92882729]]
87,2003,[[0.93087832]]
88,1959,[[0.93470473]]
89,1966,[[0.92328085]]
90,1915,[[0.95490168]]
91,1942,[[0.93599371]]
92,1951,[[0.92559393]]
93,1901,[[0.96596022]]
94,1930,[[0.90704035]]
95,1967,[[0.93012828]]
96,1963,[[0.92843916]]
97,1981,[[0.9336393]]
98,1938,[[0.92308625]]
99,1974,[[0.9225244]]
100,2000,[[0.92828568]]
101,1950,[[0.91611154]]
102,1927,[[0.91783469]]
103,1937,[[0.92899675]]
104,1936,[[0.92498427]]
105,2008,[[0.93233267]]
106,1965,[[0.93326495]]
107,1909,[[0.92971182]]
108,1988,[[0.92926485]]
109,1953,[[0.92789173]]
