,year,cosine_similarity
0,1985,[[0.94008728]]
1,1943,[[0.96360536]]
2,1993,[[0.9509328]]
3,1995,[[0.95327498]]
4,1958,[[0.91948581]]
5,1983,[[0.94064644]]
6,1919,[[0.90118999]]
7,1975,[[0.92378236]]
8,1960,[[0.92625349]]
9,1922,[[0.91302374]]
10,1928,[[0.94127747]]
11,2006,[[0.95469699]]
12,1972,[[0.93319914]]
13,1908,0
14,1916,0
15,1913,[[0.77812988]]
16,1987,[[0.93314509]]
17,1971,[[0.93099461]]
18,1906,[[0.91973088]]
19,1924,[[0.91120968]]
20,1955,[[0.94260112]]
21,1954,[[0.917476]]
22,1956,[[0.93450901]]
23,1900,0
24,1948,[[0.93048479]]
25,2004,[[0.95114091]]
26,1978,[[0.92950892]]
27,1999,[[0.97231138]]
28,1998,[[0.94691236]]
29,1934,[[0.92862567]]
30,1997,[[0.94867812]]
31,2001,[[0.96108887]]
32,1991,[[0.943712]]
33,1903,0
34,1962,[[0.91674002]]
35,1970,[[0.93084231]]
36,1921,[[0.91852956]]
37,1917,[[0.94002905]]
38,1923,[[0.94384136]]
39,1949,[[0.93142934]]
40,1905,[[0.86574146]]
41,1914,0
42,2009,[[0.96331493]]
43,1912,0
44,1994,[[0.96017965]]
45,1935,[[0.93042547]]
46,1984,[[0.93386203]]
47,1952,[[0.93180121]]
48,1989,[[0.94517706]]
49,1929,[[0.93288807]]
50,2005,[[0.97094916]]
51,1996,[[0.95423342]]
52,1911,0
53,1933,[[0.9072299]]
54,1982,[[0.92821164]]
55,1904,0
56,1964,[[0.92269686]]
57,1941,[[0.93192852]]
58,1979,[[0.93328452]]
59,1907,[[0.92390412]]
60,1992,[[0.95286523]]
61,1926,[[0.93939152]]
62,1976,[[0.92620467]]
63,1986,[[0.93658331]]
64,1957,[[0.91976342]]
65,1947,[[0.9353264]]
66,1920,[[0.90081651]]
67,1968,[[0.91192346]]
68,1946,[[0.94470829]]
69,1961,[[0.90210875]]
70,2002,[[0.93973063]]
71,1932,[[0.90707373]]
72,1980,[[0.93236483]]
73,1977,[[0.93872306]]
74,1902,0
75,1931,[[0.93993557]]
76,2007,[[0.96539788]]
77,1918,[[0.91378868]]
78,1990,[[0.94215007]]
79,1939,[[0.90982567]]
80,1925,[[0.92935731]]
81,1910,0
82,1944,[[0.94295934]]
83,1940,[[0.91071082]]
84,1945,[[0.93685817]]
85,1969,[[0.90548799]]
86,1973,[[0.92413663]]
87,2003,[[0.95966908]]
88,1959,[[0.92410879]]
89,1966,[[0.93706901]]
90,1915,0
91,1942,[[0.91481113]]
92,1951,[[0.92864441]]
93,1901,0
94,1930,[[0.93664061]]
95,1967,[[0.93112283]]
96,1963,[[0.91963969]]
97,1981,[[0.9353377]]
98,1938,[[0.92331946]]
99,1974,[[0.93758899]]
100,2000,[[0.9562715]]
101,1950,[[0.91939434]]
102,1927,[[0.94186381]]
103,1937,[[0.92666176]]
104,1936,[[0.92824529]]
105,2008,[[0.96386898]]
106,1965,[[0.91453957]]
107,1909,0
108,1988,[[0.94818644]]
109,1953,[[0.91571725]]
