,year,words
0,1985,"['威权', '极权', '无政府', '民粹', '平权']"
1,1993,"['威权', '极权', '无政府', '民粹', '平权']"
2,1995,"['威权', '极权', '无政府', '民粹', '平权']"
3,1958,"['威权', '极权', '无政府', '民粹', '平权']"
4,1983,"['威权', '极权', '无政府', '民粹', '平权']"
5,1975,"['威权', '无政府', '民粹', '平权']"
6,1960,"['威权', '极权', '无政府', '民粹', '平权']"
7,2006,"['威权', '极权', '无政府', '民粹', '平权']"
8,1972,"['威权', '无政府', '民粹', '平权']"
9,1987,"['威权', '极权', '无政府', '民粹', '平权']"
10,1971,"['威权', '无政府', '民粹', '平权']"
11,1955,"['威权', '极权', '无政府', '民粹', '平权']"
12,1956,"['威权', '极权', '无政府', '民粹', '平权']"
13,2004,"['威权', '无政府', '民粹', '平权']"
14,1978,"['威权', '极权', '无政府', '民粹', '平权']"
15,1999,"['威权', '无政府', '民粹', '平权']"
16,1998,"['威权', '极权', '无政府', '民粹', '平权']"
17,1997,"['威权', '极权', '无政府', '民粹', '平权']"
18,2001,"['威权', '无政府', '民粹', '平权']"
19,1991,"['威权', '无政府', '民粹', '平权']"
20,1962,"['威权', '极权', '无政府', '民粹', '平权']"
21,1970,"['威权', '无政府', '民粹', '平权']"
22,2009,"['威权', '无政府', '民粹', '平权']"
23,1994,"['威权', '极权', '无政府', '民粹', '平权']"
24,1984,"['威权', '极权', '无政府', '民粹', '平权']"
25,1989,"['威权', '极权', '无政府', '民粹', '平权']"
26,2005,"['威权', '无政府', '民粹', '平权']"
27,1996,"['威权', '极权', '无政府', '民粹', '平权']"
28,1982,"['威权', '极权', '无政府', '民粹', '平权']"
29,1964,"['威权', '无政府', '民粹', '乌托邦', '平权']"
30,1979,"['威权', '极权', '无政府', '民粹', '平权']"
31,1992,"['威权', '极权', '无政府', '民粹', '平权']"
32,1976,"['威权', '极权', '无政府', '民粹', '平权']"
33,1986,"['威权', '极权', '无政府', '民粹', '平权']"
34,1957,"['威权', '极权', '无政府', '民粹', '乌托邦', '平权']"
35,1968,"['无政府', '民粹', '乌托邦', '平权']"
36,1961,"['威权', '极权', '无政府', '民粹', '乌托邦', '平权']"
37,2002,"['威权', '无政府', '民粹', '平权']"
38,1980,"['威权', '极权', '无政府', '民粹', '平权']"
39,1977,"['威权', '极权', '无政府', '民粹', '乌托邦', '平权']"
40,2007,"['威权', '极权', '无政府', '民粹', '平权']"
41,1990,"['威权', '无政府', '民粹', '平权']"
42,1969,"['无政府', '民粹', '人文', '乌托邦', '平权']"
43,1973,"['威权', '极权', '无政府', '民粹', '平权']"
44,2003,"['威权', '极权', '无政府', '民粹', '平权']"
45,1959,"['威权', '极权', '无政府', '民粹', '乌托邦', '平权']"
46,1966,"['威权', '无政府', '民粹', '人文', '乌托邦', '平权']"
47,1967,"['威权', '极权', '无政府', '民粹', '乌托邦', '平权']"
48,1963,"['威权', '极权', '无政府', '民粹', '乌托邦', '平权']"
49,1981,"['威权', '极权', '无政府', '民粹', '平权']"
50,1974,"['威权', '无政府', '民粹', '平权']"
51,2000,"['威权', '极权', '无政府', '民粹', '平权']"
52,2008,"['威权', '无政府', '民粹', '平权']"
53,1965,"['威权', '极权', '无政府', '民粹', '乌托邦', '平权']"
54,1988,"['威权', '极权', '无政府', '民粹', '平权']"
