,year,words
0,1985,"['authoritarianism', 'totaliarianism', 'anarchism', 'environmentalism', 'libertarianism', 'libertarian', 'progressivism']"
1,1943,"['authoritarianism', 'totaliarianism', 'anarchism', 'environmentalism', 'libertarianism', 'libertarian', 'liberalization', 'populism', 'progressivism', 'utopian']"
2,1993,"['totaliarianism', 'anarchism', 'libertarianism', 'libertarian', 'progressivism']"
3,1995,"['totaliarianism', 'libertarianism', 'libertarian', 'progressivism']"
4,1958,"['authoritarianism', 'totaliarianism', 'anarchism', 'environmentalism', 'libertarianism', 'libertarian', 'populism', 'progressivism']"
5,1983,"['totaliarianism', 'environmentalism', 'libertarianism']"
6,1919,"['authoritarian', 'authoritarianism', 'totaliarianism', 'environmentalism', 'fascism', 'fascist', 'libertarianism', 'libertarian', 'liberalization', 'populism', 'progressivism', 'utopian']"
7,1975,"['totaliarianism', 'environmentalism', 'libertarianism', 'libertarian']"
8,1960,"['authoritarianism', 'totaliarianism', 'anarchism', 'environmentalism', 'libertarianism', 'libertarian', 'populism', 'progressivism']"
9,1922,"['authoritarian', 'authoritarianism', 'totaliarianism', 'anarchism', 'environmentalism', 'fascism', 'fascist', 'libertarianism', 'libertarian', 'liberalization', 'populism', 'progressivism', 'humanist', 'utopian']"
10,1928,"['authoritarian', 'authoritarianism', 'totaliarianism', 'anarchism', 'environmentalism', 'libertarianism', 'libertarian', 'liberalization', 'populism', 'populist', 'progressivism', 'utopian']"
11,2006,"['totaliarianism', 'libertarianism', 'libertarian', 'progressivism']"
12,1972,"['totaliarianism', 'environmentalism', 'libertarianism', 'libertarian']"
13,1908,"['authoritarian', 'authoritarianism', 'totaliarianism', 'anarchism', 'environmentalism', 'fascism', 'fascist', 'libertarianism', 'libertarian', 'liberalization', 'nationalism', 'populism', 'populist', 'progressivism', 'humanism', 'humanist', 'utopian']"
14,1916,"['authoritarian', 'authoritarianism', 'communist', 'totaliarianism', 'anarchism', 'environmentalism', 'fascism', 'fascist', 'libertarianism', 'libertarian', 'liberalization', 'populism', 'populist', 'progressivism']"
15,1913,"['authoritarian', 'authoritarianism', 'totaliarianism', 'anarchism', 'environmentalism', 'fascism', 'fascist', 'libertarianism', 'libertarian', 'liberalization', 'populism', 'populist', 'progressivism', 'humanist', 'utopian']"
16,1987,"['totaliarianism', 'anarchism', 'environmentalism', 'libertarianism', 'libertarian', 'progressivism']"
17,1971,"['totaliarianism', 'environmentalism', 'libertarianism', 'libertarian']"
18,1906,"['authoritarian', 'authoritarianism', 'totaliarianism', 'anarchism', 'environmentalism', 'fascism', 'fascist', 'libertarianism', 'libertarian', 'liberalization', 'nationalism', 'nationalist', 'populism', 'populist', 'progressivism', 'humanism', 'humanist', 'utopian']"
19,1924,"['authoritarian', 'authoritarianism', 'totaliarianism', 'anarchism', 'environmentalism', 'fascism', 'libertarianism', 'libertarian', 'liberalization', 'populism', 'progressivism', 'utopian']"
20,1955,"['authoritarianism', 'totaliarianism', 'anarchism', 'environmentalism', 'libertarianism', 'libertarian', 'liberalization', 'populism', 'progressivism']"
21,1954,"['authoritarianism', 'totaliarianism', 'anarchism', 'environmentalism', 'libertarianism', 'libertarian', 'liberalization', 'populism', 'progressivism', 'utopian']"
22,1956,"['totaliarianism', 'anarchism', 'environmentalism', 'libertarianism', 'libertarian', 'liberalization', 'populism', 'progressivism']"
23,1900,"['authoritarian', 'authoritarianism', 'communist', 'totaliarianism', 'anarchist', 'anarchism', 'environmentalism', 'fascism', 'fascist', 'libertarianism', 'libertarian', 'liberalization', 'nationalism', 'nationalist', 'populism', 'populist', 'progressivism', 'humanism', 'humanist', 'capitalism', 'utopian']"
24,1948,"['authoritarianism', 'totaliarianism', 'environmentalism', 'libertarianism', 'libertarian', 'liberalization', 'populism', 'progressivism']"
25,2004,"['authoritarianism', 'totaliarianism', 'anarchism', 'libertarianism', 'progressivism']"
26,1978,"['totaliarianism', 'environmentalism', 'libertarianism', 'libertarian', 'populism', 'progressivism']"
27,1999,"['totaliarianism', 'libertarianism', 'populism']"
28,1998,"['totaliarianism', 'anarchism', 'environmentalism', 'libertarianism', 'libertarian']"
29,1934,"['authoritarian', 'authoritarianism', 'totaliarianism', 'anarchism', 'environmentalism', 'libertarianism', 'libertarian', 'liberalization', 'populism', 'progressivism']"
30,1997,"['totaliarianism', 'libertarianism']"
31,2001,"['totaliarianism', 'anarchism', 'libertarianism', 'libertarian', 'progressivism']"
32,1991,"['totaliarianism', 'anarchism', 'environmentalism', 'libertarianism', 'libertarian']"
33,1903,"['authoritarian', 'authoritarianism', 'totaliarianism', 'anarchism', 'environmentalism', 'fascism', 'fascist', 'libertarianism', 'libertarian', 'liberalization', 'nationalism', 'nationalist', 'populism', 'populist', 'progressivism', 'humanism', 'humanist', 'utopian']"
34,1962,"['totaliarianism', 'anarchism', 'environmentalism', 'libertarianism', 'libertarian', 'populism', 'progressivism']"
35,1970,"['totaliarianism', 'environmentalism', 'libertarianism', 'libertarian', 'progressivism']"
36,1921,"['authoritarian', 'authoritarianism', 'totaliarianism', 'anarchism', 'environmentalism', 'fascism', 'fascist', 'libertarianism', 'libertarian', 'liberalization', 'populism', 'progressivism', 'humanism', 'humanist', 'utopian']"
37,1917,"['authoritarian', 'authoritarianism', 'communism', 'communist', 'totaliarianism', 'anarchist', 'anarchism', 'environmentalism', 'fascism', 'fascist', 'libertarianism', 'libertarian', 'liberalization', 'populism', 'populist', 'progressivism', 'humanism', 'humanist', 'utopian']"
38,1923,"['authoritarian', 'authoritarianism', 'totaliarianism', 'anarchism', 'environmentalism', 'fascism', 'libertarianism', 'libertarian', 'liberalization', 'populism', 'populist', 'progressivism', 'humanist', 'utopian']"
39,1949,"['authoritarianism', 'totaliarianism', 'anarchism', 'environmentalism', 'libertarianism', 'libertarian', 'liberalization', 'populism', 'progressivism']"
40,1905,"['authoritarian', 'authoritarianism', 'communist', 'totaliarianism', 'anarchism', 'environmentalism', 'fascism', 'fascist', 'liberalism', 'libertarianism', 'libertarian', 'liberalization', 'nationalism', 'nationalist', 'populism', 'populist', 'progressivism', 'humanism', 'humanist', 'utopian']"
41,1914,"['authoritarian', 'authoritarianism', 'totaliarianism', 'environmentalism', 'fascism', 'fascist', 'libertarianism', 'libertarian', 'liberalization', 'populism', 'populist', 'progressivism', 'humanist', 'utopian']"
42,2009,"['totaliarianism', 'anarchism', 'libertarianism', 'libertarian', 'populism', 'progressivism']"
43,1912,"['authoritarian', 'authoritarianism', 'totaliarianism', 'anarchism', 'environmentalism', 'fascism', 'fascist', 'libertarianism', 'libertarian', 'liberalization', 'nationalist', 'populism', 'populist', 'progressivism', 'humanist', 'utopian']"
44,1994,"['totaliarianism', 'libertarianism', 'libertarian', 'progressivism']"
45,1935,"['authoritarian', 'authoritarianism', 'totaliarianism', 'anarchism', 'environmentalism', 'libertarianism', 'libertarian', 'liberalization', 'populism', 'progressivism']"
46,1984,"['totaliarianism', 'anarchism', 'environmentalism', 'libertarianism', 'libertarian', 'populism', 'progressivism']"
47,1952,"['authoritarianism', 'totaliarianism', 'anarchism', 'environmentalism', 'libertarianism', 'libertarian', 'liberalization', 'populism', 'progressivism']"
48,1989,"['totaliarianism', 'environmentalism', 'libertarianism', 'libertarian']"
49,1929,"['authoritarian', 'authoritarianism', 'totaliarianism', 'anarchism', 'environmentalism', 'fascism', 'libertarianism', 'libertarian', 'liberalization', 'populism', 'populist', 'progressivism', 'utopian']"
50,2005,"['authoritarianism', 'totaliarianism', 'libertarianism', 'libertarian']"
51,1996,"['totaliarianism', 'libertarianism', 'libertarian']"
52,1911,"['authoritarian', 'authoritarianism', 'totaliarianism', 'environmentalism', 'fascism', 'fascist', 'liberalism', 'libertarianism', 'libertarian', 'liberalization', 'nationalist', 'populism', 'populist', 'progressivism', 'humanist']"
53,1933,"['authoritarian', 'authoritarianism', 'totaliarianism', 'environmentalism', 'libertarianism', 'libertarian', 'liberalization', 'populism', 'progressivism', 'humanist']"
54,1982,"['authoritarianism', 'totaliarianism', 'environmentalism', 'libertarianism']"
55,1904,"['authoritarian', 'authoritarianism', 'communist', 'totaliarianism', 'anarchist', 'anarchism', 'environmentalism', 'fascism', 'fascist', 'libertarianism', 'libertarian', 'liberalization', 'nationalism', 'nationalist', 'populism', 'populist', 'progressivism', 'humanism', 'humanist', 'utopian']"
56,1964,"['totaliarianism', 'environmentalism', 'libertarianism', 'libertarian', 'populism', 'progressivism']"
