,year,words
0,1985,"['autoritaire', 'autoritarisme', 'totaliarisme', 'anarchiste', 'anarchisme', 'conservatisme', 'libertarianisme', 'libertaire', 'populisme', 'populiste', 'progressisme', 'progressiste', 'humaniste', 'utopique']"
1,1943,"['autoritaire', 'autoritarisme', 'totaliarisme', 'anarchiste', 'anarchisme', 'conservatisme', 'libertarianisme', 'libertaire', 'libéralisation', 'nationaliste', 'populisme', 'populiste', 'progressisme', 'progressiste', 'humaniste', 'utopie', 'utopique']"
2,1993,"['autoritaire', 'autoritarisme', 'totaliarisme', 'anarchiste', 'anarchisme', 'conservatisme', 'libertarianisme', 'libertaire', 'nationaliste', 'populisme', 'populiste', 'progressisme', 'progressiste', 'humaniste', 'utopique']"
3,1995,"['autoritaire', 'autoritarisme', 'totaliarisme', 'anarchiste', 'anarchisme', 'conservatisme', 'libertarianisme', 'libertaire', 'populisme', 'populiste', 'progressisme', 'progressiste', 'humaniste', 'utopique']"
4,1958,"['autoritaire', 'autoritarisme', 'totaliarisme', 'anarchiste', 'anarchisme', 'conservatisme', 'fasciste', 'libertarianisme', 'libertaire', 'libéralisation', 'nationaliste', 'populisme', 'populiste', 'progressisme', 'progressiste', 'humaniste', 'utopie', 'utopique']"
5,1983,"['autoritarisme', 'totaliarisme', 'anarchiste', 'anarchisme', 'conservatisme', 'libertarianisme', 'libertaire', 'nationaliste', 'populisme', 'populiste', 'progressisme', 'progressiste', 'humaniste', 'utopique']"
6,1919,"['autoritaire', 'autoritarisme', 'communisme', 'totaliarisme', 'anarchiste', 'anarchisme', 'conservatisme', 'fascisme', 'fasciste', 'libéralisme', 'libertarianisme', 'libertaire', 'libéralisation', 'nationalisme', 'nationaliste', 'populisme', 'populiste', 'progressisme', 'progressiste', 'humanisme', 'humaniste', 'utopique']"
7,1975,"['autoritaire', 'autoritarisme', 'totaliarisme', 'anarchiste', 'anarchisme', 'conservatisme', 'libertarianisme', 'libertaire', 'populisme', 'populiste', 'progressisme', 'progressiste', 'humaniste', 'utopique']"
8,1960,"['autoritarisme', 'totaliarisme', 'anarchiste', 'anarchisme', 'conservatisme', 'fasciste', 'libertarianisme', 'libertaire', 'nationalisme', 'nationaliste', 'populisme', 'populiste', 'progressisme', 'progressiste', 'humaniste', 'utopique']"
9,1922,"['autoritaire', 'autoritarisme', 'totaliarisme', 'anarchiste', 'anarchisme', 'conservatisme', 'fascisme', 'fasciste', 'libéralisme', 'libertarianisme', 'libertaire', 'libéralisation', 'nationalisme', 'nationaliste', 'populisme', 'populiste', 'progressisme', 'progressiste', 'humaniste', 'utopique']"
10,1928,"['autoritaire', 'autoritarisme', 'totaliarisme', 'anarchiste', 'anarchisme', 'conservatisme', 'libertarianisme', 'libertaire', 'libéralisation', 'nationaliste', 'populisme', 'populiste', 'progressisme', 'progressiste', 'humanisme', 'humaniste', 'utopie', 'utopique']"
11,2006,"['autoritarisme', 'totaliarisme', 'anarchiste', 'anarchisme', 'conservatisme', 'libertarianisme', 'libertaire', 'populisme', 'populiste', 'progressisme', 'progressiste', 'humaniste', 'utopique']"
12,1972,"['autoritarisme', 'totaliarisme', 'anarchiste', 'anarchisme', 'conservatisme', 'libertarianisme', 'libertaire', 'populisme', 'populiste', 'progressisme', 'progressiste', 'humaniste', 'utopique']"
13,1908,"['autoritaire', 'autoritarisme', 'communisme', 'communiste', 'totaliarisme', 'anarchiste', 'anarchisme', 'conservatisme', 'fascisme', 'fasciste', 'libertarianisme', 'libertaire', 'libéralisation', 'nationalisme', 'nationaliste', 'populisme', 'populiste', 'progressisme', 'progressiste', 'humanisme', 'humaniste', 'utopique']"
14,1916,"['autoritaire', 'autoritarisme', 'communisme', 'communiste', 'totaliarisme', 'anarchiste', 'anarchisme', 'conservatisme', 'fascisme', 'fasciste', 'libéralisme', 'libertarianisme', 'libertaire', 'libéralisation', 'nationalisme', 'nationaliste', 'populisme', 'populiste', 'progressisme', 'progressiste', 'humanisme', 'humaniste', 'capitalisme', 'utopie', 'utopique']"
15,1913,"['autoritaire', 'autoritarisme', 'communisme', 'communiste', 'totaliarisme', 'anarchiste', 'anarchisme', 'conservatisme', 'fascisme', 'fasciste', 'libertarianisme', 'libertaire', 'libéralisation', 'nationalisme', 'nationaliste', 'populisme', 'populiste', 'progressisme', 'progressiste', 'humanisme', 'humaniste', 'utopique']"
16,1987,"['autoritaire', 'autoritarisme', 'totaliarisme', 'anarchiste', 'anarchisme', 'conservatisme', 'libertarianisme', 'libertaire', 'nationaliste', 'populisme', 'populiste', 'progressisme', 'progressiste', 'humaniste', 'utopique']"
17,1971,"['autoritaire', 'autoritarisme', 'totaliarisme', 'anarchiste', 'anarchisme', 'conservatisme', 'libertarianisme', 'libertaire', 'populisme', 'populiste', 'progressisme', 'progressiste', 'humaniste', 'utopique']"
18,1906,"['dictature', 'autoritaire', 'autoritarisme', 'communisme', 'communiste', 'totaliarisme', 'anarchiste', 'anarchisme', 'conservatisme', 'fascisme', 'fasciste', 'libéralisme', 'libertarianisme', 'libertaire', 'libéralisation', 'nationalisme', 'nationaliste', 'populisme', 'populiste', 'progressisme', 'progressiste', 'humanisme', 'humaniste', 'capitalisme', 'utopique']"
19,1924,"['autoritaire', 'autoritarisme', 'totaliarisme', 'anarchiste', 'anarchisme', 'conservatisme', 'fascisme', 'fasciste', 'libéralisme', 'libertarianisme', 'libertaire', 'libéralisation', 'nationalisme', 'nationaliste', 'populisme', 'populiste', 'progressisme', 'progressiste', 'humanisme', 'humaniste', 'utopique']"
20,1955,"['autoritaire', 'autoritarisme', 'totaliarisme', 'anarchiste', 'anarchisme', 'conservatisme', 'fasciste', 'libertarianisme', 'libertaire', 'libéralisation', 'populisme', 'populiste', 'progressisme', 'progressiste', 'humaniste', 'utopique']"
21,1954,"['autoritaire', 'autoritarisme', 'totaliarisme', 'anarchiste', 'anarchisme', 'conservatisme', 'fasciste', 'libertarianisme', 'libertaire', 'libéralisation', 'populisme', 'populiste', 'progressisme', 'progressiste', 'humaniste', 'utopique']"
22,1956,"['autoritarisme', 'totaliarisme', 'anarchiste', 'anarchisme', 'conservatisme', 'libertarianisme', 'libertaire', 'libéralisation', 'populisme', 'populiste', 'progressisme', 'progressiste', 'humaniste', 'utopique']"
23,1900,"['autoritaire', 'autoritarisme', 'communisme', 'communiste', 'totaliarisme', 'anarchiste', 'anarchisme', 'conservatisme', 'fascisme', 'fasciste', 'libéralisme', 'libertarianisme', 'libertaire', 'libéralisation', 'nationalisme', 'nationaliste', 'populisme', 'populiste', 'progressisme', 'progressiste', 'humanisme', 'humaniste', 'capitalisme', 'utopie', 'utopique']"
24,1948,"['autoritaire', 'autoritarisme', 'totaliarisme', 'anarchiste', 'anarchisme', 'conservatisme', 'libertarianisme', 'libertaire', 'libéralisation', 'nationalisme', 'nationaliste', 'populisme', 'populiste', 'progressisme', 'progressiste', 'humaniste', 'utopique']"
25,2004,"['autoritaire', 'autoritarisme', 'totaliarisme', 'anarchiste', 'anarchisme', 'conservatisme', 'libertarianisme', 'libertaire', 'populisme', 'populiste', 'progressisme', 'progressiste', 'humaniste', 'utopique']"
