,year,words
0,1985,"['autoritär', 'totaliarismus', 'anarchist', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
1,1943,"['autoritär', 'autoritarismus', 'kommunist', 'totaliarismus', 'sozialist', 'anarchist', 'anarchismus', 'konservatismus', 'Faschist', 'libertarismus', 'liberalisierung', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'kapitalist', 'utopisch']"
2,1993,"['autoritär', 'autoritarismus', 'totaliarismus', 'anarchist', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'humanist', 'kapitalist']"
3,1995,"['autoritär', 'totaliarismus', 'anarchist', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
4,1958,"['autoritär', 'autoritarismus', 'totaliarismus', 'anarchist', 'anarchismus', 'konservatismus', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'kapitalist', 'utopisch']"
5,1983,"['autoritär', 'autoritarismus', 'totaliarismus', 'anarchist', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist']"
6,1919,"['autoritär', 'autoritarismus', 'kommunist', 'totaliarismus', 'sozialist', 'anarchist', 'anarchismus', 'konservatismus', 'faschismus', 'Faschist', 'libertarismus', 'liberalisierung', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
7,1975,"['autoritär', 'autoritarismus', 'totaliarismus', 'anarchist', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist']"
8,1960,"['autoritär', 'autoritarismus', 'totaliarismus', 'anarchist', 'anarchismus', 'konservatismus', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
9,1922,"['autoritär', 'autoritarismus', 'kommunist', 'totaliarismus', 'sozialist', 'anarchist', 'konservatismus', 'faschismus', 'Faschist', 'libertarismus', 'liberalisierung', 'nationalist', 'populismus', 'populist', 'progressivismus', 'humanist', 'utopisch']"
10,1928,"['autoritär', 'autoritarismus', 'kommunist', 'totaliarismus', 'sozialist', 'anarchist', 'konservatismus', 'Faschist', 'libertarismus', 'liberalisierung', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
11,2006,"['autoritär', 'autoritarismus', 'totaliarismus', 'sozialist', 'anarchist', 'anarchismus', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
12,1972,"['autoritär', 'autoritarismus', 'totaliarismus', 'anarchist', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'humanist', 'utopisch']"
13,1908,"['autoritär', 'autoritarismus', 'kommunist', 'totaliarismus', 'sozialist', 'anarchist', 'konservatismus', 'faschismus', 'Faschist', 'libertarismus', 'liberalisierung', 'nationalismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
14,1916,"['autoritär', 'autoritarismus', 'kommunist', 'totaliarismus', 'sozialist', 'anarchist', 'anarchismus', 'konservatismus', 'faschismus', 'Faschist', 'libertarismus', 'liberalisierung', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
15,1913,"['autoritär', 'autoritarismus', 'kommunist', 'totaliarismus', 'sozialist', 'anarchist', 'konservatismus', 'faschismus', 'Faschist', 'libertarismus', 'liberalisierung', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'kapitalist', 'utopisch']"
16,1987,"['autoritär', 'autoritarismus', 'totaliarismus', 'anarchist', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist']"
17,1971,"['autoritär', 'autoritarismus', 'totaliarismus', 'sozialist', 'anarchist', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist']"
18,1906,"['autoritär', 'autoritarismus', 'kommunist', 'totaliarismus', 'sozialist', 'anarchist', 'konservatismus', 'faschismus', 'Faschist', 'libertarismus', 'liberalisierung', 'nationalismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
19,1924,"['autoritär', 'autoritarismus', 'kommunist', 'totaliarismus', 'anarchist', 'konservatismus', 'Faschist', 'libertarismus', 'liberalisierung', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
20,1955,"['autoritär', 'autoritarismus', 'totaliarismus', 'anarchist', 'anarchismus', 'konservatismus', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
21,1954,"['autoritär', 'autoritarismus', 'totaliarismus', 'sozialist', 'anarchist', 'konservatismus', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'humanist', 'kapitalist']"
22,1956,"['autoritär', 'autoritarismus', 'totaliarismus', 'anarchist', 'konservatismus', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist']"
23,1900,"['autoritär', 'autoritarismus', 'kommunist', 'totaliarismus', 'sozialist', 'anarchist', 'konservatismus', 'faschismus', 'Faschist', 'libertarismus', 'liberalisierung', 'nationalismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
24,1948,"['autoritär', 'autoritarismus', 'kommunist', 'totaliarismus', 'sozialist', 'anarchist', 'konservatismus', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
25,2004,"['autoritär', 'autoritarismus', 'kommunist', 'totaliarismus', 'sozialist', 'anarchist', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
26,1978,"['autoritär', 'autoritarismus', 'totaliarismus', 'anarchist', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist']"
27,1999,"['autoritär', 'autoritarismus', 'totaliarismus', 'sozialist', 'anarchist', 'anarchismus', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'kapitalist', 'utopisch']"
28,1998,"['autoritär', 'autoritarismus', 'totaliarismus', 'anarchist', 'anarchismus', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'kapitalist', 'utopisch']"
29,1934,"['autoritär', 'autoritarismus', 'kommunist', 'totaliarismus', 'sozialist', 'anarchist', 'anarchismus', 'Faschist', 'libertarismus', 'liberalisierung', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
30,1997,"['autoritär', 'autoritarismus', 'totaliarismus', 'sozialist', 'anarchist', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
31,2001,"['autoritär', 'autoritarismus', 'totaliarismus', 'sozialist', 'anarchist', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
32,1991,"['autoritär', 'autoritarismus', 'totaliarismus', 'anarchist', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'humanist', 'utopisch']"
33,1903,"['autoritär', 'autoritarismus', 'kommunist', 'totaliarismus', 'sozialist', 'anarchist', 'konservatismus', 'faschismus', 'Faschist', 'libertarismus', 'liberalisierung', 'nationalismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
34,1962,"['autoritär', 'autoritarismus', 'totaliarismus', 'anarchist', 'konservatismus', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
35,1970,"['autoritär', 'autoritarismus', 'totaliarismus', 'anarchist', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist']"
36,1921,"['autoritär', 'autoritarismus', 'totaliarismus', 'anarchist', 'anarchismus', 'konservatismus', 'faschismus', 'Faschist', 'libertarismus', 'liberalisierung', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
37,1917,"['autoritär', 'autoritarismus', 'kommunist', 'totaliarismus', 'sozialist', 'anarchist', 'anarchismus', 'konservatismus', 'faschismus', 'Faschist', 'libertarismus', 'liberalisierung', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'kapitalist', 'utopisch']"
38,1923,"['autoritär', 'autoritarismus', 'kommunist', 'totaliarismus', 'sozialist', 'anarchist', 'konservatismus', 'Faschist', 'libertarismus', 'liberalisierung', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
39,1949,"['autoritär', 'autoritarismus', 'totaliarismus', 'anarchist', 'anarchismus', 'konservatismus', 'Faschist', 'libertarismus', 'liberalisierung', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
40,1905,"['autoritär', 'autoritarismus', 'kommunist', 'totaliarismus', 'sozialist', 'anarchist', 'konservatismus', 'faschismus', 'Faschist', 'libertarismus', 'liberalisierung', 'nationalismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
41,1914,"['autoritär', 'autoritarismus', 'kommunist', 'totaliarismus', 'sozialist', 'anarchist', 'anarchismus', 'konservatismus', 'faschismus', 'Faschist', 'libertarismus', 'liberalisierung', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
42,2009,"['autoritär', 'autoritarismus', 'totaliarismus', 'sozialist', 'anarchist', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
43,1912,"['autoritär', 'autoritarismus', 'kommunist', 'totaliarismus', 'sozialist', 'anarchist', 'konservatismus', 'faschismus', 'Faschist', 'libertarismus', 'liberalisierung', 'nationalismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'kapitalist', 'utopisch']"
44,1994,"['autoritär', 'autoritarismus', 'totaliarismus', 'anarchist', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'kapitalist', 'utopisch']"
45,1935,"['autoritär', 'autoritarismus', 'kommunist', 'totaliarismus', 'sozialist', 'anarchist', 'anarchismus', 'konservatismus', 'Faschist', 'libertarismus', 'liberalisierung', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'kapitalist', 'utopisch']"
46,1984,"['autoritär', 'autoritarismus', 'totaliarismus', 'anarchist', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'utopisch']"
47,1952,"['autoritär', 'autoritarismus', 'totaliarismus', 'sozialist', 'anarchist', 'konservatismus', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
48,1989,"['autoritär', 'autoritarismus', 'totaliarismus', 'anarchist', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
49,1929,"['autoritär', 'autoritarismus', 'kommunist', 'totaliarismus', 'sozialist', 'anarchist', 'konservatismus', 'Faschist', 'libertarismus', 'liberalisierung', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
50,2005,"['autoritär', 'autoritarismus', 'totaliarismus', 'sozialist', 'anarchist', 'anarchismus', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
51,1996,"['autoritär', 'autoritarismus', 'totaliarismus', 'anarchist', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'kapitalist', 'utopisch']"
52,1911,"['autoritär', 'autoritarismus', 'kommunist', 'totaliarismus', 'sozialist', 'anarchist', 'konservatismus', 'faschismus', 'Faschist', 'libertarismus', 'liberalisierung', 'nationalismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'kapitalist', 'utopisch']"
53,1933,"['autoritär', 'autoritarismus', 'kommunist', 'totaliarismus', 'anarchist', 'konservatismus', 'Faschist', 'libertarismus', 'liberalisierung', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
54,1982,"['autoritär', 'totaliarismus', 'anarchist', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist']"
55,1904,"['autoritär', 'autoritarismus', 'kommunist', 'totaliarismus', 'sozialist', 'anarchist', 'anarchismus', 'konservatismus', 'faschismus', 'Faschist', 'libertarismus', 'liberalisierung', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
56,1964,"['autoritär', 'autoritarismus', 'totaliarismus', 'anarchist', 'konservatismus', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
57,1941,"['autoritär', 'autoritarismus', 'kommunist', 'totaliarismus', 'sozialist', 'anarchist', 'anarchismus', 'konservatismus', 'Faschist', 'libertarismus', 'liberalisierung', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
58,1979,"['autoritär', 'autoritarismus', 'totaliarismus', 'anarchist', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
59,1907,"['autoritär', 'autoritarismus', 'kommunist', 'totaliarismus', 'sozialist', 'anarchist', 'konservatismus', 'faschismus', 'Faschist', 'libertarismus', 'liberalisierung', 'nationalismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'kapitalist', 'utopisch']"
60,1992,"['autoritär', 'autoritarismus', 'totaliarismus', 'anarchist', 'Faschist', 'libertarismus', 'nationalist', 'populist', 'progressivismus', 'progressiv', 'humanist', 'kapitalist', 'utopisch']"
61,1926,"['autoritär', 'autoritarismus', 'kommunist', 'totaliarismus', 'sozialist', 'anarchist', 'anarchismus', 'konservatismus', 'Faschist', 'libertarismus', 'liberalisierung', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
62,1976,"['autoritär', 'autoritarismus', 'totaliarismus', 'anarchist', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
63,1986,"['autoritär', 'autoritarismus', 'totaliarismus', 'anarchist', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
64,1957,"['autoritär', 'autoritarismus', 'totaliarismus', 'anarchist', 'konservatismus', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
65,1947,"['autoritär', 'autoritarismus', 'kommunist', 'totaliarismus', 'anarchist', 'anarchismus', 'konservatismus', 'Faschist', 'libertarismus', 'liberalisierung', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
66,1920,"['autoritär', 'autoritarismus', 'kommunist', 'totaliarismus', 'sozialist', 'anarchist', 'konservatismus', 'faschismus', 'Faschist', 'libertarismus', 'liberalisierung', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
67,1968,"['autoritär', 'autoritarismus', 'totaliarismus', 'sozialist', 'anarchist', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
68,1946,"['autoritär', 'autoritarismus', 'totaliarismus', 'anarchist', 'anarchismus', 'konservatismus', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
69,1961,"['autoritär', 'autoritarismus', 'totaliarismus', 'anarchist', 'konservatismus', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
70,2002,"['autoritär', 'autoritarismus', 'totaliarismus', 'sozialist', 'anarchist', 'anarchismus', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
71,1932,"['autoritär', 'autoritarismus', 'kommunist', 'totaliarismus', 'sozialist', 'anarchist', 'konservatismus', 'Faschist', 'libertarismus', 'liberalisierung', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
72,1980,"['autoritär', 'autoritarismus', 'totaliarismus', 'anarchist', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv']"
73,1977,"['autoritär', 'autoritarismus', 'totaliarismus', 'anarchist', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist']"
74,1902,"['diktatur', 'autoritär', 'autoritarismus', 'kommunist', 'totaliarismus', 'sozialist', 'anarchist', 'anarchismus', 'konservatismus', 'faschismus', 'Faschist', 'libertarismus', 'liberalisierung', 'nationalismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
75,1931,"['autoritär', 'autoritarismus', 'kommunist', 'totaliarismus', 'sozialist', 'anarchist', 'konservatismus', 'Faschist', 'libertarismus', 'liberalisierung', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
76,2007,"['autoritär', 'autoritarismus', 'kommunist', 'totaliarismus', 'sozialist', 'anarchist', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
77,1918,"['autoritär', 'autoritarismus', 'kommunist', 'totaliarismus', 'sozialist', 'anarchist', 'anarchismus', 'konservatismus', 'faschismus', 'Faschist', 'libertarismus', 'liberalisierung', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
78,1990,"['autoritär', 'autoritarismus', 'totaliarismus', 'anarchist', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
79,1939,"['autoritär', 'autoritarismus', 'kommunist', 'totaliarismus', 'sozialist', 'anarchist', 'anarchismus', 'konservatismus', 'Faschist', 'libertarismus', 'liberalisierung', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'kapitalist', 'utopisch']"
80,1925,"['autoritär', 'autoritarismus', 'kommunist', 'totaliarismus', 'sozialist', 'anarchist', 'konservatismus', 'Faschist', 'libertarismus', 'liberalisierung', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'kapitalist', 'utopisch']"
81,1910,"['autoritär', 'autoritarismus', 'kommunist', 'totaliarismus', 'sozialist', 'anarchist', 'anarchismus', 'konservatismus', 'faschismus', 'Faschist', 'libertarismus', 'liberalisierung', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
82,1944,"['autoritär', 'autoritarismus', 'kommunist', 'totaliarismus', 'sozialist', 'anarchist', 'anarchismus', 'konservatismus', 'Faschist', 'libertarismus', 'liberalisierung', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
83,1940,"['autoritär', 'autoritarismus', 'kommunist', 'totaliarismus', 'sozialist', 'anarchist', 'anarchismus', 'konservatismus', 'Faschist', 'libertarismus', 'liberalisierung', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'kapitalist', 'utopisch']"
84,1945,"['autoritär', 'autoritarismus', 'kommunist', 'totaliarismus', 'sozialist', 'anarchist', 'konservatismus', 'Faschist', 'libertarismus', 'liberalisierung', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
85,1969,"['autoritär', 'autoritarismus', 'totaliarismus', 'sozialist', 'anarchist', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist']"
86,1973,"['autoritär', 'autoritarismus', 'totaliarismus', 'anarchist', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
87,2003,"['autoritär', 'autoritarismus', 'totaliarismus', 'anarchist', 'anarchismus', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
88,1959,"['autoritär', 'autoritarismus', 'totaliarismus', 'anarchist', 'konservatismus', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist']"
89,1966,"['autoritär', 'autoritarismus', 'totaliarismus', 'anarchist', 'konservatismus', 'Faschist', 'libertarismus', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
90,1915,"['autoritär', 'autoritarismus', 'kommunist', 'totaliarismus', 'sozialist', 'anarchist', 'anarchismus', 'konservatismus', 'faschismus', 'Faschist', 'libertarismus', 'liberalisierung', 'nationalist', 'populismus', 'populist', 'progressivismus', 'progressiv', 'humanist', 'utopisch']"
