,year,words
0,1985,"['autoritarismo', 'anarchismo', 'libertarismo', 'libertario', 'populismo', 'populista', 'progressismo', 'utopica']"
1,1943,"['autoritario', 'autoritarismo', 'totalitarismo', 'anarchico', 'anarchismo', 'conservatorismo', 'libertarismo', 'libertario', 'liberalizzazione', 'nazionalista', 'populismo', 'populista', 'progressismo', 'progressista', 'umanista', 'utopia', 'utopica']"
2,1993,"['autoritarismo', 'conservatorismo', 'libertarismo', 'libertario', 'populista', 'progressismo', 'utopica']"
3,1995,"['anarchismo', 'conservatorismo', 'libertarismo', 'libertario', 'populismo', 'populista', 'progressismo', 'utopica']"
4,1958,"['autoritarismo', 'totalitarismo', 'anarchico', 'anarchismo', 'conservatorismo', 'libertarismo', 'libertario', 'nazionalista', 'populismo', 'populista', 'progressismo', 'progressista', 'utopica']"
5,1983,"['autoritarismo', 'anarchico', 'conservatorismo', 'libertarismo', 'libertario', 'populismo', 'populista', 'progressismo', 'progressista', 'utopica']"
6,1919,"['autoritario', 'autoritarismo', 'totalitarismo', 'anarchico', 'anarchismo', 'conservatorismo', 'fascismo', 'fascista', 'libertarismo', 'libertario', 'liberalizzazione', 'nazionalista', 'populismo', 'populista', 'progressismo', 'umanista', 'utopica']"
7,1975,"['anarchismo', 'conservatorismo', 'libertarismo', 'libertario', 'populista', 'progressismo', 'utopica']"
8,1960,"['autoritarismo', 'totalitarismo', 'anarchismo', 'conservatorismo', 'libertarismo', 'libertario', 'nazionalista', 'populismo', 'populista', 'progressismo', 'progressista', 'utopica']"
9,1922,"['autoritario', 'autoritarismo', 'totalitarismo', 'anarchismo', 'conservatorismo', 'libertarismo', 'libertario', 'liberalizzazione', 'populismo', 'populista', 'progressismo', 'progressista', 'umanista', 'utopica']"
10,1928,"['autoritario', 'autoritarismo', 'totalitarismo', 'anarchico', 'anarchismo', 'conservatorismo', 'libertarismo', 'libertario', 'liberalizzazione', 'nazionalista', 'populismo', 'populista', 'progressismo', 'progressista', 'utopia', 'utopica']"
11,2006,"['autoritarismo', 'conservatorismo', 'libertarismo', 'libertario', 'populismo', 'populista', 'progressismo', 'umanista', 'utopica']"
12,1972,"['autoritarismo', 'anarchismo', 'libertarismo', 'libertario', 'populismo', 'populista', 'progressismo', 'progressista', 'utopica']"
13,1908,"['autoritario', 'autoritarismo', 'comunista', 'totalitarismo', 'anarchico', 'anarchismo', 'conservatorismo', 'fascismo', 'fascista', 'libertarismo', 'libertario', 'liberalizzazione', 'nazionalista', 'populismo', 'populista', 'progressismo', 'progressista', 'umanista', 'utopia', 'utopica']"
14,1916,"['autoritario', 'autoritarismo', 'comunismo', 'comunista', 'totalitarismo', 'anarchico', 'anarchismo', 'conservatorismo', 'fascismo', 'fascista', 'libertarismo', 'libertario', 'liberalizzazione', 'populismo', 'populista', 'progressismo', 'progressista', 'umanesimo', 'umanista', 'utopica']"
15,1913,"['autoritario', 'autoritarismo', 'totalitarismo', 'anarchico', 'anarchismo', 'conservatorismo', 'fascista', 'libertarismo', 'libertario', 'liberalizzazione', 'nazionalista', 'populismo', 'populista', 'progressismo', 'progressista', 'utopica']"
16,1987,"['autoritarismo', 'conservatorismo', 'libertarismo', 'libertario', 'populismo', 'populista', 'progressismo', 'utopica']"
17,1971,"['conservatorismo', 'libertarismo', 'libertario', 'populismo', 'populista', 'progressismo', 'progressista', 'utopica']"
18,1906,"['autoritario', 'autoritarismo', 'comunista', 'totalitarismo', 'anarchico', 'anarchismo', 'conservatorismo', 'fascismo', 'fascista', 'libertarismo', 'libertario', 'liberalizzazione', 'nazionalismo', 'nazionalista', 'populismo', 'populista', 'progressismo', 'progressista', 'umanista', 'utopica']"
19,1924,"['autoritario', 'autoritarismo', 'totalitarismo', 'anarchico', 'anarchismo', 'conservatorismo', 'libertarismo', 'libertario', 'liberalizzazione', 'nazionalista', 'populismo', 'populista', 'progressismo', 'progressista', 'utopica']"
20,1955,"['autoritario', 'autoritarismo', 'anarchico', 'anarchismo', 'conservatorismo', 'libertarismo', 'libertario', 'nazionalista', 'populismo', 'populista', 'progressismo', 'progressista', 'utopica']"
21,1954,"['autoritario', 'autoritarismo', 'anarchico', 'anarchismo', 'conservatorismo', 'libertarismo', 'libertario', 'nazionalista', 'populismo', 'populista', 'progressismo', 'progressista', 'utopica']"
22,1956,"['autoritarismo', 'totalitarismo', 'anarchico', 'anarchismo', 'conservatorismo', 'libertarismo', 'libertario', 'nazionalista', 'populismo', 'populista', 'progressismo', 'progressista', 'umanista', 'utopica']"
23,1900,"['autoritario', 'autoritarismo', 'comunista', 'totalitarismo', 'anarchico', 'anarchismo', 'conservatorismo', 'fascismo', 'fascista', 'libertarismo', 'libertario', 'liberalizzazione', 'nazionalismo', 'nazionalista', 'populismo', 'populista', 'progressismo', 'progressista', 'utopica']"
24,1948,"['autoritarismo', 'totalitarismo', 'anarchismo', 'conservatorismo', 'libertarismo', 'libertario', 'nazionalista', 'populismo', 'populista', 'progressismo', 'umanista', 'utopica']"
25,2004,"['conservatorismo', 'libertarismo', 'libertario', 'populismo', 'populista', 'progressismo', 'utopica']"
26,1978,"['conservatorismo', 'libertarismo', 'libertario', 'populista', 'progressismo', 'utopica']"
27,1999,"['autoritarismo', 'conservatorismo', 'libertarismo', 'libertario', 'populismo', 'populista', 'progressismo', 'utopica']"
28,1998,"['autoritarismo', 'anarchismo', 'conservatorismo', 'libertarismo', 'libertario', 'populista', 'progressismo', 'utopica']"
29,1934,"['autoritarismo', 'totalitarismo', 'anarchico', 'anarchismo', 'conservatorismo', 'libertarismo', 'libertario', 'liberalizzazione', 'nazionalista', 'populismo', 'populista', 'progressismo', 'progressista', 'umanista', 'utopia', 'utopica']"
30,1997,"['autoritarismo', 'anarchismo', 'conservatorismo', 'libertarismo', 'libertario', 'populista', 'progressismo', 'progressista', 'utopica']"
31,2001,"['autoritarismo', 'conservatorismo', 'libertarismo', 'libertario', 'populismo', 'populista', 'progressismo', 'utopica']"
