,year,words
0,1985,"['авторитарный', 'авторитаризм', 'тоталитаризм', 'анархия', 'анархист', 'анархизм', 'либерал', 'либертарианство', 'либертарианство', 'либерализация', 'националист', 'популизм', 'популист', 'прогрессизм', 'гуманист', 'утопический']"
1,1943,"['авторитарный', 'авторитаризм', 'тоталитаризм', 'анархия', 'анархист', 'анархизм', 'консерватизм', 'либерализм', 'либертарианство', 'либертарианство', 'либерализация', 'националист', 'популизм', 'популист', 'прогрессизм', 'гуманист', 'капиталист', 'утопический']"
2,1993,"['авторитарный', 'авторитаризм', 'анархист', 'анархизм', 'фашист', 'либертарианство', 'либертарианство', 'националист', 'популизм', 'популист', 'прогрессизм', 'гуманист', 'капиталист', 'утопический']"
3,1995,"['авторитарный', 'авторитаризм', 'анархия', 'анархист', 'анархизм', 'фашист', 'либертарианство', 'либертарианство', 'националист', 'популизм', 'популист', 'прогрессизм', 'утопический']"
4,1958,"['авторитарный', 'авторитаризм', 'тоталитаризм', 'анархист', 'фашист', 'либертарианство', 'либертарианство', 'либерализация', 'националист', 'популизм', 'популист', 'прогрессизм', 'гуманист', 'утопический']"
5,1983,"['авторитарный', 'авторитаризм', 'тоталитаризм', 'анархия', 'анархист', 'анархизм', 'фашист', 'либертарианство', 'либертарианство', 'либерализация', 'националист', 'популизм', 'популист', 'прогрессизм', 'гуманист']"
6,1919,"['авторитарный', 'авторитаризм', 'тоталитаризм', 'анархия', 'анархист', 'консерватизм', 'фашизм', 'фашист', 'либерализм', 'либерал', 'либертарианство', 'либертарианство', 'либерализация', 'национализм', 'националист', 'популизм', 'популист', 'прогрессизм', 'гуманизм', 'гуманист', 'утопия', 'утопический']"
7,1975,"['авторитарный', 'авторитаризм', 'тоталитаризм', 'анархия', 'анархист', 'анархизм', 'консерватизм', 'фашист', 'либерализм', 'либерал', 'либертарианство', 'либертарианство', 'либерализация', 'националист', 'популизм', 'популист', 'прогрессизм', 'гуманист', 'утопический']"
8,1960,"['авторитарный', 'авторитаризм', 'тоталитаризм', 'анархист', 'фашист', 'либертарианство', 'либертарианство', 'либерализация', 'националист', 'популизм', 'популист', 'прогрессизм', 'утопический']"
9,1922,"['авторитарный', 'авторитаризм', 'тоталитаризм', 'анархист', 'консерватизм', 'фашизм', 'фашист', 'либерал', 'либертарианство', 'либертарианство', 'либерализация', 'националист', 'популизм', 'популист', 'прогрессизм', 'гуманизм', 'гуманист', 'капиталист', 'утопический']"
10,1928,"['авторитарный', 'авторитаризм', 'тоталитаризм', 'анархия', 'анархизм', 'консерватизм', 'фашизм', 'фашист', 'либертарианство', 'либертарианство', 'либерализация', 'националист', 'популизм', 'популист', 'прогрессизм', 'гуманизм', 'гуманист', 'капиталист', 'утопия', 'утопический']"
11,2006,"['авторитарный', 'авторитаризм', 'анархист', 'анархизм', 'фашист', 'либертарианство', 'либертарианство', 'националист', 'популизм', 'популист', 'прогрессизм', 'гуманист', 'капиталист', 'утопический']"
12,1972,"['авторитарный', 'авторитаризм', 'тоталитаризм', 'анархия', 'анархист', 'анархизм', 'консерватизм', 'фашист', 'либертарианство', 'либертарианство', 'либерализация', 'националист', 'популизм', 'популист', 'прогрессизм', 'гуманист', 'утопический']"
13,1908,"['демократия', 'диктатура', 'авторитарный', 'авторитаризм', 'коммунизм', 'коммунист', 'тоталитаризм', 'социализм', 'социалистический', 'анархия', 'анархист', 'анархизм', 'консерватизм', 'фашизм', 'фашист', 'либерализм', 'либерал', 'либертарианство', 'либертарианство', 'либерализация', 'национализм', 'националист', 'популизм', 'популист', 'прогрессизм', 'гуманизм', 'гуманист', 'капитализм', 'капиталист', 'утопия', 'утопический']"
14,1916,"['демократия', 'диктатура', 'авторитарный', 'авторитаризм', 'коммунизм', 'коммунист', 'тоталитаризм', 'социализм', 'социалистический', 'анархия', 'анархист', 'анархизм', 'консерватизм', 'фашизм', 'фашист', 'либерализм', 'либерал', 'либертарианство', 'либертарианство', 'либерализация', 'национализм', 'националист', 'популизм', 'популист', 'прогрессизм', 'гуманизм', 'гуманист', 'капитализм', 'капиталист', 'утопия', 'утопический']"
15,1913,"['диктатура', 'авторитарный', 'авторитаризм', 'коммунизм', 'коммунист', 'тоталитаризм', 'социализм', 'социалистический', 'анархия', 'анархист', 'анархизм', 'консерватизм', 'фашизм', 'фашист', 'либерализм', 'либерал', 'либертарианство', 'либертарианство', 'либерализация', 'национализм', 'националист', 'популизм', 'популист', 'прогрессизм', 'прогрессивный', 'гуманизм', 'гуманист', 'капитализм', 'капиталист', 'утопия', 'утопический']"
16,1987,"['авторитарный', 'авторитаризм', 'тоталитаризм', 'анархия', 'анархист', 'анархизм', 'фашист', 'либерализм', 'либерал', 'либертарианство', 'либертарианство', 'либерализация', 'националист', 'популизм', 'популист', 'прогрессизм', 'утопический']"
17,1971,"['авторитарный', 'авторитаризм', 'тоталитаризм', 'анархия', 'анархист', 'анархизм', 'консерватизм', 'фашист', 'либерал', 'либертарианство', 'либертарианство', 'либерализация', 'националист', 'популизм', 'популист', 'прогрессизм', 'утопический']"
18,1906,"['авторитарный', 'авторитаризм', 'коммунизм', 'коммунист', 'тоталитаризм', 'социализм', 'социалистический', 'анархия', 'анархист', 'анархизм', 'консерватизм', 'фашизм', 'фашист', 'либерализм', 'либерал', 'либертарианство', 'либертарианство', 'либерализация', 'национализм', 'националист', 'популизм', 'популист', 'прогрессизм', 'гуманизм', 'гуманист', 'капитализм', 'капиталист', 'утопия', 'утопический']"
19,1924,"['авторитарный', 'авторитаризм', 'тоталитаризм', 'анархист', 'консерватизм', 'фашизм', 'фашист', 'либертарианство', 'либертарианство', 'либерализация', 'национализм', 'националист', 'популизм', 'популист', 'прогрессизм', 'гуманизм', 'гуманист', 'утопический']"
20,1955,"['авторитарный', 'авторитаризм', 'тоталитаризм', 'анархист', 'фашист', 'либертарианство', 'либертарианство', 'либерализация', 'националист', 'популизм', 'популист', 'прогрессизм', 'гуманист']"
21,1954,"['авторитарный', 'авторитаризм', 'тоталитаризм', 'анархист', 'фашист', 'либертарианство', 'либертарианство', 'либерализация', 'националист', 'популизм', 'популист', 'прогрессизм', 'гуманист', 'утопический']"
22,1956,"['авторитарный', 'авторитаризм', 'тоталитаризм', 'анархия', 'анархист', 'анархизм', 'консерватизм', 'фашист', 'либертарианство', 'либертарианство', 'либерализация', 'националист', 'популизм', 'популист', 'прогрессизм', 'утопия', 'утопический']"
23,1900,"['демократия', 'диктатура', 'авторитарный', 'авторитаризм', 'тоталитаризм', 'социалистический', 'анархия', 'анархист', 'анархизм', 'консерватизм', 'фашизм', 'фашист', 'либерализм', 'либерал', 'либертарианство', 'либертарианство', 'либерализация', 'национализм', 'националист', 'популизм', 'популист', 'прогрессизм', 'гуманизм', 'гуманист', 'капитализм', 'капиталист', 'утопия', 'утопический']"
24,1948,"['авторитарный', 'авторитаризм', 'тоталитаризм', 'анархия', 'анархист', 'фашист', 'либертарианство', 'либертарианство', 'либерализация', 'националист', 'популизм', 'популист', 'прогрессизм', 'гуманист', 'утопический']"
25,2004,"['авторитарный', 'авторитаризм', 'анархия', 'анархист', 'фашист', 'либертарианство', 'либертарианство', 'националист', 'популизм', 'популист', 'прогрессизм', 'прогрессивный', 'гуманист', 'капиталист', 'утопический']"
26,1978,"['авторитарный', 'авторитаризм', 'тоталитаризм', 'анархия', 'анархист', 'анархизм', 'консерватизм', 'фашист', 'либерал', 'либертарианство', 'либертарианство', 'либерализация', 'националист', 'популизм', 'популист', 'прогрессизм', 'гуманист']"
27,1999,"['авторитарный', 'анархист', 'анархизм', 'фашист', 'либертарианство', 'либертарианство', 'националист', 'популизм', 'популист', 'прогрессизм', 'прогрессивный', 'гуманист', 'капиталист', 'утопический']"
28,1998,"['авторитарный', 'авторитаризм', 'анархист', 'анархизм', 'фашист', 'либертарианство', 'либертарианство', 'националист', 'популизм', 'популист', 'прогрессизм', 'гуманист', 'капиталист', 'утопический']"
29,1934,"['авторитарный', 'авторитаризм', 'тоталитаризм', 'анархист', 'консерватизм', 'фашист', 'либертарианство', 'либертарианство', 'либерализация', 'националист', 'популизм', 'популист', 'прогрессизм', 'гуманист', 'утопический']"
30,1997,"['авторитарный', 'авторитаризм', 'анархист', 'анархизм', 'фашист', 'либертарианство', 'либертарианство', 'националист', 'популизм', 'популист', 'прогрессизм', 'гуманист', 'капиталист', 'утопический']"
31,2001,"['авторитарный', 'авторитаризм', 'анархия', 'анархист', 'анархизм', 'фашист', 'либертарианство', 'либертарианство', 'националист', 'популизм', 'популист', 'прогрессизм', 'гуманист', 'капиталист', 'утопический']"
32,1991,"['авторитарный', 'авторитаризм', 'анархист', 'анархизм', 'фашист', 'либертарианство', 'либертарианство', 'либерализация', 'националист', 'популизм', 'популист', 'прогрессизм', 'утопический']"
