,year,words
0,1985,"['authoritarianism', 'totaliarianism', 'anarchist', 'anarchism', 'conservatism', 'environmentalism', 'libertarianism', 'libertarian', 'liberalization', 'populism', 'populist', 'progressivism', 'humanist', 'utopian']"
1,1943,"['authoritarian', 'authoritarianism', 'totaliarianism', 'anarchist', 'anarchism', 'conservatism', 'environmentalism', 'liberalism', 'libertarianism', 'libertarian', 'liberalization', 'populism', 'populist', 'progressivism', 'humanism', 'humanist', 'utopia', 'utopian']"
2,1993,"['authoritarian', 'authoritarianism', 'totaliarianism', 'anarchist', 'anarchism', 'environmentalism', 'libertarianism', 'libertarian', 'populism', 'populist', 'progressivism', 'humanist', 'utopian']"
3,1995,"['authoritarianism', 'totaliarianism', 'anarchist', 'anarchism', 'conservatism', 'environmentalism', 'libertarianism', 'libertarian', 'populism', 'populist', 'progressivism', 'humanism', 'humanist', 'utopian']"
4,1958,"['authoritarian', 'authoritarianism', 'totaliarianism', 'anarchist', 'anarchism', 'conservatism', 'environmentalism', 'fascism', 'fascist', 'liberalism', 'libertarianism', 'libertarian', 'liberalization', 'populism', 'populist', 'progressivism', 'humanism', 'humanist', 'utopia', 'utopian']"
5,1983,"['authoritarianism', 'totaliarianism', 'anarchist', 'anarchism', 'conservatism', 'environmentalism', 'libertarianism', 'libertarian', 'liberalization', 'populism', 'populist', 'progressivism', 'humanism', 'humanist', 'utopia', 'utopian']"
6,1919,"['authoritarian', 'authoritarianism', 'communism', 'communist', 'totaliarianism', 'anarchist', 'anarchism', 'conservatism', 'environmentalism', 'fascism', 'fascist', 'liberalism', 'libertarianism', 'libertarian', 'liberalization', 'nationalism', 'nationalist', 'populism', 'populist', 'progressivism', 'humanism', 'humanist', 'capitalism', 'utopia', 'utopian']"
7,1975,"['authoritarian', 'authoritarianism', 'totaliarianism', 'anarchist', 'anarchism', 'environmentalism', 'libertarianism', 'libertarian', 'liberalization', 'populism', 'populist', 'progressivism', 'humanism', 'humanist', 'utopia', 'utopian']"
8,1960,"['authoritarian', 'authoritarianism', 'totaliarianism', 'anarchist', 'anarchism', 'conservatism', 'environmentalism', 'fascism', 'liberalism', 'libertarianism', 'libertarian', 'liberalization', 'populism', 'populist', 'progressivism', 'humanism', 'humanist', 'utopia', 'utopian']"
9,1922,"['dictatorship', 'authoritarian', 'authoritarianism', 'communism', 'totaliarianism', 'anarchist', 'anarchism', 'conservatism', 'environmentalism', 'fascism', 'fascist', 'liberalism', 'libertarianism', 'libertarian', 'liberalization', 'nationalism', 'nationalist', 'populism', 'populist', 'progressivism', 'humanism', 'humanist', 'utopia', 'utopian']"
