,year,cosine_similarity
0,1985,[[0.39856772]]
1,1993,[[0.42450155]]
2,1995,[[0.44935097]]
3,1958,[[0.37739469]]
4,1983,[[0.47331846]]
5,1975,[[0.28725725]]
6,1960,[[0.34766155]]
7,2006,[[0.45913572]]
8,1972,[[0.31148292]]
9,1987,[[0.41807686]]
10,1971,[[0.32811167]]
11,1955,[[0.44349601]]
12,1956,[[0.40781061]]
13,2004,[[0.45096933]]
14,1978,[[0.35958675]]
15,1999,[[0.44434804]]
16,1998,[[0.44067314]]
17,1997,[[0.42763502]]
18,2001,[[0.45361284]]
19,1991,[[0.41150432]]
20,1962,[[0.36345431]]
21,1970,[[0.30304118]]
22,2009,[[0.5035327]]
23,1994,[[0.41869721]]
24,1984,[[0.42650607]]
25,1989,[[0.43141093]]
26,2005,[[0.47900047]]
27,1996,[[0.42094407]]
28,1982,[[0.42551001]]
29,1964,[[0.32891297]]
30,1979,[[0.39138946]]
31,1992,[[0.41457742]]
32,1976,[[0.36970421]]
33,1986,[[0.44681077]]
34,1957,[[0.35237719]]
35,1968,[[0.28378511]]
36,1961,[[0.34879811]]
37,2002,[[0.48529766]]
38,1980,[[0.43577345]]
39,1977,[[0.38559906]]
40,2007,[[0.49695974]]
41,1990,[[0.39737556]]
42,1969,[[0.3246828]]
43,1973,[[0.36563867]]
44,2003,[[0.44701935]]
45,1959,[[0.39166988]]
46,1966,[[0.34515413]]
47,1967,[[0.35608342]]
48,1963,[[0.41082312]]
49,1981,[[0.43785849]]
50,1974,[[0.37444566]]
51,2000,[[0.44381349]]
52,2008,[[0.48577659]]
53,1965,[[0.33289777]]
54,1988,[[0.4508296]]
