,year,cosine_similarity
0,1985,[[0.5436255]]
1,1993,[[0.53683427]]
2,1995,[[0.52784606]]
3,1958,[[0.50067466]]
4,1983,[[0.53385202]]
5,1975,[[0.42905701]]
6,1960,[[0.49489939]]
7,2006,[[0.52302661]]
8,1972,[[0.50668289]]
9,1987,[[0.51870692]]
10,1971,[[0.48964349]]
11,1955,[[0.57753422]]
12,1956,[[0.48757947]]
13,2004,[[0.54220576]]
14,1978,[[0.51668091]]
15,1999,[[0.50374666]]
16,1998,[[0.51051703]]
17,1997,[[0.52952821]]
18,2001,[[0.55291747]]
19,1991,[[0.54747714]]
20,1962,[[0.53559637]]
21,1970,[[0.44143528]]
22,2009,[[0.50183976]]
23,1994,[[0.4975262]]
24,1984,[[0.57328513]]
25,1989,[[0.52473115]]
26,2005,[[0.52575692]]
27,1996,[[0.52625328]]
28,1982,[[0.56200644]]
29,1964,[[0.54894735]]
30,1979,[[0.57249392]]
31,1992,[[0.50886568]]
32,1976,[[0.44107778]]
33,1986,[[0.5396589]]
34,1957,[[0.50631979]]
35,1968,[[0.44222885]]
36,1961,[[0.54898749]]
37,2002,[[0.51138267]]
38,1980,[[0.56191845]]
39,1977,[[0.46359811]]
40,2007,[[0.54211787]]
41,1990,[[0.58551904]]
42,1969,[[0.46752634]]
43,1973,[[0.47475954]]
44,2003,[[0.54291876]]
45,1959,[[0.51279594]]
46,1966,[[0.51641206]]
47,1967,[[0.48450696]]
48,1963,[[0.56409804]]
49,1981,[[0.56426168]]
50,1974,[[0.46192213]]
51,2000,[[0.53523879]]
52,2008,[[0.55136897]]
53,1965,[[0.50395395]]
54,1988,[[0.51838915]]
