,year,words
0,1985,['无政府']
1,1993,['无政府']
2,1995,['无政府']
3,1958,['无政府']
4,1983,['无政府']
5,1975,['无政府']
6,1960,['无政府']
7,2006,['无政府']
8,1972,['无政府']
9,1987,['无政府']
10,1971,['无政府']
11,1955,['无政府']
12,1956,['无政府']
13,2004,['无政府']
14,1978,['无政府']
15,1999,['无政府']
16,1998,['无政府']
17,1997,['无政府']
18,2001,['无政府']
19,1991,['无政府']
20,1962,['无政府']
21,1970,['无政府']
22,2009,['无政府']
23,1994,['无政府']
24,1984,['无政府']
25,1989,['无政府']
26,2005,['无政府']
27,1996,['无政府']
28,1982,['无政府']
29,1964,['无政府']
30,1979,['无政府']
31,1992,['无政府']
32,1976,['无政府']
33,1986,['无政府']
34,1957,['无政府']
35,1968,['无政府']
36,1961,['无政府']
37,2002,['无政府']
38,1980,['无政府']
39,1977,['无政府']
40,2007,['无政府']
41,1990,['无政府']
42,1969,['无政府']
43,1973,['无政府']
44,2003,['无政府']
45,1959,['无政府']
46,1966,['无政府']
47,1967,['无政府']
48,1963,['无政府']
49,1981,['无政府']
50,1974,['无政府']
51,2000,['无政府']
52,2008,['无政府']
53,1965,['无政府']
54,1988,['无政府']
