,year,cosine_similarity
0,1985,[[0.32163906]]
1,1993,[[0.30413964]]
2,1995,[[0.33150116]]
3,1958,[[0.23998779]]
4,1983,[[0.33228009]]
5,1975,[[0.25410283]]
6,1960,[[0.24686352]]
7,2006,[[0.30318365]]
8,1972,[[0.2574434]]
9,1987,[[0.2910962]]
10,1971,[[0.2173484]]
11,1955,[[0.24378871]]
12,1956,[[0.29961941]]
13,2004,[[0.34267399]]
14,1978,[[0.28466374]]
15,1999,[[0.28160556]]
16,1998,[[0.27807653]]
17,1997,[[0.29931013]]
18,2001,[[0.31951347]]
19,1991,[[0.27318026]]
20,1962,[[0.24542996]]
21,1970,[[0.21754358]]
22,2009,[[0.31659088]]
23,1994,[[0.31109632]]
24,1984,[[0.32636812]]
25,1989,[[0.34674295]]
26,2005,[[0.33731537]]
27,1996,[[0.25319139]]
28,1982,[[0.29770801]]
29,1964,[[0.24025271]]
30,1979,[[0.22553225]]
31,1992,[[0.33009203]]
32,1976,[[0.21550447]]
33,1986,[[0.29837325]]
34,1957,[[0.25922532]]
35,1968,[[0.1862494]]
36,1961,[[0.28203551]]
37,2002,[[0.28721419]]
38,1980,[[0.30575293]]
39,1977,[[0.24154907]]
40,2007,[[0.31984642]]
41,1990,[[0.30624683]]
42,1969,[[0.26484618]]
43,1973,[[0.23412601]]
44,2003,[[0.31352103]]
45,1959,[[0.2356406]]
46,1966,[[0.20191672]]
47,1967,[[0.19466391]]
48,1963,[[0.23834313]]
49,1981,[[0.34906876]]
50,1974,[[0.23465719]]
51,2000,[[0.31298536]]
52,2008,[[0.26909646]]
53,1965,[[0.32446698]]
54,1988,[[0.32814836]]
