,year,cosine_similarity
0,1985,[[0.24785883]]
1,1993,[[0.24690285]]
2,1995,[[0.2820945]]
3,1958,[[0.29973392]]
4,1983,[[0.24354132]]
5,1975,[[0.29706492]]
6,1960,[[0.29309489]]
7,2006,[[0.2880713]]
8,1972,[[0.23965608]]
9,1987,[[0.22602458]]
10,1971,[[0.30638104]]
11,1955,[[0.22918068]]
12,1956,[[0.27675242]]
13,2004,[[0.27276449]]
14,1978,[[0.27272054]]
15,1999,[[0.3096157]]
16,1998,[[0.23242964]]
17,1997,[[0.24736581]]
18,2001,[[0.2777959]]
19,1991,[[0.25229508]]
20,1962,[[0.25520912]]
21,1970,[[0.30006497]]
22,2009,[[0.26012101]]
23,1994,[[0.29528708]]
24,1984,[[0.30587938]]
25,1989,[[0.28055058]]
26,2005,[[0.28129146]]
27,1996,[[0.25440337]]
28,1982,[[0.2460255]]
29,1964,[[0.30928376]]
30,1979,[[0.33534625]]
31,1992,[[0.26345767]]
32,1976,[[0.31683542]]
33,1986,[[0.27705056]]
34,1957,[[0.29271045]]
35,1968,[[0.22211096]]
36,1961,[[0.29156052]]
37,2002,[[0.25953007]]
38,1980,[[0.27514862]]
39,1977,[[0.29123543]]
40,2007,[[0.2502903]]
41,1990,[[0.26812841]]
42,1969,[[0.25470824]]
43,1973,[[0.30331636]]
44,2003,[[0.27945065]]
45,1959,[[0.2619173]]
46,1966,[[0.26382766]]
47,1967,[[0.26920593]]
48,1963,[[0.34416203]]
49,1981,[[0.28256507]]
50,1974,[[0.3114586]]
51,2000,[[0.25322676]]
52,2008,[[0.27508983]]
53,1965,[[0.28686232]]
54,1988,[[0.22835546]]
