,year,words
0,1985,"['看涨', nan, nan]"
1,1993,"['看涨', nan, nan]"
2,1995,"['看涨', nan, nan]"
3,1958,"['看涨', nan, nan]"
4,1983,"['看涨', nan, nan]"
5,1975,"['看涨', nan, nan]"
6,1960,"['景气', '看涨', nan, nan]"
7,2006,"['看涨', nan, nan]"
8,1972,"['看涨', nan, nan]"
9,1987,"['看涨', nan, nan]"
10,1971,"['看涨', nan, nan]"
11,1955,"['景气', '看涨', nan, nan]"
12,1956,"['看涨', nan, nan]"
13,2004,"['看涨', nan, nan]"
14,1978,"['看涨', nan, nan]"
15,1999,"['看涨', nan, nan]"
16,1998,"['看涨', nan, nan]"
17,1997,"['看涨', nan, nan]"
18,2001,"['看涨', nan, nan]"
19,1991,"['看涨', nan, nan]"
20,1962,"['看涨', nan, nan]"
21,1970,"['景气', '看涨', nan, nan]"
22,2009,"['看涨', nan, nan]"
23,1994,"['看涨', nan, nan]"
24,1984,"['看涨', nan, nan]"
25,1989,"['看涨', nan, nan]"
26,2005,"['看涨', nan, nan]"
27,1996,"['看涨', nan, nan]"
28,1982,"['看涨', nan, nan]"
29,1964,"['看涨', nan, nan]"
30,1979,"['看涨', nan, nan]"
31,1992,"['看涨', nan, nan]"
32,1976,"['看涨', nan, nan]"
33,1986,"['看涨', nan, nan]"
34,1957,"['看涨', nan, nan]"
35,1968,"['看涨', nan, nan]"
36,1961,"['看涨', nan, nan]"
37,2002,"['看涨', nan, nan]"
38,1980,"['看涨', nan, nan]"
39,1977,"['看涨', nan, nan]"
40,2007,"['看涨', nan, nan]"
41,1990,"['看涨', nan, nan]"
42,1969,"['看涨', nan, nan]"
43,1973,"['看涨', nan, nan]"
44,2003,"['看涨', nan, nan]"
45,1959,"['看涨', nan, nan]"
46,1966,"['看涨', nan, nan]"
47,1967,"['景气', '看涨', nan, nan]"
48,1963,"['看涨', nan, nan]"
49,1981,"['看涨', nan, nan]"
50,1974,"['看涨', nan, nan]"
51,2000,"['看涨', nan, nan]"
52,2008,"['看涨', nan, nan]"
53,1965,"['景气', '看涨', nan, nan]"
54,1988,"['看涨', nan, nan]"
