,year,cosine_similarity
0,1985,[[0.50645613]]
1,1993,[[0.47870075]]
2,1995,[[0.51282857]]
3,1958,[[0.42294247]]
4,1983,[[0.47161131]]
5,1975,[[0.42340419]]
6,1960,[[0.41227368]]
7,2006,[[0.50465035]]
8,1972,[[0.45643778]]
9,1987,[[0.47330013]]
10,1971,[[0.38675989]]
11,1955,[[0.52920469]]
12,1956,[[0.45454126]]
13,2004,[[0.51242751]]
14,1978,[[0.44750672]]
15,1999,[[0.49029481]]
16,1998,[[0.45851035]]
17,1997,[[0.47541593]]
18,2001,[[0.47092328]]
19,1991,[[0.49872396]]
20,1962,[[0.47443409]]
21,1970,[[0.39479336]]
22,2009,[[0.51276067]]
23,1994,[[0.46806685]]
24,1984,[[0.4944152]]
25,1989,[[0.46241294]]
26,2005,[[0.53422482]]
27,1996,[[0.4872879]]
28,1982,[[0.46036458]]
29,1964,[[0.44018937]]
30,1979,[[0.49772296]]
31,1992,[[0.52383028]]
32,1976,[[0.41389164]]
33,1986,[[0.48467182]]
34,1957,[[0.39897345]]
35,1968,[[0.32352103]]
36,1961,[[0.44695013]]
37,2002,[[0.54073215]]
38,1980,[[0.49745232]]
39,1977,[[0.3723156]]
40,2007,[[0.51553936]]
41,1990,[[0.53540611]]
42,1969,[[0.36732068]]
43,1973,[[0.42604844]]
44,2003,[[0.52583596]]
45,1959,[[0.43040241]]
46,1966,[[0.36644673]]
47,1967,[[0.39012623]]
48,1963,[[0.44161494]]
49,1981,[[0.50564392]]
50,1974,[[0.43415403]]
51,2000,[[0.47450499]]
52,2008,[[0.49585307]]
53,1965,[[0.35622288]]
54,1988,[[0.47290729]]
