,year,words
0,1985,"[nan, nan]"
1,1993,"[nan, nan]"
2,1995,"[nan, nan]"
3,1958,"['环保', nan, nan]"
4,1983,"[nan, nan]"
5,1975,"['环保', nan, nan]"
6,1960,"['环保', nan, nan]"
7,2006,"[nan, nan]"
8,1972,"['环保', nan, nan]"
9,1987,"[nan, nan]"
10,1971,"['环保', nan, nan]"
11,1955,"[nan, nan]"
12,1956,"['环保', nan, nan]"
13,2004,"[nan, nan]"
14,1978,"['环保', nan, nan]"
15,1999,"[nan, nan]"
16,1998,"[nan, nan]"
17,1997,"[nan, nan]"
18,2001,"[nan, nan]"
19,1991,"[nan, nan]"
20,1962,"['环保', nan, nan]"
21,1970,"['环保', nan, nan]"
22,2009,"[nan, nan]"
23,1994,"[nan, nan]"
24,1984,"[nan, nan]"
25,1989,"[nan, nan]"
26,2005,"[nan, nan]"
27,1996,"[nan, nan]"
28,1982,"[nan, nan]"
29,1964,"['环保', nan, nan]"
30,1979,"['环保', nan, nan]"
31,1992,"[nan, nan]"
32,1976,"['环保', nan, nan]"
33,1986,"[nan, nan]"
34,1957,"['环保', nan, nan]"
35,1968,"['环保', nan, nan]"
36,1961,"['环保', nan, nan]"
37,2002,"[nan, nan]"
38,1980,"[nan, nan]"
39,1977,"['环保', nan, nan]"
40,2007,"[nan, nan]"
41,1990,"[nan, nan]"
42,1969,"['环保', nan, nan]"
43,1973,"['环保', nan, nan]"
44,2003,"[nan, nan]"
45,1959,"['环保', nan, nan]"
46,1966,"['环保', nan, nan]"
47,1967,"['环保', nan, nan]"
48,1963,"['环保', nan, nan]"
49,1981,"[nan, nan]"
50,1974,"['环保', nan, nan]"
51,2000,"[nan, nan]"
52,2008,"[nan, nan]"
53,1965,"['环保', nan, nan]"
54,1988,"[nan, nan]"
