,year,cosine_similarity
0,1985,[[0.21727993]]
1,1993,[[0.24389653]]
2,1995,[[0.24379928]]
3,1958,[[0.25576741]]
4,1983,[[0.21417979]]
5,1975,[[0.19463148]]
6,1960,[[0.28182464]]
7,2006,[[0.2356343]]
8,1972,[[0.22370517]]
9,1987,[[0.21641034]]
10,1971,[[0.19358611]]
11,1955,[[0.20819976]]
12,1956,[[0.28790069]]
13,2004,[[0.24131558]]
14,1978,[[0.15438239]]
15,1999,[[0.23553925]]
16,1998,[[0.2144953]]
17,1997,[[0.24028955]]
18,2001,[[0.27960419]]
19,1991,[[0.2379526]]
20,1962,[[0.25846286]]
21,1970,[[0.16146244]]
22,2009,[[0.22305997]]
23,1994,[[0.22389144]]
24,1984,[[0.23027373]]
25,1989,[[0.22728498]]
26,2005,[[0.25569298]]
27,1996,[[0.21311204]]
28,1982,[[0.26473341]]
29,1964,[[0.28037467]]
30,1979,[[0.22033982]]
31,1992,[[0.22284178]]
32,1976,[[0.19343101]]
33,1986,[[0.21569002]]
34,1957,[[0.23707755]]
35,1968,[[0.17168552]]
36,1961,[[0.24495479]]
37,2002,[[0.2241188]]
38,1980,[[0.19777201]]
39,1977,[[0.23920953]]
40,2007,[[0.22198838]]
41,1990,[[0.25094983]]
42,1969,[[0.26785511]]
43,1973,[[0.28240825]]
44,2003,[[0.23169245]]
45,1959,[[0.27061429]]
46,1966,[[0.22893729]]
47,1967,[[0.24100504]]
48,1963,[[0.26088257]]
49,1981,[[0.23426832]]
50,1974,[[0.19181866]]
51,2000,[[0.25647]]
52,2008,[[0.2175885]]
53,1965,[[0.23340717]]
54,1988,[[0.24495693]]
