,year,words
0,1985,"['看跌', nan, nan]"
1,1993,"['看跌', nan, nan]"
2,1995,"['看跌', nan, nan]"
3,1958,"['看跌', nan, nan]"
4,1983,"['看跌', nan, nan]"
5,1975,"['看跌', nan, nan]"
6,1960,"['看跌', nan, nan]"
7,2006,"['看跌', nan, nan]"
8,1972,"['看跌', nan, nan]"
9,1987,"['看跌', nan, nan]"
10,1971,"['看跌', nan, nan]"
11,1955,"['看跌', nan, nan]"
12,1956,"['看跌', nan, nan]"
13,2004,"['看跌', nan, nan]"
14,1978,"['看跌', nan, nan]"
15,1999,"['看跌', nan, nan]"
16,1998,"['看跌', nan, nan]"
17,1997,"['看跌', nan, nan]"
18,2001,"['看跌', nan, nan]"
19,1991,"['看跌', nan, nan]"
20,1962,"['看跌', nan, nan]"
21,1970,"['衰退', '看跌', nan, nan]"
22,2009,"['看跌', nan, nan]"
23,1994,"['看跌', nan, nan]"
24,1984,"['看跌', nan, nan]"
25,1989,"['看跌', nan, nan]"
26,2005,"['看跌', nan, nan]"
27,1996,"['看跌', nan, nan]"
28,1982,"['看跌', nan, nan]"
29,1964,"['看跌', nan, nan]"
30,1979,"['看跌', nan, nan]"
31,1992,"['看跌', nan, nan]"
32,1976,"['看跌', nan, nan]"
33,1986,"['看跌', nan, nan]"
34,1957,"['看跌', nan, nan]"
35,1968,"['看跌', nan, nan]"
36,1961,"['看跌', nan, nan]"
37,2002,"['看跌', nan, nan]"
38,1980,"['看跌', nan, nan]"
39,1977,"['看跌', nan, nan]"
40,2007,"['看跌', nan, nan]"
41,1990,"['看跌', nan, nan]"
42,1969,"['看跌', nan, nan]"
43,1973,"['看跌', nan, nan]"
44,2003,"['看跌', nan, nan]"
45,1959,"['衰退', '看跌', nan, nan]"
46,1966,"['看跌', nan, nan]"
47,1967,"['衰退', '看跌', nan, nan]"
48,1963,"['看跌', nan, nan]"
49,1981,"['看跌', nan, nan]"
50,1974,"['看跌', nan, nan]"
51,2000,"['看跌', nan, nan]"
52,2008,"['看跌', nan, nan]"
53,1965,"['看跌', nan, nan]"
54,1988,"['看跌', nan, nan]"
