,complements,substitutes,frequency_dict,context_dict
1985,"['psychological', 'organisation', 'realm', 'evolution', 'politics', 'science', 'identification', 'philosophy', 'reform', 'institution', 'instruction', 'perception', 'intervention', 'scientific', 'discipline', 'organization', 'constitution']","['constitution', 'organization', 'discipline', 'scientific', 'intervention', 'instruction', 'perception', 'institution', 'reform', 'philosophy', 'identification', 'science', 'politics', 'evolution', 'realm', 'organisation', 'psychological']","{'reform': (0.7672901749610901, 166), 'organisation': (0.7667601108551025, 192), 'discipline': (0.7659976482391357, 126), 'realm': (0.7530273199081421, 134), 'instruction': (0.747239351272583, 102), 'identification': (0.7440491914749146, 124), 'politics': (0.7426481246948242, 305), 'organization': (0.7426108121871948, 403), 'philosophy': (0.740991473197937, 218), 'scientific': (0.7375495433807373, 233), 'perception': (0.7366065382957458, 139), 'intervention': (0.7326382398605347, 145), 'institution': (0.7309571504592896, 119), 'science': (0.7255997657775879, 483), 'constitution': (0.7232096195220947, 148), 'evolution': (0.716132402420044, 221), 'psychological': (0.713712215423584, 127)}","{'reform': -0.03, 'organisation': 0.266, 'discipline': -0.381, 'realm': 0.242, 'instruction': -0.072, 'identification': 0.002, 'politics': 0.047, 'organization': -0.642, 'philosophy': -0.009, 'scientific': -0.211, 'perception': -0.072, 'intervention': -0.129, 'institution': -0.063, 'science': 0.032, 'constitution': -0.797, 'evolution': 0.15, 'psychological': 0.278}"
1943,"['doctrine', 'revolution', 'religion', 'planning', 'agriculture', 'modern', 'university', 'efficient', 'institutions', 'culture', 'restoration', 'democratic', 'politics', 'equality', 'maintenance', 'proletariat', 'pattern', 'economy', 'organization', 'technique', 'reform', 'domestic', 'creation', 'machinery', 'justice', 'poverty', 'philosophy', 'independence', 'nation', 'society', 'triumph', 'unity', 'discipline', 'phenomenon', 'sovereignty', 'Christianity', 'universe', 'security', 'humanity', 'management', 'organisation', 'science']","['science', 'organisation', 'management', 'humanity', 'security', 'universe', 'Christianity', 'sovereignty', 'phenomenon', 'discipline', 'unity', 'society', 'triumph', 'nation', 'independence', 'philosophy', 'poverty', 'justice', 'machinery', 'creation', 'reform', 'domestic', 'technique', 'organization', 'economy', 'pattern', 'proletariat', 'maintenance', 'equality', 'politics', 'democratic', 'restoration', 'culture', 'institutions', 'efficient', 'university', 'modern', 'agriculture', 'planning', 'religion', 'revolution', 'doctrine']","{'organisation': (0.7327439188957214, 144), 'organization': (0.7232921123504639, 233), 'unity': (0.7019578814506531, 310), 'discipline': (0.696658730506897, 128), 'humanity': (0.6952068209648132, 132), 'economy': (0.6905754208564758, 181), 'society': (0.6822658777236938, 778), 'machinery': (0.6822042465209961, 148), 'Christianity': (0.6793755292892456, 124), 'philosophy': (0.677746593952179, 204), 'security': (0.6765388250350952, 322), 'proletariat': (0.6746340990066528, 260), 'reform': (0.673814058303833, 115), 'doctrine': (0.6724669933319092, 297), 'culture': (0.666124165058136, 210), 'technique': (0.6650058031082153, 101), 'religion': (0.659265398979187, 484), 'phenomenon': (0.6531869769096375, 110), 'restoration': (0.6525660753250122, 123), 'management': (0.6503962278366089, 170), 'maintenance': (0.6473065614700317, 259), 'democratic': (0.6467562913894653, 177), 'sovereignty': (0.6461695432662964, 116), 'agriculture': (0.6449198722839355, 156), 'planning': (0.6432347297668457, 142), 'pattern': (0.6424704790115356, 175), 'university': (0.641383707523346, 101), 'universe': (0.6407687664031982, 205), 'nation': (0.6406822204589844, 829), 'revolution': (0.6387531757354736, 533), 'independence': (0.6385648250579834, 226), 'poverty': (0.6377798318862915, 122), 'domestic': (0.637431263923645, 115), 'science': (0.6341336965560913, 507), 'triumph': (0.6338810920715332, 117), 'institutions': (0.6334872245788574, 151), 'efficient': (0.6327821016311646, 134), 'creation': (0.6325769424438477, 363), 'politics': (0.6317279934883118, 253), 'equality': (0.6316302418708801, 139), 'justice': (0.6315214037895203, 441), 'modern': (0.6305208206176758, 666)}","{'organisation': -0.776, 'organization': 0.011, 'unity': -0.2, 'discipline': -0.483, 'humanity': -0.758, 'economy': 0.02, 'society': -0.172, 'machinery': -0.054, 'Christianity': -0.623, 'philosophy': -0.124, 'security': -0.675, 'proletariat': 0.045, 'reform': -0.013, 'doctrine': 0.79, 'culture': 0.162, 'technique': -0.01, 'religion': 0.762, 'phenomenon': -0.616, 'restoration': 0.125, 'management': -0.769, 'maintenance': 0.071, 'democratic': 0.104, 'sovereignty': -0.619, 'agriculture': 0.723, 'planning': 0.745, 'pattern': 0.024, 'university': 0.665, 'universe': -0.669, 'nation': -0.167, 'revolution': 0.785, 'independence': -0.128, 'poverty': -0.091, 'domestic': -0.013, 'science': -0.802, 'triumph': -0.172, 'institutions': 0.548, 'efficient': 0.657, 'creation': -0.015, 'politics': 0.09, 'equality': 0.082, 'justice': -0.081, 'modern': 0.703}"
1993,"['intervention', 'reform', 'culture', 'constitution', 'realm', 'organisation', 'structures', 'economics', 'collective', 'transformation', 'regime', 'discipline', 'traditional', 'evolution', 'worker', 'tradition', 'democratic', 'universal', 'discourse', 'institution', 'collapse', 'leadership', 'politics', 'capitalism']","['capitalism', 'politics', 'leadership', 'collapse', 'institution', 'discourse', 'universal', 'democratic', 'tradition', 'worker', 'evolution', 'traditional', 'discipline', 'regime', 'transformation', 'collective', 'economics', 'structures', 'organisation', 'realm', 'constitution', 'culture', 'reform', 'intervention']","{'democratic': (0.7494760155677795, 127), 'economics': (0.7244487404823303, 107), 'capitalism': (0.7145304083824158, 119), 'transformation': (0.7138276100158691, 156), 'politics': (0.7114284038543701, 393), 'reform': (0.701842725276947, 215), 'organisation': (0.7005207538604736, 151), 'discipline': (0.6931976079940796, 122), 'constitution': (0.6877973079681396, 194), 'discourse': (0.6833760142326355, 122), 'intervention': (0.6673399209976196, 146), 'collective': (0.6654387712478638, 155), 'collapse': (0.6652966737747192, 167), 'structures': (0.6636381149291992, 196), 'tradition': (0.6617507338523865, 328), 'regime': (0.6612815260887146, 162), 'worker': (0.6608152985572815, 129), 'traditional': (0.6607346534729004, 315), 'universal': (0.6602323055267334, 209), 'culture': (0.6599199771881104, 622), 'realm': (0.6598633527755737, 152), 'leadership': (0.6598483920097351, 163), 'institution': (0.6594403982162476, 167), 'evolution': (0.6591894626617432, 242)}","{'democratic': -0.269, 'economics': 0.101, 'capitalism': -0.597, 'transformation': 0.08, 'politics': -0.553, 'reform': 0.437, 'organisation': 0.127, 'discipline': 0.0, 'constitution': 0.166, 'discourse': -0.287, 'intervention': 0.467, 'collective': 0.09, 'collapse': -0.424, 'structures': 0.11, 'tradition': -0.241, 'regime': 0.046, 'worker': -0.179, 'traditional': -0.067, 'universal': -0.27, 'culture': 0.244, 'realm': 0.164, 'leadership': -0.513, 'institution': -0.365, 'evolution': -0.164}"
1995,"['perception', 'unity', 'organisation', 'politics', 'evolution', 'organization', 'revolution', 'religion', 'stability', 'contemporary', 'intellectual', 'economics', 'humanity', 'ownership', 'logic', 'reform', 'science', 'nation', 'discourse', 'personality', 'regulation', 'realm', 'discipline', 'identity', 'intervention', 'consciousness', 'symbol', 'origins', 'culture', 'structures', 'transformation', 'phenomena', 'spiritual', 'tradition', 'leadership', 'promotion', 'constitution', 'gender', 'violence', 'separation', 'democratic', 'institution', 'practices']","['practices', 'institution', 'democratic', 'separation', 'violence', 'gender', 'constitution', 'promotion', 'leadership', 'tradition', 'spiritual', 'phenomena', 'transformation', 'structures', 'culture', 'origins', 'symbol', 'consciousness', 'intervention', 'identity', 'discipline', 'realm', 'regulation', 'personality', 'discourse', 'nation', 'science', 'reform', 'logic', 'ownership', 'humanity', 'economics', 'intellectual', 'contemporary', 'stability', 'religion', 'revolution', 'organization', 'evolution', 'politics', 'organisation', 'unity', 'perception']","{'economics': (0.7507821917533875, 114), 'reform': (0.7381787896156311, 198), 'democratic': (0.7356296181678772, 141), 'politics': (0.7269984483718872, 502), 'perception': (0.7239861488342285, 167), 'origins': (0.7176417112350464, 155), 'science': (0.7150626182556152, 581), 'realm': (0.7143699526786804, 172), 'consciousness': (0.7093182802200317, 216), 'religion': (0.7069802284240723, 454), 'personality': (0.701732873916626, 134), 'transformation': (0.6979531645774841, 145), 'institution': (0.695012092590332, 153), 'spiritual': (0.6920984387397766, 162), 'organisation': (0.6913802623748779, 195), 'ownership': (0.6894828081130981, 123), 'logic': (0.6894584894180298, 142), 'structures': (0.6886081099510193, 176), 'intervention': (0.6882240772247314, 123), 'leadership': (0.6881405115127563, 135), 'unity': (0.6856904029846191, 238), 'culture': (0.6852676868438721, 689), 'revolution': (0.6817165613174438, 228), 'regulation': (0.6808094382286072, 138), 'evolution': (0.6804283261299133, 251), 'organization': (0.6800236701965332, 471), 'humanity': (0.6799298524856567, 112), 'nation': (0.6798973083496094, 620), 'promotion': (0.6798766851425171, 104), 'constitution': (0.6787666082382202, 158), 'discipline': (0.6776678562164307, 154), 'violence': (0.6767351627349854, 225), 'phenomena': (0.6756548881530762, 101), 'gender': (0.6755648851394653, 239), 'practices': (0.6749051809310913, 158), 'contemporary': (0.6748943328857422, 176), 'tradition': (0.6747705936431885, 348), 'stability': (0.6743462681770325, 163), 'discourse': (0.6740342378616333, 152), 'intellectual': (0.6739163994789124, 200), 'identity': (0.6736365556716919, 420), 'symbol': (0.6729576587677002, 127), 'separation': (0.6724050045013428, 176)}","{'economics': 0.64, 'reform': 0.4, 'democratic': -0.783, 'politics': 0.855, 'perception': 0.91, 'origins': -0.072, 'science': 0.181, 'realm': 0.04, 'consciousness': -0.022, 'religion': 0.734, 'personality': 0.083, 'transformation': -0.13, 'institution': -0.821, 'spiritual': -0.173, 'organisation': 0.884, 'ownership': 0.586, 'logic': 0.567, 'structures': -0.084, 'intervention': 0.02, 'leadership': -0.241, 'unity': 0.888, 'culture': -0.073, 'revolution': 0.768, 'regulation': 0.072, 'evolution': 0.849, 'organization': 0.846, 'humanity': 0.628, 'nation': 0.179, 'promotion': -0.333, 'constitution': -0.484, 'discipline': 0.026, 'violence': -0.561, 'phenomena': -0.163, 'gender': -0.526, 'practices': -0.925, 'contemporary': 0.723, 'tradition': -0.218, 'stability': 0.733, 'discourse': 0.153, 'intellectual': 0.68, 'identity': 0.025, 'symbol': -0.057, 'separation': -0.738}"
1958,"['reform', 'standards', 'machinery', 'culture', 'sphere', 'prosperity', 'agriculture', 'university', 'politics', 'institutions', 'commerce', 'department', 'management', 'organization', 'programme', 'security', 'training', 'economy', 'model', 'customs', 'climate']","['climate', 'customs', 'model', 'economy', 'training', 'security', 'programme', 'organization', 'management', 'department', 'commerce', 'institutions', 'politics', 'university', 'agriculture', 'prosperity', 'sphere', 'culture', 'machinery', 'standards', 'reform']","{'organization': (0.8030379414558411, 197), 'security': (0.775357723236084, 209), 'culture': (0.7723262310028076, 200), 'programme': (0.7653607726097107, 115), 'machinery': (0.7584816217422485, 117), 'training': (0.7567006349563599, 203), 'university': (0.7547247409820557, 117), 'department': (0.7519110441207886, 123), 'reform': (0.7504949569702148, 115), 'climate': (0.7502825856208801, 134), 'standards': (0.7483886480331421, 128), 'commerce': (0.7449265718460083, 110), 'agriculture': (0.7369146943092346, 139), 'economy': (0.7361727952957153, 249), 'politics': (0.7334944605827332, 212), 'model': (0.7332210540771484, 183), 'institutions': (0.7328345775604248, 137), 'sphere': (0.7327063083648682, 234), 'customs': (0.7266396880149841, 109), 'prosperity': (0.7248916625976562, 103), 'management': (0.7229738235473633, 212)}","{'organization': -0.049, 'security': -0.085, 'culture': 0.107, 'programme': -0.061, 'machinery': 0.141, 'training': -0.103, 'university': 0.01, 'department': -0.037, 'reform': 0.865, 'climate': -0.934, 'standards': 0.157, 'commerce': -0.034, 'agriculture': 0.036, 'economy': -0.165, 'politics': -0.02, 'model': -0.318, 'institutions': -0.031, 'sphere': 0.096, 'customs': -0.895, 'prosperity': 0.04, 'management': -0.041}"
1983,"['reality', 'arts', 'medicine', 'socialist', 'legislation', 'psychological', 'religion', 'violence', 'personality', 'capitalism', 'organisation', 'evolution', 'discipline', 'integration', 'culture', 'conversion', 'intellectual', 'symbol', 'mankind', 'transformation', 'democratic', 'science', 'logic', 'realm', 'reform', 'intelligence']","['intelligence', 'reform', 'realm', 'science', 'logic', 'democratic', 'transformation', 'mankind', 'symbol', 'intellectual', 'conversion', 'culture', 'integration', 'discipline', 'evolution', 'organisation', 'capitalism', 'personality', 'violence', 'religion', 'psychological', 'legislation', 'socialist', 'medicine', 'arts', 'reality']","{'organisation': (0.7744103670120239, 171), 'medicine': (0.7684217691421509, 111), 'psychological': (0.7389386892318726, 109), 'intellectual': (0.7369351387023926, 155), 'democratic': (0.7308057546615601, 112), 'capitalism': (0.7274807095527649, 107), 'mankind': (0.7264751195907593, 107), 'arts': (0.7237317562103271, 144), 'socialist': (0.7201075553894043, 131), 'science': (0.7157584428787231, 493), 'logic': (0.7128725051879883, 115), 'culture': (0.7128187417984009, 404), 'symbol': (0.7085155248641968, 106), 'integration': (0.7083011269569397, 102), 'religion': (0.7061910629272461, 397), 'intelligence': (0.7058039307594299, 100), 'conversion': (0.7057770490646362, 100), 'transformation': (0.7033287286758423, 116), 'legislation': (0.69483482837677, 110), 'personality': (0.6942031979560852, 136), 'realm': (0.6908387541770935, 141), 'violence': (0.6887798309326172, 192), 'reality': (0.6885432004928589, 417), 'discipline': (0.6884951591491699, 113), 'evolution': (0.6880347728729248, 221), 'reform': (0.6875808238983154, 136)}","{'organisation': 0.093, 'medicine': 0.22, 'psychological': 0.143, 'intellectual': -0.023, 'democratic': -0.072, 'capitalism': 0.097, 'mankind': -0.064, 'arts': 0.312, 'socialist': 0.152, 'science': -0.081, 'logic': -0.081, 'culture': 0.02, 'symbol': -0.033, 'integration': 0.062, 'religion': 0.126, 'intelligence': -0.201, 'conversion': 0.008, 'transformation': -0.066, 'legislation': 0.147, 'personality': 0.117, 'realm': -0.092, 'violence': 0.124, 'reality': 0.39, 'discipline': 0.074, 'evolution': 0.09, 'reform': -0.099}"
1919,"['constitution', 'politics', 'humanity', 'freedom', 'culture', 'unity', 'scientific', 'machinery', 'management']","['management', 'machinery', 'scientific', 'unity', 'culture', 'freedom', 'humanity', 'politics', 'constitution']","{'unity': (0.7633074522018433, 252), 'humanity': (0.7435755729675293, 207), 'politics': (0.742688775062561, 169), 'culture': (0.7258673906326294, 122), 'freedom': (0.7252357006072998, 375), 'management': (0.7198901176452637, 197), 'machinery': (0.7195249795913696, 158), 'constitution': (0.7186322212219238, 240), 'scientific': (0.7145848274230957, 160)}","{'unity': -0.045, 'humanity': 0.017, 'politics': 0.023, 'culture': -0.025, 'freedom': -0.023, 'management': -0.167, 'machinery': -0.082, 'constitution': 0.183, 'scientific': -0.08}"
1975,"['welfare', 'attitudes', 'psychological', 'logic', 'unity', 'educational', 'collective', 'personality', 'intelligence', 'rational', 'liberation', 'reality', 'identity', 'capitalism', 'organization', 'organisation', 'weakness', 'spiritual', 'socialist', 'pursuit', 'preservation', 'consciousness', 'proletariat', 'stability', 'realm', 'equality', 'intellectual', 'humanity', 'reform']","['reform', 'humanity', 'intellectual', 'equality', 'realm', 'stability', 'proletariat', 'consciousness', 'preservation', 'pursuit', 'socialist', 'spiritual', 'weakness', 'organisation', 'organization', 'capitalism', 'identity', 'reality', 'liberation', 'rational', 'intelligence', 'personality', 'collective', 'educational', 'unity', 'logic', 'psychological', 'attitudes', 'welfare']","{'preservation': (0.7558305263519287, 102), 'organisation': (0.7496219873428345, 167), 'proletariat': (0.7453045845031738, 138), 'collective': (0.7430456876754761, 111), 'organization': (0.7354120016098022, 415), 'logic': (0.7345267534255981, 116), 'personality': (0.7336348295211792, 156), 'rational': (0.7278943061828613, 111), 'intellectual': (0.7259631156921387, 137), 'reform': (0.7232334017753601, 150), 'unity': (0.7229830026626587, 282), 'spiritual': (0.7203271389007568, 146), 'consciousness': (0.7197016477584839, 277), 'educational': (0.7192045450210571, 156), 'welfare': (0.7184456586837769, 215), 'realm': (0.7182052135467529, 189), 'capitalism': (0.7171929478645325, 102), 'liberation': (0.7164841890335083, 117), 'pursuit': (0.7160316109657288, 122), 'psychological': (0.7149280905723572, 117), 'humanity': (0.714496910572052, 104), 'stability': (0.7138581871986389, 155), 'socialist': (0.7135376334190369, 131), 'identity': (0.7121166586875916, 169), 'weakness': (0.7044774293899536, 126), 'intelligence': (0.703873872756958, 112), 'reality': (0.7035291790962219, 441), 'equality': (0.7024811506271362, 129), 'attitudes': (0.7017050981521606, 109)}","{'preservation': -0.668, 'organisation': -0.361, 'proletariat': -0.837, 'collective': 0.535, 'organization': -0.304, 'logic': 0.72, 'personality': 0.179, 'rational': 0.15, 'intellectual': -0.892, 'reform': -0.899, 'unity': 0.669, 'spiritual': -0.541, 'consciousness': -0.743, 'educational': 0.604, 'welfare': 0.884, 'realm': -0.848, 'capitalism': -0.279, 'liberation': 0.12, 'pursuit': -0.653, 'psychological': 0.792, 'humanity': -0.895, 'stability': -0.846, 'socialist': -0.634, 'identity': -0.053, 'weakness': -0.507, 'intelligence': 0.167, 'reality': 0.092, 'equality': -0.889, 'attitudes': 0.848}"
1960,"['concept', 'civilization', 'stability', 'perfection', 'organization', 'perception', 'personality', 'preservation', 'ideal', 'drama', 'universe']","['universe', 'drama', 'ideal', 'preservation', 'personality', 'perception', 'organization', 'perfection', 'stability', 'civilization', 'concept']","{'drama': (0.7721356153488159, 123), 'civilization': (0.7654081583023071, 104), 'universe': (0.758686900138855, 198), 'stability': (0.7579901218414307, 110), 'perception': (0.7577202320098877, 101), 'perfection': (0.7574083805084229, 126), 'personality': (0.753481388092041, 190), 'ideal': (0.7520002722740173, 170), 'organization': (0.7471703886985779, 232), 'concept': (0.7456913590431213, 228), 'preservation': (0.7407463788986206, 109)}","{'drama': -0.199, 'civilization': 0.358, 'universe': -0.4, 'stability': 0.271, 'perception': 0.01, 'perfection': 0.248, 'personality': -0.036, 'ideal': -0.156, 'organization': 0.129, 'concept': 0.423, 'preservation': -0.103}"
1922,[],[],{},{}
