,year,cosine_similarity
0,1985,[[0.48933443]]
1,1943,[[0.42827665]]
2,1993,[[0.46842865]]
3,1995,[[0.45459647]]
4,1958,[[0.41419179]]
5,1983,[[0.47281803]]
6,1919,[[0.37615767]]
7,1975,[[0.46939691]]
8,1960,[[0.42948391]]
9,1922,[[0.4766528]]
10,1928,[[0.45385827]]
11,2006,[[0.53867222]]
12,1972,[[0.52061964]]
13,1908,[[0.39550911]]
14,1916,[[0.41136124]]
15,1913,[[0.42036237]]
16,1987,[[0.52700042]]
17,1971,[[0.4812468]]
18,1906,[[0.31539467]]
19,1924,[[0.50199879]]
20,1955,[[0.45376223]]
21,1954,[[0.43330509]]
22,1956,[[0.45424028]]
23,1900,[[0.32346639]]
24,1948,[[0.53154664]]
25,2004,[[0.52823409]]
26,1978,[[0.51909634]]
27,1999,[[0.48337138]]
28,1998,[[0.46837167]]
29,1934,[[0.46057868]]
30,1997,[[0.52382466]]
31,2001,[[0.47565326]]
32,1991,[[0.47888464]]
33,1903,[[0.41439178]]
34,1962,[[0.41665307]]
35,1970,[[0.52064578]]
36,1921,[[0.49331808]]
37,1917,[[0.45831315]]
38,1923,[[0.43228988]]
39,1949,[[0.50218073]]
40,1905,[[0.4296589]]
41,1914,[[0.41382298]]
42,2009,[[0.51359502]]
43,1912,[[0.41246084]]
44,1994,[[0.48610317]]
45,1935,[[0.51094718]]
46,1984,[[0.52890931]]
47,1952,[[0.46348599]]
48,1989,[[0.47214112]]
49,1929,[[0.51598444]]
50,2005,[[0.530486]]
51,1996,[[0.49360664]]
52,1911,[[0.38697478]]
53,1933,[[0.49858954]]
54,1982,[[0.4709993]]
55,1904,[[0.38283279]]
56,1964,[[0.42017504]]
57,1941,[[0.35344959]]
58,1979,[[0.4855499]]
59,1907,[[0.45474954]]
60,1992,[[0.50242965]]
61,1926,[[0.39605329]]
62,1976,[[0.48886191]]
63,1986,[[0.45049128]]
64,1957,[[0.48921702]]
65,1947,[[0.51728538]]
66,1920,[[0.40292241]]
67,1968,[[0.53407397]]
68,1946,[[0.46792569]]
69,1961,[[0.45355782]]
70,2002,[[0.53301113]]
71,1932,[[0.49288235]]
72,1980,[[0.45270524]]
73,1977,[[0.50253766]]
74,1902,[[0.35248118]]
75,1931,[[0.49625033]]
76,2007,[[0.5055146]]
77,1918,[[0.48834169]]
78,1990,[[0.4824784]]
79,1939,[[0.4428601]]
80,1925,[[0.50186704]]
81,1910,[[0.38145725]]
82,1944,[[0.4138666]]
83,1940,[[0.44994289]]
84,1945,[[0.39881506]]
85,1969,[[0.46452039]]
86,1973,[[0.50970305]]
87,2003,[[0.50731692]]
88,1959,[[0.42400797]]
89,1966,[[0.44018138]]
90,1915,[[0.40003685]]
91,1942,[[0.39428839]]
92,1951,[[0.42530076]]
93,1901,[[0.33526007]]
94,1930,[[0.42065414]]
95,1967,[[0.51984494]]
96,1963,[[0.44949988]]
97,1981,[[0.51421213]]
98,1938,[[0.44359385]]
99,1974,[[0.47099095]]
100,2000,[[0.46546923]]
101,1950,[[0.48078424]]
102,1927,[[0.37526173]]
103,1937,[[0.46199614]]
104,1936,[[0.48098393]]
105,2008,[[0.52628785]]
106,1965,[[0.43576575]]
107,1909,[[0.44678115]]
108,1988,[[0.5047166]]
109,1953,[[0.41998466]]
