,year,words
0,1985,['autoritär']
1,1943,['autoritär']
2,1993,['autoritär']
3,1995,['autoritär']
4,1958,['autoritär']
5,1983,['autoritär']
6,1919,"['bürokratie', 'autoritär']"
7,1975,['autoritär']
8,1960,['autoritär']
9,1922,"['bürokratie', 'autoritär']"
10,1928,"['bürokratie', 'autoritär']"
11,2006,['autoritär']
12,1972,['autoritär']
13,1908,"['bürokratie', 'autoritär']"
14,1916,"['bürokratie', 'autoritär']"
15,1913,"['bürokratie', 'autoritär']"
16,1987,['autoritär']
17,1971,['autoritär']
18,1906,"['bürokratie', 'autoritär']"
19,1924,['autoritär']
20,1955,['autoritär']
21,1954,['autoritär']
22,1956,['autoritär']
23,1900,"['bürokratie', 'autoritär']"
24,1948,['autoritär']
25,2004,['autoritär']
26,1978,['autoritär']
27,1999,['autoritär']
28,1998,['autoritär']
29,1934,['autoritär']
30,1997,['autoritär']
31,2001,['autoritär']
32,1991,['autoritär']
33,1903,"['bürokratie', 'autoritär']"
34,1962,['autoritär']
35,1970,['autoritär']
36,1921,"['bürokratie', 'autoritär']"
37,1917,"['bürokratie', 'autoritär']"
38,1923,"['bürokratie', 'autoritär']"
39,1949,['autoritär']
40,1905,"['bürokratie', 'autoritär']"
41,1914,"['bürokratie', 'autoritär']"
42,2009,['autoritär']
43,1912,"['bürokratie', 'autoritär']"
44,1994,['autoritär']
45,1935,['autoritär']
46,1984,['autoritär']
47,1952,['autoritär']
48,1989,['autoritär']
49,1929,['autoritär']
50,2005,['autoritär']
51,1996,['autoritär']
52,1911,"['bürokratie', 'autoritär']"
53,1933,['autoritär']
54,1982,['autoritär']
55,1904,"['bürokratie', 'autoritär']"
56,1964,['autoritär']
57,1941,"['bürokratie', 'autoritär']"
58,1979,['autoritär']
59,1907,"['bürokratie', 'autoritär']"
60,1992,['autoritär']
61,1926,"['bürokratie', 'autoritär']"
62,1976,['autoritär']
63,1986,['autoritär']
64,1957,['autoritär']
65,1947,['autoritär']
66,1920,"['bürokratie', 'autoritär']"
67,1968,['autoritär']
68,1946,['autoritär']
69,1961,['autoritär']
70,2002,['autoritär']
71,1932,['autoritär']
72,1980,['autoritär']
73,1977,['autoritär']
74,1902,"['bürokratie', 'diktatur', 'autoritär']"
75,1931,['autoritär']
76,2007,['autoritär']
77,1918,['autoritär']
78,1990,['autoritär']
79,1939,['autoritär']
80,1925,['autoritär']
81,1910,"['bürokratie', 'autoritär']"
82,1944,['autoritär']
83,1940,['autoritär']
84,1945,['autoritär']
85,1969,['autoritär']
86,1973,['autoritär']
87,2003,['autoritär']
88,1959,['autoritär']
89,1966,['autoritär']
90,1915,"['bürokratie', 'autoritär']"
91,1942,['autoritär']
92,1951,['autoritär']
93,1901,"['bürokratie', 'autoritär']"
94,1930,"['bürokratie', 'autoritär']"
95,1967,['autoritär']
96,1963,['autoritär']
97,1981,['autoritär']
98,1938,['autoritär']
99,1974,['autoritär']
100,2000,['autoritär']
101,1950,['autoritär']
102,1927,"['bürokratie', 'autoritär']"
103,1937,['autoritär']
104,1936,['autoritär']
105,2008,['autoritär']
106,1965,['autoritär']
107,1909,"['bürokratie', 'autoritär']"
108,1988,['autoritär']
109,1953,['autoritär']
