,year,cosine_similarity
0,1985,[[0.62161225]]
1,1943,[[0.55181102]]
2,1993,[[0.54598379]]
3,1995,[[0.56337378]]
4,1958,[[0.53216913]]
5,1983,[[0.5822009]]
6,1919,[[0.5791443]]
7,1975,[[0.61828987]]
8,1960,[[0.56580205]]
9,1922,[[0.59575675]]
10,1928,[[0.54931146]]
11,2006,[[0.58619112]]
12,1972,[[0.55148984]]
13,1908,[[0.63586228]]
14,1916,[[0.57453203]]
15,1913,[[0.60072883]]
16,1987,[[0.59968773]]
17,1971,[[0.62961116]]
18,1906,[[0.63078132]]
19,1924,[[0.62346133]]
20,1955,[[0.5273568]]
21,1954,[[0.59294238]]
22,1956,[[0.59622723]]
23,1900,[[0.6023119]]
24,1948,[[0.59583425]]
25,2004,[[0.63526082]]
26,1978,[[0.5756037]]
27,1999,[[0.56954042]]
28,1998,[[0.56669435]]
29,1934,[[0.51415669]]
30,1997,[[0.57829262]]
31,2001,[[0.55732596]]
32,1991,[[0.58065509]]
33,1903,[[0.62350751]]
34,1962,[[0.56167818]]
35,1970,[[0.53994992]]
36,1921,[[0.62281935]]
37,1917,[[0.56956317]]
38,1923,[[0.6526954]]
39,1949,[[0.57354931]]
40,1905,[[0.62263006]]
41,1914,[[0.58696973]]
42,2009,[[0.57353697]]
43,1912,[[0.63596388]]
44,1994,[[0.56806629]]
45,1935,[[0.56336011]]
46,1984,[[0.61287819]]
47,1952,[[0.54575084]]
48,1989,[[0.53726695]]
49,1929,[[0.63836868]]
50,2005,[[0.61859712]]
51,1996,[[0.60579104]]
52,1911,[[0.59403962]]
53,1933,[[0.57431896]]
54,1982,[[0.61874948]]
55,1904,[[0.60043235]]
56,1964,[[0.59948631]]
57,1941,[[0.52828289]]
58,1979,[[0.59136601]]
59,1907,[[0.58635389]]
60,1992,[[0.55590785]]
61,1926,[[0.5914347]]
62,1976,[[0.55131746]]
63,1986,[[0.54916027]]
64,1957,[[0.58144837]]
65,1947,[[0.54729211]]
66,1920,[[0.55584054]]
67,1968,[[0.62061998]]
68,1946,[[0.51174631]]
69,1961,[[0.57329614]]
70,2002,[[0.57567242]]
71,1932,[[0.5897883]]
72,1980,[[0.58964153]]
73,1977,[[0.56668773]]
74,1902,[[0.54914807]]
75,1931,[[0.6041606]]
76,2007,[[0.58729927]]
77,1918,[[0.47510606]]
78,1990,[[0.58283536]]
79,1939,[[0.55935599]]
80,1925,[[0.62107616]]
81,1910,[[0.54814845]]
82,1944,[[0.5170762]]
83,1940,[[0.51667965]]
84,1945,[[0.53295648]]
85,1969,[[0.60072513]]
86,1973,[[0.54226706]]
87,2003,[[0.62167438]]
88,1959,[[0.57282063]]
89,1966,[[0.59763661]]
90,1915,[[0.56796384]]
91,1942,[[0.48435244]]
92,1951,[[0.51796264]]
93,1901,[[0.51196525]]
94,1930,[[0.62819058]]
95,1967,[[0.62411221]]
96,1963,[[0.51970329]]
97,1981,[[0.60665666]]
98,1938,[[0.57094349]]
99,1974,[[0.58713103]]
100,2000,[[0.62329415]]
101,1950,[[0.58239961]]
102,1927,[[0.60009217]]
103,1937,[[0.5977202]]
104,1936,[[0.56292092]]
105,2008,[[0.61376833]]
106,1965,[[0.58617659]]
107,1909,[[0.60546946]]
108,1988,[[0.57911913]]
109,1953,[[0.61346593]]
