,year,words
0,1985,"['libertarismus', 'öffentlich zugänglich']"
1,1943,"['anarchismus', 'libertarismus', 'föderalismus', 'pluralismus', 'öffentlich zugänglich']"
2,1993,"['libertarismus', 'öffentlich zugänglich']"
3,1995,"['libertarismus', 'öffentlich zugänglich']"
4,1958,"['anarchismus', 'libertarismus', 'pluralismus', 'öffentlich zugänglich']"
5,1983,"['libertarismus', 'öffentlich zugänglich']"
6,1919,"['anarchismus', 'libertarismus', 'pluralismus', 'öffentlich zugänglich']"
7,1975,"['libertarismus', 'öffentlich zugänglich']"
8,1960,"['anarchismus', 'libertarismus', 'pluralismus', 'öffentlich zugänglich']"
9,1922,"['libertarismus', 'pluralismus', 'öffentlich zugänglich']"
10,1928,"['libertarismus', 'pluralismus', 'öffentlich zugänglich']"
11,2006,"['anarchismus', 'libertarismus', 'öffentlich zugänglich']"
12,1972,"['libertarismus', 'öffentlich zugänglich']"
13,1908,"['libertarismus', 'föderalismus', 'pluralismus', 'öffentlich zugänglich']"
14,1916,"['anarchismus', 'libertarismus', 'föderalismus', 'pluralismus', 'öffentlich zugänglich']"
15,1913,"['libertarismus', 'pluralismus', 'öffentlich zugänglich']"
16,1987,"['libertarismus', 'öffentlich zugänglich']"
17,1971,"['libertarismus', 'öffentlich zugänglich']"
18,1906,"['libertarismus', 'föderalismus', 'pluralismus', 'öffentlich zugänglich']"
19,1924,"['libertarismus', 'pluralismus', 'öffentlich zugänglich']"
20,1955,"['anarchismus', 'libertarismus', 'pluralismus', 'öffentlich zugänglich']"
21,1954,"['libertarismus', 'pluralismus', 'öffentlich zugänglich']"
22,1956,"['libertarismus', 'pluralismus', 'öffentlich zugänglich']"
23,1900,"['libertarismus', 'föderalismus', 'pluralismus', 'öffentlich zugänglich']"
24,1948,"['libertarismus', 'pluralismus', 'öffentlich zugänglich']"
25,2004,"['libertarismus', 'öffentlich zugänglich']"
26,1978,"['libertarismus', 'öffentlich zugänglich']"
27,1999,"['anarchismus', 'libertarismus', 'öffentlich zugänglich']"
28,1998,"['anarchismus', 'libertarismus', 'öffentlich zugänglich']"
29,1934,"['anarchismus', 'libertarismus', 'pluralismus', 'öffentlich zugänglich']"
30,1997,"['libertarismus', 'öffentlich zugänglich']"
31,2001,"['libertarismus', 'öffentlich zugänglich']"
32,1991,"['libertarismus', 'öffentlich zugänglich']"
33,1903,"['libertarismus', 'föderalismus', 'pluralismus', 'öffentlich zugänglich']"
34,1962,"['libertarismus', 'pluralismus', 'öffentlich zugänglich']"
35,1970,"['libertarismus', 'öffentlich zugänglich']"
36,1921,"['anarchismus', 'libertarismus', 'pluralismus', 'öffentlich zugänglich']"
37,1917,"['anarchismus', 'libertarismus', 'pluralismus', 'öffentlich zugänglich']"
38,1923,"['libertarismus', 'föderalismus', 'pluralismus', 'öffentlich zugänglich']"
39,1949,"['anarchismus', 'libertarismus', 'pluralismus', 'öffentlich zugänglich']"
40,1905,"['libertarismus', 'föderalismus', 'pluralismus', 'öffentlich zugänglich']"
41,1914,"['anarchismus', 'libertarismus', 'föderalismus', 'pluralismus', 'öffentlich zugänglich']"
42,2009,"['libertarismus', 'öffentlich zugänglich']"
43,1912,"['libertarismus', 'föderalismus', 'pluralismus', 'öffentlich zugänglich']"
44,1994,"['libertarismus', 'öffentlich zugänglich']"
45,1935,"['anarchismus', 'libertarismus', 'pluralismus', 'öffentlich zugänglich']"
46,1984,"['libertarismus', 'öffentlich zugänglich']"
