,year,cosine_similarity
0,1985,[[0.57334921]]
1,1943,[[0.4795248]]
2,1993,[[0.4852562]]
3,1995,[[0.45964021]]
4,1958,[[0.4285738]]
5,1983,[[0.50615343]]
6,1919,[[0.53573295]]
7,1975,[[0.45549987]]
8,1960,[[0.47318207]]
9,1922,[[0.51151817]]
10,1928,[[0.48020287]]
11,2006,[[0.53744658]]
12,1972,[[0.43961369]]
13,1908,[[0.47379618]]
14,1916,[[0.52041964]]
15,1913,[[0.56279912]]
16,1987,[[0.51728796]]
17,1971,[[0.45396438]]
18,1906,[[0.4836732]]
19,1924,[[0.52495976]]
20,1955,[[0.49762308]]
21,1954,[[0.46416058]]
22,1956,[[0.49280007]]
23,1900,[[0.47645658]]
24,1948,[[0.51783857]]
25,2004,[[0.58056686]]
26,1978,[[0.52012428]]
27,1999,[[0.55894618]]
28,1998,[[0.45679845]]
29,1934,[[0.43001162]]
30,1997,[[0.53122398]]
31,2001,[[0.49906997]]
32,1991,[[0.51449161]]
33,1903,[[0.50402237]]
34,1962,[[0.46726252]]
35,1970,[[0.47829002]]
36,1921,[[0.57115094]]
37,1917,[[0.5582495]]
38,1923,[[0.56235305]]
39,1949,[[0.48013664]]
40,1905,[[0.48234508]]
41,1914,[[0.55032846]]
42,2009,[[0.55002501]]
43,1912,[[0.55341762]]
44,1994,[[0.47167187]]
45,1935,[[0.51158501]]
46,1984,[[0.44974549]]
47,1952,[[0.50351944]]
48,1989,[[0.52439241]]
49,1929,[[0.52044877]]
50,2005,[[0.567971]]
51,1996,[[0.52168144]]
52,1911,[[0.5645126]]
53,1933,[[0.44928218]]
54,1982,[[0.51352538]]
55,1904,[[0.54642001]]
56,1964,[[0.42212688]]
57,1941,[[0.43140177]]
58,1979,[[0.47699421]]
59,1907,[[0.47808177]]
60,1992,[[0.48596334]]
61,1926,[[0.45530879]]
62,1976,[[0.47376697]]
63,1986,[[0.5302005]]
64,1957,[[0.46306525]]
65,1947,[[0.46319269]]
66,1920,[[0.510313]]
67,1968,[[0.49374792]]
68,1946,[[0.54606464]]
69,1961,[[0.49714009]]
70,2002,[[0.49947941]]
71,1932,[[0.43814793]]
72,1980,[[0.4581461]]
73,1977,[[0.49986856]]
74,1902,[[0.41418623]]
75,1931,[[0.54986176]]
76,2007,[[0.55373331]]
77,1918,[[0.4846666]]
78,1990,[[0.45060017]]
79,1939,[[0.45618373]]
80,1925,[[0.56218843]]
81,1910,[[0.5162036]]
82,1944,[[0.41498013]]
83,1940,[[0.49169841]]
84,1945,[[0.4274073]]
85,1969,[[0.46082737]]
86,1973,[[0.5010096]]
87,2003,[[0.52159008]]
88,1959,[[0.46129191]]
89,1966,[[0.51000763]]
90,1915,[[0.53487336]]
91,1942,[[0.37187266]]
92,1951,[[0.45863969]]
93,1901,[[0.3764678]]
94,1930,[[0.51643169]]
95,1967,[[0.52409538]]
96,1963,[[0.45808417]]
97,1981,[[0.45871871]]
98,1938,[[0.45034441]]
99,1974,[[0.45359821]]
100,2000,[[0.52348627]]
101,1950,[[0.46035066]]
102,1927,[[0.52482905]]
103,1937,[[0.50927722]]
104,1936,[[0.5234819]]
105,2008,[[0.55172432]]
106,1965,[[0.49544694]]
107,1909,[[0.50722178]]
108,1988,[[0.4950229]]
109,1953,[[0.44490603]]
