,year,cosine_similarity
0,1985,[[0.43880582]]
1,1943,[[0.37356473]]
2,1993,[[0.44619349]]
3,1995,[[0.44827698]]
4,1958,[[0.34703517]]
5,1983,[[0.43065237]]
6,1919,[[0.37196788]]
7,1975,[[0.40857074]]
8,1960,[[0.41142957]]
9,1922,[[0.4268924]]
10,1928,[[0.39562041]]
11,2006,[[0.48586829]]
12,1972,[[0.3792421]]
13,1908,[[0.43914561]]
14,1916,[[0.41885869]]
15,1913,[[0.40206137]]
16,1987,[[0.45708979]]
17,1971,[[0.38207218]]
18,1906,[[0.45820008]]
19,1924,[[0.35238358]]
20,1955,[[0.35777307]]
21,1954,[[0.37203665]]
22,1956,[[0.46389507]]
23,1900,[[0.46940931]]
24,1948,[[0.43631904]]
25,2004,[[0.46597566]]
26,1978,[[0.35430585]]
27,1999,[[0.47200041]]
28,1998,[[0.49178548]]
29,1934,[[0.32389182]]
30,1997,[[0.43054115]]
31,2001,[[0.46495883]]
32,1991,[[0.45669117]]
33,1903,[[0.47635206]]
34,1962,[[0.41018734]]
35,1970,[[0.40846555]]
36,1921,[[0.40847436]]
37,1917,[[0.39726854]]
38,1923,[[0.39632849]]
39,1949,[[0.44257474]]
40,1905,[[0.49117449]]
41,1914,[[0.42428382]]
42,2009,[[0.46617251]]
43,1912,[[0.36706048]]
44,1994,[[0.40688917]]
45,1935,[[0.36454811]]
46,1984,[[0.44008698]]
47,1952,[[0.39470619]]
48,1989,[[0.43072646]]
49,1929,[[0.43386399]]
50,2005,[[0.49635851]]
51,1996,[[0.42742294]]
52,1911,[[0.40897818]]
53,1933,[[0.32812132]]
54,1982,[[0.3949922]]
55,1904,[[0.40295418]]
56,1964,[[0.3896995]]
57,1941,[[0.33806115]]
58,1979,[[0.40568179]]
59,1907,[[0.45290387]]
60,1992,[[0.40082603]]
61,1926,[[0.41533187]]
62,1976,[[0.39911307]]
63,1986,[[0.42241441]]
64,1957,[[0.37215738]]
65,1947,[[0.40192234]]
66,1920,[[0.36595532]]
67,1968,[[0.40395603]]
68,1946,[[0.45021167]]
69,1961,[[0.43862666]]
70,2002,[[0.46525946]]
71,1932,[[0.37248392]]
72,1980,[[0.40324143]]
73,1977,[[0.38619841]]
74,1902,[[0.38897833]]
75,1931,[[0.42753186]]
76,2007,[[0.45044634]]
77,1918,[[0.38613766]]
78,1990,[[0.37204071]]
79,1939,[[0.31574844]]
80,1925,[[0.40234877]]
81,1910,[[0.3469633]]
82,1944,[[0.38902784]]
83,1940,[[0.41338165]]
84,1945,[[0.36221019]]
85,1969,[[0.4109165]]
86,1973,[[0.3796008]]
87,2003,[[0.45589832]]
88,1959,[[0.43636999]]
89,1966,[[0.40818581]]
90,1915,[[0.40916838]]
91,1942,[[0.3640072]]
92,1951,[[0.41985222]]
93,1901,[[0.3750694]]
94,1930,[[0.44986354]]
95,1967,[[0.40765765]]
96,1963,[[0.43101172]]
97,1981,[[0.36683243]]
98,1938,[[0.36468391]]
99,1974,[[0.31862743]]
100,2000,[[0.44996489]]
101,1950,[[0.45385391]]
102,1927,[[0.34297143]]
103,1937,[[0.41532117]]
104,1936,[[0.36847031]]
105,2008,[[0.46215225]]
106,1965,[[0.40000982]]
107,1909,[[0.40105934]]
108,1988,[[0.43391724]]
109,1953,[[0.37039459]]
