,year,cosine_similarity
0,1985,[[0.62024182]]
1,1943,[[0.5845276]]
2,1993,[[0.57984478]]
3,1995,[[0.59295021]]
4,1958,[[0.5096634]]
5,1983,[[0.59794676]]
6,1919,[[0.59716834]]
7,1975,[[0.54638172]]
8,1960,[[0.58711959]]
9,1922,[[0.64573635]]
10,1928,[[0.60336381]]
11,2006,[[0.65150168]]
12,1972,[[0.58283659]]
13,1908,[[0.60308168]]
14,1916,[[0.57993263]]
15,1913,[[0.61211713]]
16,1987,[[0.57506117]]
17,1971,[[0.5689008]]
18,1906,[[0.49813766]]
19,1924,[[0.60416917]]
20,1955,[[0.56353106]]
21,1954,[[0.58821325]]
22,1956,[[0.61063473]]
23,1900,[[0.60906271]]
24,1948,[[0.61473377]]
25,2004,[[0.61486528]]
26,1978,[[0.52410584]]
27,1999,[[0.58202827]]
28,1998,[[0.61645684]]
29,1934,[[0.5887089]]
30,1997,[[0.58349291]]
31,2001,[[0.61555939]]
32,1991,[[0.62653185]]
33,1903,[[0.5669421]]
34,1962,[[0.61741801]]
35,1970,[[0.51853358]]
36,1921,[[0.65065362]]
37,1917,[[0.57749698]]
38,1923,[[0.60004827]]
39,1949,[[0.60687425]]
40,1905,[[0.59986824]]
41,1914,[[0.58874285]]
42,2009,[[0.58901016]]
43,1912,[[0.63394288]]
44,1994,[[0.58738314]]
45,1935,[[0.58897717]]
46,1984,[[0.58843204]]
47,1952,[[0.62923022]]
48,1989,[[0.58987645]]
49,1929,[[0.63988278]]
50,2005,[[0.62692287]]
51,1996,[[0.6093813]]
52,1911,[[0.56859987]]
53,1933,[[0.60291009]]
54,1982,[[0.55444267]]
55,1904,[[0.57073559]]
56,1964,[[0.59652781]]
57,1941,[[0.51653741]]
58,1979,[[0.60257902]]
59,1907,[[0.544195]]
60,1992,[[0.55888528]]
61,1926,[[0.62637749]]
62,1976,[[0.56445025]]
63,1986,[[0.5934544]]
64,1957,[[0.5866586]]
65,1947,[[0.61791147]]
66,1920,[[0.57056939]]
67,1968,[[0.59640405]]
68,1946,[[0.64644037]]
69,1961,[[0.63324456]]
70,2002,[[0.64295467]]
71,1932,[[0.60719564]]
72,1980,[[0.60808472]]
73,1977,[[0.5600615]]
74,1902,[[0.53054813]]
75,1931,[[0.65672468]]
76,2007,[[0.58998404]]
77,1918,[[0.60363628]]
78,1990,[[0.61492606]]
79,1939,[[0.59004701]]
80,1925,[[0.61535536]]
81,1910,[[0.5578993]]
82,1944,[[0.47823658]]
83,1940,[[0.57730734]]
84,1945,[[0.55456508]]
85,1969,[[0.55021443]]
86,1973,[[0.58659046]]
87,2003,[[0.62936001]]
88,1959,[[0.60685469]]
89,1966,[[0.55116855]]
90,1915,[[0.62564551]]
91,1942,[[0.44902252]]
92,1951,[[0.63542102]]
93,1901,[[0.42904059]]
94,1930,[[0.63018301]]
95,1967,[[0.61349268]]
96,1963,[[0.55849874]]
97,1981,[[0.56349095]]
98,1938,[[0.61177679]]
99,1974,[[0.57794585]]
100,2000,[[0.61258687]]
101,1950,[[0.61760658]]
102,1927,[[0.59990841]]
103,1937,[[0.58084212]]
104,1936,[[0.5544746]]
105,2008,[[0.59873372]]
106,1965,[[0.58853257]]
107,1909,[[0.58578]]
108,1988,[[0.62503643]]
109,1953,[[0.57743433]]
