,year,words
0,1985,"['mwSt', nan, nan]"
1,1943,"['umweltschutz', 'mwSt', nan, nan]"
2,1993,"['mwSt', nan, nan]"
3,1995,"['mwSt', nan, nan]"
4,1958,"['umweltschutz', 'mwSt', nan, nan]"
5,1983,"['mwSt', nan, nan]"
6,1919,"['umweltschutz', 'mwSt', nan, nan]"
7,1975,"['mwSt', nan, nan]"
8,1960,"['umweltschutz', 'mwSt', nan, nan]"
9,1922,"['umweltschutz', 'mwSt', nan, nan]"
10,1928,"['umweltschutz', 'mwSt', nan, nan]"
11,2006,"['mwSt', nan, nan]"
12,1972,"['mwSt', nan, nan]"
13,1908,"['umweltschutz', 'mwSt', nan, nan]"
14,1916,"['umweltschutz', 'mwSt', nan, nan]"
15,1913,"['umweltschutz', 'mwSt', nan, nan]"
16,1987,"['mwSt', nan, nan]"
17,1971,"['mwSt', nan, nan]"
18,1906,"['umweltschutz', 'mwSt', nan, nan]"
19,1924,"['umweltschutz', 'mwSt', nan, nan]"
20,1955,"['umweltschutz', 'mwSt', nan, nan]"
21,1954,"['umweltschutz', 'mwSt', nan, nan]"
22,1956,"['umweltschutz', 'mwSt', nan, nan]"
23,1900,"['umweltschutz', 'mwSt', nan, nan]"
24,1948,"['umweltschutz', 'mwSt', nan, nan]"
25,2004,"['mwSt', nan, nan]"
26,1978,"['mwSt', nan, nan]"
27,1999,"['mwSt', nan, nan]"
28,1998,"['mwSt', nan, nan]"
29,1934,"['umweltschutz', 'mwSt', nan, nan]"
30,1997,"['mwSt', nan, nan]"
31,2001,"['mwSt', nan, nan]"
32,1991,"['mwSt', nan, nan]"
33,1903,"['umweltschutz', 'mwSt', nan, nan]"
34,1962,"['umweltschutz', 'mwSt', nan, nan]"
35,1970,"['umweltschutz', 'mwSt', nan, nan]"
36,1921,"['umweltschutz', 'mwSt', nan, nan]"
37,1917,"['umweltschutz', 'mwSt', nan, nan]"
38,1923,"['umweltschutz', 'mwSt', nan, nan]"
39,1949,"['umweltschutz', 'mwSt', nan, nan]"
40,1905,"['umweltschutz', 'mwSt', nan, nan]"
41,1914,"['umweltschutz', 'mwSt', nan, nan]"
42,2009,"['mwSt', nan, nan]"
43,1912,"['umweltschutz', 'mwSt', nan, nan]"
44,1994,"['mwSt', nan, nan]"
45,1935,"['umweltschutz', 'mwSt', nan, nan]"
46,1984,"['mwSt', nan, nan]"
47,1952,"['umweltschutz', 'mwSt', nan, nan]"
48,1989,"['mwSt', nan, nan]"
49,1929,"['umweltschutz', 'mwSt', nan, nan]"
50,2005,"['mwSt', nan, nan]"
51,1996,"['mwSt', nan, nan]"
52,1911,"['umweltschutz', 'mwSt', nan, nan]"
53,1933,"['umweltschutz', 'mwSt', nan, nan]"
54,1982,"['mwSt', nan, nan]"
55,1904,"['umweltschutz', 'mwSt', nan, nan]"
56,1964,"['umweltschutz', 'mwSt', nan, nan]"
57,1941,"['umweltschutz', 'mwSt', nan, nan]"
58,1979,"['mwSt', nan, nan]"
59,1907,"['umweltschutz', 'mwSt', nan, nan]"
60,1992,"['mwSt', nan, nan]"
61,1926,"['umweltschutz', 'mwSt', nan, nan]"
62,1976,"['mwSt', nan, nan]"
63,1986,"['mwSt', nan, nan]"
64,1957,"['umweltschutz', 'mwSt', nan, nan]"
65,1947,"['umweltschutz', 'mwSt', nan, nan]"
66,1920,"['umweltschutz', 'mwSt', nan, nan]"
67,1968,"['umweltschutz', 'mwSt', nan, nan]"
68,1946,"['umweltschutz', 'mwSt', nan, nan]"
69,1961,"['umweltschutz', 'mwSt', nan, nan]"
70,2002,"['mwSt', nan, nan]"
71,1932,"['umweltschutz', 'mwSt', nan, nan]"
72,1980,"['mwSt', nan, nan]"
73,1977,"['mwSt', nan, nan]"
74,1902,"['umweltschutz', 'mwSt', nan, nan]"
75,1931,"['umweltschutz', 'mwSt', nan, nan]"
76,2007,"['mwSt', nan, nan]"
77,1918,"['umweltschutz', 'mwSt', nan, nan]"
78,1990,"['mwSt', nan, nan]"
79,1939,"['umweltschutz', 'mwSt', nan, nan]"
80,1925,"['umweltschutz', 'mwSt', nan, nan]"
81,1910,"['umweltschutz', 'mwSt', nan, nan]"
82,1944,"['umweltschutz', 'mwSt', nan, nan]"
83,1940,"['umweltschutz', 'mwSt', nan, nan]"
84,1945,"['umweltschutz', 'mwSt', nan, nan]"
85,1969,"['umweltschutz', 'mwSt', nan, nan]"
86,1973,"['mwSt', nan, nan]"
87,2003,"['mwSt', nan, nan]"
88,1959,"['umweltschutz', 'mwSt', nan, nan]"
89,1966,"['umweltschutz', 'mwSt', nan, nan]"
90,1915,"['umweltschutz', 'mwSt', nan, nan]"
91,1942,"['umweltschutz', 'mwSt', nan, nan]"
92,1951,"['umweltschutz', 'mwSt', nan, nan]"
93,1901,"['umweltschutz', 'mwSt', nan, nan]"
94,1930,"['umweltschutz', 'mwSt', nan, nan]"
95,1967,"['umweltschutz', 'mwSt', nan, nan]"
96,1963,"['umweltschutz', 'mwSt', nan, nan]"
97,1981,"['mwSt', nan, nan]"
98,1938,"['umweltschutz', 'mwSt', nan, nan]"
99,1974,"['mwSt', nan, nan]"
100,2000,"['mwSt', nan, nan]"
101,1950,"['umweltschutz', 'mwSt', nan, nan]"
102,1927,"['umweltschutz', 'mwSt', nan, nan]"
103,1937,"['umweltschutz', 'mwSt', nan, nan]"
