,year,cosine_similarity
0,1985,[[0.43547619]]
1,1943,[[0.24491572]]
2,1993,[[0.35567565]]
3,1995,[[0.35656936]]
4,1958,[[0.33284183]]
5,1983,[[0.33602085]]
6,1919,[[0.34075823]]
7,1975,[[0.36086705]]
8,1960,[[0.37170594]]
9,1922,[[0.31426082]]
10,1928,[[0.37602048]]
11,2006,[[0.43682701]]
12,1972,[[0.43220416]]
13,1908,[[0.36216315]]
14,1916,[[0.32749385]]
15,1913,[[0.49255858]]
16,1987,[[0.39362694]]
17,1971,[[0.39407878]]
18,1906,[[0.36531454]]
19,1924,[[0.40299707]]
20,1955,[[0.37260049]]
21,1954,[[0.30031021]]
22,1956,[[0.36829887]]
23,1900,[[0.36289939]]
24,1948,[[0.36344897]]
25,2004,[[0.38728019]]
26,1978,[[0.4201604]]
27,1999,[[0.42069357]]
28,1998,[[0.42546722]]
29,1934,[[0.32165762]]
30,1997,[[0.40896348]]
31,2001,[[0.42724309]]
32,1991,[[0.41439823]]
33,1903,[[0.41322854]]
34,1962,[[0.35490923]]
35,1970,[[0.43991693]]
36,1921,[[0.37738407]]
37,1917,[[0.34551604]]
38,1923,[[0.26703042]]
39,1949,[[0.37432953]]
40,1905,[[0.41117454]]
41,1914,[[0.38440725]]
42,2009,[[0.43599605]]
43,1912,[[0.41008429]]
44,1994,[[0.38284208]]
45,1935,[[0.40305186]]
46,1984,[[0.36161402]]
47,1952,[[0.43823866]]
48,1989,[[0.35625965]]
49,1929,[[0.39128092]]
50,2005,[[0.46151971]]
51,1996,[[0.39809516]]
52,1911,[[0.48134236]]
53,1933,[[0.32242751]]
54,1982,[[0.39301604]]
55,1904,[[0.35565922]]
56,1964,[[0.38996039]]
57,1941,[[0.31324059]]
58,1979,[[0.43993931]]
59,1907,[[0.37161654]]
60,1992,[[0.38517385]]
61,1926,[[0.35429233]]
62,1976,[[0.36735609]]
63,1986,[[0.38823969]]
64,1957,[[0.34966123]]
65,1947,[[0.35851836]]
66,1920,[[0.32053091]]
67,1968,[[0.43143476]]
68,1946,[[0.3641895]]
69,1961,[[0.4157994]]
70,2002,[[0.40473853]]
71,1932,[[0.40194834]]
72,1980,[[0.37070475]]
73,1977,[[0.34094843]]
74,1902,[[0.41056535]]
75,1931,[[0.39477883]]
76,2007,[[0.37955537]]
77,1918,[[0.3809636]]
78,1990,[[0.31867309]]
79,1939,[[0.3864605]]
80,1925,[[0.31068517]]
81,1910,[[0.35581504]]
82,1944,[[0.29386808]]
83,1940,[[0.3024479]]
84,1945,[[0.35167446]]
85,1969,[[0.35718204]]
86,1973,[[0.43942836]]
87,2003,[[0.39561161]]
88,1959,[[0.43782572]]
89,1966,[[0.37585818]]
90,1915,[[0.30305282]]
91,1942,[[0.24148594]]
92,1951,[[0.26225729]]
93,1901,[[0.30754919]]
94,1930,[[0.45799134]]
95,1967,[[0.41045387]]
96,1963,[[0.37816666]]
97,1981,[[0.40309867]]
98,1938,[[0.34014642]]
99,1974,[[0.36804884]]
100,2000,[[0.43907103]]
101,1950,[[0.37208269]]
102,1927,[[0.43664434]]
103,1937,[[0.309548]]
104,1936,[[0.36556834]]
105,2008,[[0.36757742]]
106,1965,[[0.35985783]]
107,1909,[[0.47580927]]
108,1988,[[0.4199012]]
109,1953,[[0.42086621]]
