,year,words
0,1985,"['in entwicklung', 'bärisch', nan, nan]"
1,1943,"['in entwicklung', 'stagnation', 'rezession', 'bärisch', nan, nan]"
2,1993,"['in entwicklung', 'bärisch', nan, nan]"
3,1995,"['in entwicklung', 'bärisch', nan, nan]"
4,1958,"['in entwicklung', 'rezession', 'bärisch', nan, nan]"
5,1983,"['in entwicklung', 'bärisch', nan, nan]"
6,1919,"['in entwicklung', 'rezession', 'bärisch', nan, nan]"
7,1975,"['in entwicklung', 'bärisch', nan, nan]"
8,1960,"['in entwicklung', 'rezession', 'bärisch', nan, nan]"
9,1922,"['in entwicklung', 'stagnation', 'rezession', 'bärisch', nan, nan]"
10,1928,"['in entwicklung', 'rezession', 'bärisch', nan, nan]"
11,2006,"['in entwicklung', 'bärisch', nan, nan]"
12,1972,"['in entwicklung', 'bärisch', nan, nan]"
13,1908,"['in entwicklung', 'rezession', 'bärisch', nan, nan]"
14,1916,"['in entwicklung', 'stagnation', 'rezession', 'bärisch', nan, nan]"
15,1913,"['in entwicklung', 'rezession', 'bärisch', nan, nan]"
16,1987,"['in entwicklung', 'bärisch', nan, nan]"
17,1971,"['in entwicklung', 'bärisch', nan, nan]"
18,1906,"['in entwicklung', 'stagnation', 'rezession', 'bärisch', nan, nan]"
19,1924,"['in entwicklung', 'rezession', 'bärisch', nan, nan]"
20,1955,"['in entwicklung', 'rezession', 'bärisch', nan, nan]"
21,1954,"['in entwicklung', 'rezession', 'bärisch', nan, nan]"
22,1956,"['in entwicklung', 'rezession', 'bärisch', nan, nan]"
23,1900,"['in entwicklung', 'stagnation', 'rezession', 'bärisch', nan, nan]"
24,1948,"['in entwicklung', 'rezession', 'bärisch', nan, nan]"
25,2004,"['in entwicklung', 'bärisch', nan, nan]"
26,1978,"['in entwicklung', 'bärisch', nan, nan]"
27,1999,"['in entwicklung', 'bärisch', nan, nan]"
28,1998,"['in entwicklung', 'bärisch', nan, nan]"
29,1934,"['in entwicklung', 'stagnation', 'rezession', 'bärisch', nan, nan]"
30,1997,"['in entwicklung', 'bärisch', nan, nan]"
31,2001,"['in entwicklung', 'bärisch', nan, nan]"
32,1991,"['in entwicklung', 'bärisch', nan, nan]"
33,1903,"['in entwicklung', 'stagnation', 'rezession', 'bärisch', nan, nan]"
34,1962,"['in entwicklung', 'rezession', 'bärisch', nan, nan]"
35,1970,"['in entwicklung', 'bärisch', nan, nan]"
36,1921,"['in entwicklung', 'stagnation', 'rezession', 'bärisch', nan, nan]"
37,1917,"['in entwicklung', 'stagnation', 'rezession', 'bärisch', nan, nan]"
38,1923,"['in entwicklung', 'stagnation', 'rezession', 'bärisch', nan, nan]"
39,1949,"['in entwicklung', 'rezession', 'bärisch', nan, nan]"
40,1905,"['in entwicklung', 'stagnation', 'rezession', 'bärisch', nan, nan]"
41,1914,"['in entwicklung', 'stagnation', 'rezession', 'bärisch', nan, nan]"
