,year,cosine_similarity
0,1985,[[0.53123675]]
1,1943,[[0.44848129]]
2,1993,[[0.54016235]]
3,1995,[[0.55255626]]
4,1958,[[0.49813592]]
5,1983,[[0.47766128]]
6,1919,[[0.53489646]]
7,1975,[[0.54433966]]
8,1960,[[0.53866277]]
9,1922,[[0.47948411]]
10,1928,[[0.47883682]]
11,2006,[[0.5466038]]
12,1972,[[0.52824746]]
13,1908,[[0.31618794]]
14,1916,[[0.47744631]]
15,1913,[[0.5148434]]
16,1987,[[0.47801936]]
17,1971,[[0.48650352]]
18,1906,[[0.51587846]]
19,1924,[[0.50392366]]
20,1955,[[0.51986806]]
21,1954,[[0.51392682]]
22,1956,[[0.49402716]]
23,1900,[[0.50775005]]
24,1948,[[0.51332523]]
25,2004,[[0.57394707]]
26,1978,[[0.48351639]]
27,1999,[[0.51733558]]
28,1998,[[0.55776384]]
29,1934,[[0.46364989]]
30,1997,[[0.52540095]]
31,2001,[[0.51039124]]
32,1991,[[0.52620022]]
33,1903,[[0.53762053]]
34,1962,[[0.51403494]]
35,1970,[[0.46656709]]
36,1921,[[0.47806962]]
37,1917,[[0.4366167]]
38,1923,[[0.42904631]]
39,1949,[[0.49716878]]
40,1905,[[0.47760549]]
41,1914,[[0.51510197]]
42,2009,[[0.55969408]]
43,1912,[[0.44685911]]
44,1994,[[0.54033453]]
45,1935,[[0.46903598]]
46,1984,[[0.52582583]]
47,1952,[[0.53414172]]
48,1989,[[0.56711763]]
49,1929,[[0.49165491]]
50,2005,[[0.52819479]]
51,1996,[[0.50000946]]
52,1911,[[0.50032699]]
53,1933,[[0.42899013]]
54,1982,[[0.56307472]]
55,1904,[[0.3295861]]
56,1964,[[0.53206036]]
57,1941,[[0.46567721]]
58,1979,[[0.46373157]]
59,1907,[[0.52745518]]
60,1992,[[0.55797496]]
61,1926,[[0.48968673]]
62,1976,[[0.50000941]]
63,1986,[[0.49389606]]
64,1957,[[0.49349598]]
65,1947,[[0.49437055]]
66,1920,[[0.50635114]]
67,1968,[[0.55471859]]
68,1946,[[0.50409374]]
69,1961,[[0.50856856]]
70,2002,[[0.50033428]]
71,1932,[[0.43551821]]
72,1980,[[0.53286848]]
73,1977,[[0.51063294]]
74,1902,[[0.44394181]]
75,1931,[[0.5168635]]
76,2007,[[0.52393128]]
77,1918,[[0.45217026]]
78,1990,[[0.50487536]]
79,1939,[[0.38145445]]
80,1925,[[0.45842147]]
81,1910,[[0.49684983]]
82,1944,[[0.43156211]]
83,1940,[[0.47497138]]
84,1945,[[0.45466661]]
85,1969,[[0.5189985]]
86,1973,[[0.49135165]]
87,2003,[[0.52546935]]
88,1959,[[0.51080837]]
89,1966,[[0.511899]]
90,1915,[[0.52074576]]
91,1942,[[0.51729388]]
92,1951,[[0.51248538]]
93,1901,[[0.43290008]]
94,1930,[[0.55292948]]
95,1967,[[0.51854206]]
96,1963,[[0.5210002]]
97,1981,[[0.47594974]]
98,1938,[[0.47175151]]
99,1974,[[0.49271446]]
100,2000,[[0.50243821]]
101,1950,[[0.48321435]]
102,1927,[[0.47074343]]
103,1937,[[0.53815279]]
104,1936,[[0.4478755]]
105,2008,[[0.54221322]]
106,1965,[[0.52045788]]
107,1909,[[0.50726862]]
108,1988,[[0.54772672]]
109,1953,[[0.53254865]]
