,year,words
0,1943,"['burocrazia', 'autoritario']"
1,1919,['autoritario']
2,1922,['autoritario']
3,1928,['autoritario']
4,1908,"['burocrazia', 'autoritario']"
5,1916,"['autoritario', 'comunismo']"
6,1913,['autoritario']
7,1906,['autoritario']
8,1924,['autoritario']
9,1955,['autoritario']
10,1954,['autoritario']
11,1900,['autoritario']
12,1903,['autoritario']
13,1921,['autoritario']
14,1917,"['autoritario', 'comunismo']"
15,1923,['autoritario']
16,1949,['autoritario']
17,1905,['autoritario']
18,1914,['autoritario']
19,1912,['autoritario']
20,1935,['autoritario']
21,1952,['autoritario']
22,1929,['autoritario']
23,1911,['autoritario']
24,1933,['autoritario']
25,1904,"['burocrazia', 'autoritario']"
26,1907,['autoritario']
27,1926,['autoritario']
28,1957,['autoritario']
29,1947,['autoritario']
30,1920,['autoritario']
31,1932,['autoritario']
32,1902,"['burocrazia', 'autoritario']"
33,1931,['autoritario']
34,1918,['autoritario']
35,1939,"['burocrazia', 'autoritario']"
36,1925,['autoritario']
37,1910,['autoritario']
38,1944,['autoritario']
39,1915,['autoritario']
40,1942,['autoritario']
41,1951,['autoritario']
42,1901,"['autoritario', 'comunismo']"
43,1930,['autoritario']
44,1938,['autoritario']
45,1950,['autoritario']
46,1927,['autoritario']
47,1937,['autoritario']
48,1936,['autoritario']
49,1909,['autoritario']
50,1953,['autoritario']
