,year,cosine_similarity
0,1985,[[0.55294211]]
1,1943,[[0.56831666]]
2,1993,[[0.53206512]]
3,1995,[[0.5797935]]
4,1958,[[0.51011898]]
5,1983,[[0.55965932]]
6,1919,[[0.44564506]]
7,1975,[[0.56337032]]
8,1960,[[0.47214804]]
9,1922,[[0.51506857]]
10,1928,[[0.54868299]]
11,2006,[[0.56511225]]
12,1972,[[0.51577191]]
13,1908,[[0.44906806]]
14,1916,[[0.51969484]]
15,1913,[[0.5787716]]
16,1987,[[0.58078776]]
17,1971,[[0.57256267]]
18,1906,[[0.50491835]]
19,1924,[[0.50108291]]
20,1955,[[0.52776314]]
21,1954,[[0.53108116]]
22,1956,[[0.48401947]]
23,1900,[[0.58809053]]
24,1948,[[0.526833]]
25,2004,[[0.61162277]]
26,1978,[[0.5804733]]
27,1999,[[0.60237356]]
28,1998,[[0.59366965]]
29,1934,[[0.52756854]]
30,1997,[[0.56923418]]
31,2001,[[0.60628268]]
32,1991,[[0.58953171]]
33,1903,[[0.56059346]]
34,1962,[[0.43921407]]
35,1970,[[0.57418244]]
36,1921,[[0.52269907]]
37,1917,[[0.52774777]]
38,1923,[[0.55981525]]
39,1949,[[0.500452]]
40,1905,[[0.51936175]]
41,1914,[[0.54252444]]
42,2009,[[0.61957861]]
43,1912,[[0.54970128]]
44,1994,[[0.57915552]]
45,1935,[[0.48316993]]
46,1984,[[0.57365]]
47,1952,[[0.51684132]]
48,1989,[[0.55066172]]
49,1929,[[0.5852491]]
50,2005,[[0.56723993]]
51,1996,[[0.6401787]]
52,1911,[[0.54013215]]
53,1933,[[0.4732417]]
54,1982,[[0.58791774]]
55,1904,[[0.51754529]]
56,1964,[[0.54956024]]
57,1941,[[0.48388312]]
58,1979,[[0.53770822]]
59,1907,[[0.52006943]]
60,1992,[[0.56979243]]
61,1926,[[0.42608323]]
62,1976,[[0.56742803]]
63,1986,[[0.56554644]]
64,1957,[[0.54596241]]
65,1947,[[0.53505661]]
66,1920,[[0.49200624]]
67,1968,[[0.55172256]]
68,1946,[[0.51918721]]
69,1961,[[0.51538462]]
70,2002,[[0.5889316]]
71,1932,[[0.58470815]]
72,1980,[[0.53736336]]
73,1977,[[0.56322055]]
74,1902,[[0.50456128]]
75,1931,[[0.48210072]]
76,2007,[[0.57349824]]
77,1918,[[0.44768624]]
78,1990,[[0.58574673]]
79,1939,[[0.45477402]]
80,1925,[[0.48521427]]
81,1910,[[0.55911871]]
82,1944,[[0.45143438]]
83,1940,[[0.56145422]]
84,1945,[[0.45307112]]
85,1969,[[0.5375302]]
86,1973,[[0.54185694]]
87,2003,[[0.58355621]]
88,1959,[[0.53154039]]
89,1966,[[0.55826836]]
90,1915,[[0.52858625]]
91,1942,[[0.51947608]]
92,1951,[[0.52660027]]
93,1901,[[0.49855744]]
94,1930,[[0.55100457]]
95,1967,[[0.55830123]]
96,1963,[[0.50140066]]
97,1981,[[0.57145208]]
98,1938,[[0.51111598]]
99,1974,[[0.56372424]]
100,2000,[[0.54308617]]
101,1950,[[0.48872187]]
102,1927,[[0.48122357]]
103,1937,[[0.59069006]]
104,1936,[[0.51136709]]
105,2008,[[0.59365621]]
106,1965,[[0.53672472]]
107,1909,[[0.38558046]]
108,1988,[[0.58774631]]
109,1953,[[0.49607336]]
