,year,words
0,1985,"['anarchismo', 'libertarismo']"
1,1943,"['anarchismo', 'libertarismo', 'federalismo', 'pluralismo']"
2,1993,['libertarismo']
3,1995,"['anarchismo', 'libertarismo']"
4,1958,"['anarchismo', 'libertarismo', 'federalismo']"
5,1983,['libertarismo']
6,1919,"['anarchismo', 'libertarismo', 'federalismo', 'individualismo', 'pluralismo']"
7,1975,"['anarchismo', 'libertarismo', 'federalismo']"
8,1960,"['anarchismo', 'libertarismo', 'federalismo', 'pluralismo']"
9,1922,"['anarchismo', 'libertarismo', 'federalismo', 'pluralismo']"
10,1928,"['anarchismo', 'libertarismo', 'federalismo', 'individualismo', 'pluralismo']"
11,2006,['libertarismo']
12,1972,"['anarchismo', 'libertarismo', 'federalismo']"
13,1908,"['anarchismo', 'libertarismo', 'federalismo', 'pluralismo']"
14,1916,"['anarchismo', 'libertarismo', 'federalismo', 'pluralismo']"
15,1913,"['anarchismo', 'libertarismo', 'federalismo', 'pluralismo']"
16,1987,['libertarismo']
17,1971,"['libertarismo', 'federalismo']"
18,1906,"['anarchismo', 'libertarismo', 'federalismo', 'pluralismo']"
19,1924,"['anarchismo', 'libertarismo', 'federalismo', 'pluralismo']"
20,1955,"['anarchismo', 'libertarismo', 'federalismo', 'pluralismo']"
21,1954,"['anarchismo', 'libertarismo', 'federalismo', 'pluralismo']"
22,1956,"['anarchismo', 'libertarismo', 'federalismo', 'individualismo', 'pluralismo']"
23,1900,"['anarchismo', 'libertarismo', 'federalismo', 'pluralismo']"
24,1948,"['anarchismo', 'libertarismo', 'federalismo', 'pluralismo']"
25,2004,['libertarismo']
26,1978,['libertarismo']
27,1999,['libertarismo']
28,1998,"['anarchismo', 'libertarismo']"
29,1934,"['anarchismo', 'libertarismo', 'federalismo', 'pluralismo']"
30,1997,"['anarchismo', 'libertarismo']"
31,2001,['libertarismo']
32,1991,['libertarismo']
33,1903,"['anarchismo', 'libertarismo', 'federalismo', 'pluralismo']"
34,1962,"['anarchismo', 'libertarismo', 'federalismo', 'pluralismo']"
35,1970,['libertarismo']
36,1921,"['anarchismo', 'libertarismo', 'federalismo', 'pluralismo']"
37,1917,"['anarchismo', 'libertarismo', 'federalismo', 'pluralismo']"
38,1923,"['anarchismo', 'libertarismo', 'federalismo', 'pluralismo']"
39,1949,"['anarchismo', 'libertarismo']"
40,1905,"['anarchismo', 'libertarismo', 'federalismo', 'pluralismo']"
41,1914,"['anarchismo', 'libertarismo', 'federalismo', 'pluralismo']"
42,2009,"['anarchismo', 'libertarismo']"
43,1912,"['anarchismo', 'libertarismo', 'federalismo', 'pluralismo']"
44,1994,['libertarismo']
45,1935,"['anarchismo', 'libertarismo', 'federalismo', 'pluralismo']"
46,1984,"['libertarismo', 'individualismo']"
47,1952,"['anarchismo', 'libertarismo', 'federalismo', 'pluralismo']"
48,1989,"['anarchismo', 'libertarismo']"
49,1929,"['anarchismo', 'libertarismo', 'federalismo', 'pluralismo']"
50,2005,"['anarchismo', 'libertarismo']"
51,1996,['libertarismo']
52,1911,"['anarchismo', 'libertarismo', 'federalismo']"
53,1933,"['anarchismo', 'libertarismo', 'federalismo', 'pluralismo']"
54,1982,['libertarismo']
55,1904,"['anarchismo', 'libertarismo', 'federalismo', 'pluralismo']"
56,1964,"['anarchismo', 'libertarismo', 'federalismo', 'individualismo']"
57,1941,"['anarchismo', 'libertarismo', 'federalismo', 'pluralismo']"
58,1979,"['libertarismo', 'individualismo']"
59,1907,"['anarchismo', 'libertarismo', 'pluralismo']"
60,1992,"['libertarismo', 'individualismo']"
61,1926,"['anarchismo', 'libertarismo', 'federalismo', 'individualismo', 'pluralismo']"
62,1976,"['libertarismo', 'federalismo']"
63,1986,['libertarismo']
64,1957,"['anarchismo', 'libertarismo', 'federalismo', 'pluralismo']"
65,1947,"['libertarismo', 'federalismo', 'pluralismo']"
66,1920,"['anarchismo', 'libertarismo', 'pluralismo']"
67,1968,"['anarchismo', 'libertarismo', 'federalismo']"
68,1946,"['anarchismo', 'libertarismo', 'pluralismo']"
69,1961,"['anarchismo', 'libertarismo', 'federalismo']"
70,2002,['libertarismo']
71,1932,"['anarchismo', 'libertarismo', 'federalismo', 'pluralismo']"
72,1980,"['anarchismo', 'libertarismo']"
73,1977,"['anarchismo', 'libertarismo', 'federalismo']"
74,1902,"['anarchismo', 'libertarismo', 'federalismo', 'pluralismo']"
75,1931,"['anarchismo', 'libertarismo', 'federalismo', 'individualismo', 'pluralismo']"
76,2007,"['anarchismo', 'libertarismo']"
77,1918,"['anarchismo', 'libertarismo', 'federalismo', 'individualismo', 'pluralismo']"
78,1990,['libertarismo']
79,1939,"['anarchismo', 'libertarismo', 'federalismo', 'individualismo', 'pluralismo']"
80,1925,"['anarchismo', 'libertarismo', 'federalismo']"
81,1910,"['anarchismo', 'libertarismo', 'federalismo', 'pluralismo']"
82,1944,"['anarchismo', 'libertarismo', 'federalismo', 'pluralismo']"
83,1940,"['anarchismo', 'libertarismo', 'federalismo', 'pluralismo']"
84,1945,"['anarchismo', 'libertarismo', 'individualismo', 'pluralismo']"
85,1969,"['anarchismo', 'libertarismo', 'federalismo']"
86,1973,"['anarchismo', 'libertarismo']"
87,2003,['libertarismo']
88,1959,"['anarchismo', 'libertarismo', 'individualismo', 'pluralismo']"
89,1966,"['anarchismo', 'libertarismo', 'federalismo', 'pluralismo']"
90,1915,"['anarchismo', 'libertarismo', 'federalismo', 'individualismo', 'pluralismo']"
91,1942,"['anarchismo', 'libertarismo', 'federalismo', 'pluralismo']"
92,1951,"['anarchismo', 'libertarismo', 'federalismo', 'pluralismo']"
93,1901,"['anarchismo', 'libertarismo', 'pluralismo']"
94,1930,"['anarchismo', 'libertarismo', 'federalismo', 'pluralismo']"
95,1967,"['anarchismo', 'libertarismo', 'federalismo']"
96,1963,"['anarchismo', 'libertarismo', 'federalismo', 'pluralismo']"
97,1981,['libertarismo']
98,1938,"['anarchismo', 'libertarismo', 'federalismo', 'pluralismo']"
99,1974,"['libertarismo', 'federalismo']"
100,2000,"['anarchismo', 'libertarismo']"
101,1950,"['anarchismo', 'libertarismo', 'federalismo', 'pluralismo']"
102,1927,"['anarchismo', 'libertarismo', 'federalismo', 'individualismo', 'pluralismo']"
103,1937,"['anarchismo', 'libertarismo', 'federalismo', 'pluralismo']"
104,1936,"['anarchismo', 'libertarismo', 'federalismo', 'pluralismo']"
105,2008,['libertarismo']
106,1965,"['anarchismo', 'libertarismo', 'federalismo', 'individualismo', 'pluralismo']"
107,1909,"['anarchismo', 'libertarismo', 'liberalismo', 'federalismo', 'pluralismo']"
108,1988,['libertarismo']
109,1953,"['anarchismo', 'libertarismo', 'federalismo', 'pluralismo']"
