,year,cosine_similarity
0,1985,[[0.50576446]]
1,1943,[[0.47350362]]
2,1993,[[0.5001186]]
3,1995,[[0.51517196]]
4,1958,[[0.45885792]]
5,1983,[[0.49245557]]
6,1919,[[0.41383079]]
7,1975,[[0.4936515]]
8,1960,[[0.42655032]]
9,1922,[[0.47050292]]
10,1928,[[0.45295127]]
11,2006,[[0.49246773]]
12,1972,[[0.49514273]]
13,1908,[[0.45863896]]
14,1916,[[0.41051751]]
15,1913,[[0.48360682]]
16,1987,[[0.55651213]]
17,1971,[[0.48109705]]
18,1906,[[0.45225384]]
19,1924,[[0.4093586]]
20,1955,[[0.47491191]]
21,1954,[[0.5069534]]
22,1956,[[0.38418506]]
23,1900,[[0.4409714]]
24,1948,[[0.48940841]]
25,2004,[[0.53522856]]
26,1978,[[0.46473116]]
27,1999,[[0.46070004]]
28,1998,[[0.51022518]]
29,1934,[[0.45438638]]
30,1997,[[0.49432391]]
31,2001,[[0.52706147]]
32,1991,[[0.51901256]]
33,1903,[[0.49442871]]
34,1962,[[0.43590141]]
35,1970,[[0.46731602]]
36,1921,[[0.40028816]]
37,1917,[[0.49956858]]
38,1923,[[0.45524739]]
39,1949,[[0.51286476]]
40,1905,[[0.46297071]]
41,1914,[[0.50561316]]
42,2009,[[0.47591678]]
43,1912,[[0.37658884]]
44,1994,[[0.51222554]]
45,1935,[[0.50787728]]
46,1984,[[0.51230909]]
47,1952,[[0.53043744]]
48,1989,[[0.48445766]]
49,1929,[[0.46543433]]
50,2005,[[0.53615181]]
51,1996,[[0.48314868]]
52,1911,[[0.44474226]]
53,1933,[[0.45517243]]
54,1982,[[0.45349603]]
55,1904,[[0.47358234]]
56,1964,[[0.43920547]]
57,1941,[[0.4727902]]
58,1979,[[0.46210228]]
59,1907,[[0.42884636]]
60,1992,[[0.50568337]]
61,1926,[[0.49180407]]
62,1976,[[0.4221436]]
63,1986,[[0.45401616]]
64,1957,[[0.47695104]]
65,1947,[[0.47253331]]
66,1920,[[0.48734558]]
67,1968,[[0.44435727]]
68,1946,[[0.49619539]]
69,1961,[[0.47357448]]
70,2002,[[0.49425539]]
71,1932,[[0.48077725]]
72,1980,[[0.50494737]]
73,1977,[[0.46298968]]
74,1902,[[0.46213186]]
75,1931,[[0.45559621]]
76,2007,[[0.4933927]]
77,1918,[[0.40817608]]
78,1990,[[0.46806334]]
79,1939,[[0.45857981]]
80,1925,[[0.42352197]]
81,1910,[[0.48833599]]
82,1944,[[0.48192205]]
83,1940,[[0.50395877]]
84,1945,[[0.48572356]]
85,1969,[[0.4605934]]
86,1973,[[0.43689896]]
87,2003,[[0.48854792]]
88,1959,[[0.44253643]]
89,1966,[[0.48701732]]
90,1915,[[0.42600547]]
91,1942,[[0.51774069]]
92,1951,[[0.43017882]]
93,1901,[[0.43393673]]
94,1930,[[0.44857393]]
95,1967,[[0.40015953]]
96,1963,[[0.4703493]]
97,1981,[[0.44759273]]
98,1938,[[0.47769525]]
99,1974,[[0.45037198]]
100,2000,[[0.50953781]]
101,1950,[[0.48493766]]
102,1927,[[0.49223876]]
103,1937,[[0.48320381]]
104,1936,[[0.46986505]]
105,2008,[[0.53668161]]
106,1965,[[0.52536012]]
107,1909,[[0.46300652]]
108,1988,[[0.4439473]]
109,1953,[[0.45481855]]
