,year,words
0,1985,"['globalizzazione', nan, nan]"
1,1943,"['modernizzazione', 'globalizzazione', nan, nan]"
2,1993,"[nan, nan]"
3,1995,"[nan, nan]"
4,1958,"['modernizzazione', 'globalizzazione', nan, nan]"
5,1983,"['globalizzazione', nan, nan]"
6,1919,"['modernizzazione', 'globalizzazione', nan, nan]"
7,1975,"['globalizzazione', nan, nan]"
8,1960,"['globalizzazione', nan, nan]"
9,1922,"['industrializzazione', 'modernizzazione', 'globalizzazione', nan, nan]"
10,1928,"['industrializzazione', 'modernizzazione', 'globalizzazione', nan, nan]"
11,2006,"[nan, nan]"
12,1972,"['globalizzazione', nan, nan]"
13,1908,"['industrializzazione', 'modernizzazione', 'globalizzazione', nan, nan]"
14,1916,"['industrializzazione', 'modernizzazione', 'globalizzazione', nan, nan]"
15,1913,"['industrializzazione', 'modernizzazione', 'globalizzazione', nan, nan]"
16,1987,"['globalizzazione', nan, nan]"
17,1971,"['globalizzazione', nan, nan]"
18,1906,"['industrializzazione', 'modernizzazione', 'globalizzazione', nan, nan]"
19,1924,"['industrializzazione', 'modernizzazione', 'globalizzazione', nan, nan]"
20,1955,"['modernizzazione', 'globalizzazione', nan, nan]"
21,1954,"['modernizzazione', 'globalizzazione', nan, nan]"
22,1956,"['globalizzazione', nan, nan]"
23,1900,"['industrializzazione', 'modernizzazione', 'globalizzazione', nan, nan]"
24,1948,"['modernizzazione', 'globalizzazione', nan, nan]"
25,2004,"[nan, nan]"
26,1978,"['globalizzazione', nan, nan]"
27,1999,"[nan, nan]"
28,1998,"[nan, nan]"
29,1934,"['modernizzazione', 'globalizzazione', nan, nan]"
30,1997,"[nan, nan]"
31,2001,"[nan, nan]"
32,1991,"[nan, nan]"
33,1903,"['industrializzazione', 'modernizzazione', 'globalizzazione', nan, nan]"
34,1962,"['globalizzazione', nan, nan]"
35,1970,"['globalizzazione', nan, nan]"
36,1921,"['industrializzazione', 'modernizzazione', 'globalizzazione', nan, nan]"
37,1917,"['industrializzazione', 'modernizzazione', 'globalizzazione', nan, nan]"
38,1923,"['modernizzazione', 'globalizzazione', nan, nan]"
39,1949,"['modernizzazione', 'globalizzazione', nan, nan]"
40,1905,"['industrializzazione', 'modernizzazione', 'globalizzazione', nan, nan]"
41,1914,"['industrializzazione', 'modernizzazione', 'globalizzazione', nan, nan]"
42,2009,"[nan, nan]"
43,1912,"['industrializzazione', 'modernizzazione', 'globalizzazione', nan, nan]"
44,1994,"[nan, nan]"
45,1935,"['modernizzazione', 'globalizzazione', nan, nan]"
46,1984,"['globalizzazione', nan, nan]"
47,1952,"['modernizzazione', 'globalizzazione', nan, nan]"
48,1989,"[nan, nan]"
49,1929,"['globalizzazione', nan, nan]"
50,2005,"[nan, nan]"
51,1996,"[nan, nan]"
52,1911,"['industrializzazione', 'modernizzazione', 'globalizzazione', nan, nan]"
53,1933,"['modernizzazione', 'globalizzazione', nan, nan]"
54,1982,"['globalizzazione', nan, nan]"
55,1904,"['industrializzazione', 'modernizzazione', 'globalizzazione', nan, nan]"
56,1964,"['globalizzazione', nan, nan]"
57,1941,"['modernizzazione', 'globalizzazione', nan, nan]"
58,1979,"['globalizzazione', nan, nan]"
59,1907,"['industrializzazione', 'modernizzazione', 'globalizzazione', nan, nan]"
60,1992,"[nan, nan]"
61,1926,"['modernizzazione', 'globalizzazione', nan, nan]"
62,1976,"['globalizzazione', nan, nan]"
63,1986,"['globalizzazione', nan, nan]"
64,1957,"['modernizzazione', 'globalizzazione', nan, nan]"
65,1947,"['modernizzazione', 'globalizzazione', nan, nan]"
66,1920,"['modernizzazione', 'globalizzazione', nan, nan]"
67,1968,"['globalizzazione', nan, nan]"
68,1946,"['modernizzazione', 'globalizzazione', nan, nan]"
69,1961,"['globalizzazione', nan, nan]"
70,2002,"[nan, nan]"
71,1932,"['modernizzazione', 'globalizzazione', nan, nan]"
72,1980,"['globalizzazione', nan, nan]"
73,1977,"['globalizzazione', nan, nan]"
74,1902,"['industrializzazione', 'modernizzazione', 'globalizzazione', nan, nan]"
75,1931,"['modernizzazione', 'globalizzazione', nan, nan]"
76,2007,"[nan, nan]"
77,1918,"['industrializzazione', 'modernizzazione', 'globalizzazione', nan, nan]"
78,1990,"[nan, nan]"
79,1939,"['modernizzazione', 'globalizzazione', nan, nan]"
80,1925,"['modernizzazione', 'globalizzazione', nan, nan]"
81,1910,"['industrializzazione', 'modernizzazione', 'globalizzazione', nan, nan]"
82,1944,"['modernizzazione', 'globalizzazione', nan, nan]"
83,1940,"['modernizzazione', 'globalizzazione', nan, nan]"
84,1945,"['modernizzazione', 'globalizzazione', nan, nan]"
85,1969,"['globalizzazione', nan, nan]"
86,1973,"['globalizzazione', nan, nan]"
87,2003,"[nan, nan]"
88,1959,"['globalizzazione', nan, nan]"
89,1966,"['globalizzazione', nan, nan]"
90,1915,"['industrializzazione', 'modernizzazione', 'globalizzazione', nan, nan]"
91,1942,"['modernizzazione', 'globalizzazione', nan, nan]"
92,1951,"['globalizzazione', nan, nan]"
93,1901,"['industrializzazione', 'modernizzazione', 'globalizzazione', nan, nan]"
94,1930,"['modernizzazione', 'globalizzazione', nan, nan]"
95,1967,"['globalizzazione', nan, nan]"
96,1963,"['modernizzazione', 'globalizzazione', nan, nan]"
97,1981,"['globalizzazione', nan, nan]"
98,1938,"['modernizzazione', 'globalizzazione', nan, nan]"
99,1974,"['globalizzazione', nan, nan]"
100,2000,"[nan, nan]"
101,1950,"['modernizzazione', 'globalizzazione', nan, nan]"
102,1927,"['modernizzazione', 'globalizzazione', nan, nan]"
103,1937,"['modernizzazione', 'globalizzazione', nan, nan]"
104,1936,"['modernizzazione', 'globalizzazione', nan, nan]"
105,2008,"[nan, nan]"
106,1965,"['globalizzazione', nan, nan]"
107,1909,"['industrializzazione', 'modernizzazione', 'globalizzazione', nan, nan]"
108,1988,"[nan, nan]"
109,1953,"['modernizzazione', 'globalizzazione', nan, nan]"
