,year,cosine_similarity
0,1985,[[0.40029859]]
1,1943,[[0.39578431]]
2,1993,[[0.41998448]]
3,1995,[[0.48329853]]
4,1958,[[0.40785368]]
5,1983,[[0.45812325]]
6,1919,[[0.40782759]]
7,1975,[[0.41786603]]
8,1960,[[0.43520814]]
9,1922,[[0.35555987]]
10,1928,[[0.44972346]]
11,2006,[[0.45904926]]
12,1972,[[0.43566083]]
13,1908,[[0.47509284]]
14,1916,[[0.44159132]]
15,1913,[[0.45303091]]
16,1987,[[0.46386344]]
17,1971,[[0.42233254]]
18,1906,[[0.43912805]]
19,1924,[[0.30126572]]
20,1955,[[0.44050058]]
21,1954,[[0.4449209]]
22,1956,[[0.42780221]]
23,1900,[[0.42096699]]
24,1948,[[0.45141733]]
25,2004,[[0.49089577]]
26,1978,[[0.44795987]]
27,1999,[[0.4314484]]
28,1998,[[0.4517272]]
29,1934,[[0.31351629]]
30,1997,[[0.42415009]]
31,2001,[[0.46207459]]
32,1991,[[0.46530812]]
33,1903,[[0.36522431]]
34,1962,[[0.43106521]]
35,1970,[[0.42153177]]
36,1921,[[0.35824432]]
37,1917,[[0.45031393]]
38,1923,[[0.38713523]]
39,1949,[[0.39941869]]
40,1905,[[0.44518607]]
41,1914,[[0.35669036]]
42,2009,[[0.44143438]]
43,1912,[[0.38905037]]
44,1994,[[0.41124517]]
45,1935,[[0.40635679]]
46,1984,[[0.43405194]]
47,1952,[[0.48983046]]
48,1989,[[0.45937597]]
49,1929,[[0.4036053]]
50,2005,[[0.45760327]]
51,1996,[[0.43875927]]
52,1911,[[0.38285887]]
53,1933,[[0.36963449]]
54,1982,[[0.42384894]]
55,1904,[[0.35316667]]
56,1964,[[0.39495843]]
57,1941,[[0.39923307]]
58,1979,[[0.43567718]]
59,1907,[[0.39244588]]
60,1992,[[0.42304717]]
61,1926,[[0.4051813]]
62,1976,[[0.46106279]]
63,1986,[[0.44758974]]
64,1957,[[0.41464802]]
65,1947,[[0.40670302]]
66,1920,[[0.3389296]]
67,1968,[[0.41933053]]
68,1946,[[0.38353056]]
69,1961,[[0.45563473]]
70,2002,[[0.44872193]]
71,1932,[[0.36198905]]
72,1980,[[0.45550275]]
73,1977,[[0.43288756]]
74,1902,[[0.40238832]]
75,1931,[[0.35798987]]
76,2007,[[0.44442621]]
77,1918,[[0.43475654]]
78,1990,[[0.43732927]]
79,1939,[[0.38902623]]
80,1925,[[0.38991238]]
81,1910,[[0.4467189]]
82,1944,[[0.36136913]]
83,1940,[[0.39555112]]
84,1945,[[0.39350292]]
85,1969,[[0.46194072]]
86,1973,[[0.38208655]]
87,2003,[[0.45467558]]
88,1959,[[0.39323001]]
89,1966,[[0.42442183]]
90,1915,[[0.40081314]]
91,1942,[[0.42536476]]
92,1951,[[0.45388535]]
93,1901,[[0.3121573]]
94,1930,[[0.3925156]]
95,1967,[[0.40573289]]
96,1963,[[0.45460132]]
97,1981,[[0.41083834]]
98,1938,[[0.36626109]]
99,1974,[[0.42817669]]
100,2000,[[0.41240892]]
101,1950,[[0.42865699]]
102,1927,[[0.3275006]]
103,1937,[[0.42219714]]
104,1936,[[0.45613221]]
105,2008,[[0.49371636]]
106,1965,[[0.43186196]]
107,1909,[[0.39931663]]
108,1988,[[0.44841164]]
109,1953,[[0.42159607]]
