,year,words
0,1985,"['rialzista', nan, nan]"
1,1943,"['boom', 'rialzista', nan, nan]"
2,1993,"['rialzista', nan, nan]"
3,1995,"['rialzista', nan, nan]"
4,1958,"['boom', 'rialzista', nan, nan]"
5,1983,"['rialzista', nan, nan]"
6,1919,"['boom', 'rialzista', nan, nan]"
7,1975,"['rialzista', nan, nan]"
8,1960,"['boom', 'rialzista', nan, nan]"
9,1922,"['boom', 'rialzista', nan, nan]"
10,1928,"['boom', 'rialzista', nan, nan]"
11,2006,"['rialzista', nan, nan]"
12,1972,"['rialzista', nan, nan]"
13,1908,"['boom', 'rialzista', nan, nan]"
14,1916,"['boom', 'rialzista', nan, nan]"
15,1913,"['boom', 'rialzista', nan, nan]"
16,1987,"['rialzista', nan, nan]"
17,1971,"['rialzista', nan, nan]"
18,1906,"['boom', 'rialzista', nan, nan]"
19,1924,"['boom', 'rialzista', nan, nan]"
20,1955,"['boom', 'rialzista', nan, nan]"
21,1954,"['boom', 'rialzista', nan, nan]"
22,1956,"['boom', 'rialzista', nan, nan]"
23,1900,"['boom', 'rialzista', nan, nan]"
24,1948,"['boom', 'rialzista', nan, nan]"
25,2004,"['rialzista', nan, nan]"
26,1978,"['rialzista', nan, nan]"
27,1999,"['rialzista', nan, nan]"
28,1998,"['rialzista', nan, nan]"
29,1934,"['boom', 'rialzista', nan, nan]"
30,1997,"['rialzista', nan, nan]"
31,2001,"['rialzista', nan, nan]"
32,1991,"['rialzista', nan, nan]"
33,1903,"['boom', 'rialzista', nan, nan]"
34,1962,"['rialzista', nan, nan]"
35,1970,"['rialzista', nan, nan]"
36,1921,"['boom', 'rialzista', nan, nan]"
37,1917,"['boom', 'rialzista', nan, nan]"
38,1923,"['boom', 'rialzista', nan, nan]"
39,1949,"['boom', 'rialzista', nan, nan]"
40,1905,"['boom', 'rialzista', nan, nan]"
41,1914,"['boom', 'rialzista', nan, nan]"
42,2009,"['rialzista', nan, nan]"
43,1912,"['boom', 'rialzista', nan, nan]"
44,1994,"['rialzista', nan, nan]"
45,1935,"['boom', 'rialzista', nan, nan]"
46,1984,"['rialzista', nan, nan]"
47,1952,"['boom', 'rialzista', nan, nan]"
48,1989,"['rialzista', nan, nan]"
49,1929,"['boom', 'rialzista', nan, nan]"
50,2005,"['rialzista', nan, nan]"
51,1996,"['rialzista', nan, nan]"
52,1911,"['boom', 'rialzista', nan, nan]"
53,1933,"['boom', 'rialzista', nan, nan]"
54,1982,"['rialzista', nan, nan]"
55,1904,"['boom', 'rialzista', nan, nan]"
56,1964,"['rialzista', nan, nan]"
57,1941,"['boom', 'rialzista', nan, nan]"
58,1979,"['rialzista', nan, nan]"
59,1907,"['boom', 'rialzista', nan, nan]"
60,1992,"['rialzista', nan, nan]"
61,1926,"['boom', 'rialzista', nan, nan]"
62,1976,"['rialzista', nan, nan]"
63,1986,"['rialzista', nan, nan]"
64,1957,"['boom', 'rialzista', nan, nan]"
65,1947,"['boom', 'rialzista', nan, nan]"
66,1920,"['boom', 'rialzista', nan, nan]"
67,1968,"['rialzista', nan, nan]"
68,1946,"['boom', 'rialzista', nan, nan]"
69,1961,"['boom', 'rialzista', nan, nan]"
70,2002,"['rialzista', nan, nan]"
71,1932,"['boom', 'rialzista', nan, nan]"
72,1980,"['rialzista', nan, nan]"
73,1977,"['rialzista', nan, nan]"
74,1902,"['boom', 'rialzista', nan, nan]"
75,1931,"['boom', 'rialzista', nan, nan]"
76,2007,"['rialzista', nan, nan]"
77,1918,"['boom', 'rialzista', nan, nan]"
78,1990,"['rialzista', nan, nan]"
79,1939,"['boom', 'rialzista', nan, nan]"
80,1925,"['boom', 'rialzista', nan, nan]"
81,1910,"['boom', 'rialzista', nan, nan]"
82,1944,"['boom', 'rialzista', nan, nan]"
83,1940,"['boom', 'rialzista', nan, nan]"
84,1945,"['rialzista', nan, nan]"
85,1969,"['rialzista', nan, nan]"
86,1973,"['rialzista', nan, nan]"
87,2003,"['rialzista', nan, nan]"
88,1959,"['boom', 'rialzista', nan, nan]"
89,1966,"['rialzista', nan, nan]"
90,1915,"['boom', 'rialzista', nan, nan]"
91,1942,"['boom', 'rialzista', nan, nan]"
92,1951,"['boom', 'rialzista', nan, nan]"
93,1901,"['boom', 'rialzista', nan, nan]"
94,1930,"['boom', 'rialzista', nan, nan]"
95,1967,"['rialzista', nan, nan]"
96,1963,"['rialzista', nan, nan]"
97,1981,"['rialzista', nan, nan]"
98,1938,"['boom', 'rialzista', nan, nan]"
99,1974,"['rialzista', nan, nan]"
100,2000,"['rialzista', nan, nan]"
101,1950,"['boom', 'rialzista', nan, nan]"
102,1927,"['boom', 'rialzista', nan, nan]"
103,1937,"['boom', 'rialzista', nan, nan]"
104,1936,"['boom', 'rialzista', nan, nan]"
105,2008,"['rialzista', nan, nan]"
106,1965,"['rialzista', nan, nan]"
107,1909,"['boom', 'rialzista', nan, nan]"
108,1988,"['rialzista', nan, nan]"
109,1953,"['boom', 'rialzista', nan, nan]"
