,year,cosine_similarity
0,1985,[[0.58438093]]
1,1943,[[0.54951023]]
2,1993,[[0.56644528]]
3,1995,[[0.61512548]]
4,1958,[[0.56883829]]
5,1983,[[0.59332617]]
6,1919,[[0.55851686]]
7,1975,[[0.53434097]]
8,1960,[[0.53763841]]
9,1922,[[0.52287701]]
10,1928,[[0.53894767]]
11,2006,[[0.57715395]]
12,1972,[[0.59189866]]
13,1908,[[0.48918803]]
14,1916,[[0.54236818]]
15,1913,[[0.52801528]]
16,1987,[[0.57789749]]
17,1971,[[0.58791522]]
18,1906,[[0.58113878]]
19,1924,[[0.47335989]]
20,1955,[[0.54871628]]
21,1954,[[0.56683267]]
22,1956,[[0.56524863]]
23,1900,[[0.49395317]]
24,1948,[[0.54803678]]
25,2004,[[0.62095163]]
26,1978,[[0.61990769]]
27,1999,[[0.58340516]]
28,1998,[[0.55247634]]
29,1934,[[0.46639918]]
30,1997,[[0.60689641]]
31,2001,[[0.59034528]]
32,1991,[[0.62290248]]
33,1903,[[0.51450428]]
34,1962,[[0.54760419]]
35,1970,[[0.55793982]]
36,1921,[[0.50479735]]
37,1917,[[0.55298836]]
38,1923,[[0.53425537]]
39,1949,[[0.59826541]]
40,1905,[[0.52542479]]
41,1914,[[0.52837712]]
42,2009,[[0.62222772]]
43,1912,[[0.51316851]]
44,1994,[[0.55735103]]
45,1935,[[0.55456776]]
46,1984,[[0.58177711]]
47,1952,[[0.56291699]]
48,1989,[[0.5694481]]
49,1929,[[0.51194217]]
50,2005,[[0.62788907]]
51,1996,[[0.58524194]]
52,1911,[[0.51438925]]
53,1933,[[0.48186912]]
54,1982,[[0.58346663]]
55,1904,[[0.50463068]]
56,1964,[[0.59500446]]
57,1941,[[0.52027506]]
58,1979,[[0.54297016]]
59,1907,[[0.49630405]]
60,1992,[[0.54511309]]
61,1926,[[0.57830436]]
62,1976,[[0.63953961]]
63,1986,[[0.553102]]
64,1957,[[0.58162892]]
65,1947,[[0.57116717]]
66,1920,[[0.53090739]]
67,1968,[[0.59916797]]
68,1946,[[0.56227421]]
69,1961,[[0.57894711]]
70,2002,[[0.63093616]]
71,1932,[[0.53142091]]
72,1980,[[0.57963384]]
73,1977,[[0.55872614]]
74,1902,[[0.55074502]]
75,1931,[[0.52065397]]
76,2007,[[0.59443409]]
77,1918,[[0.53781371]]
78,1990,[[0.60480351]]
79,1939,[[0.50910048]]
80,1925,[[0.50137665]]
81,1910,[[0.54248078]]
82,1944,[[0.46891173]]
83,1940,[[0.5792097]]
84,1945,[[0.55991392]]
85,1969,[[0.60354077]]
86,1973,[[0.52441173]]
87,2003,[[0.63023296]]
88,1959,[[0.53700009]]
89,1966,[[0.5926675]]
90,1915,[[0.55526565]]
91,1942,[[0.57563498]]
92,1951,[[0.53728128]]
93,1901,[[0.48848892]]
94,1930,[[0.54292237]]
95,1967,[[0.59271796]]
96,1963,[[0.59337253]]
97,1981,[[0.5197778]]
98,1938,[[0.48588324]]
99,1974,[[0.53921389]]
100,2000,[[0.59525373]]
101,1950,[[0.52241631]]
102,1927,[[0.49934403]]
103,1937,[[0.59215744]]
104,1936,[[0.58108038]]
105,2008,[[0.62100977]]
106,1965,[[0.60019172]]
107,1909,[[0.51333697]]
108,1988,[[0.60438795]]
109,1953,[[0.56504419]]
