,year,words
0,1985,"['ambientalismo', nan, nan]"
1,1943,"['ambientalismo', nan, nan]"
2,1993,"['ambientalismo', nan, nan]"
3,1995,"['ambientalismo', nan, nan]"
4,1958,"['ambientalismo', nan, nan]"
5,1983,"['ambientalismo', nan, nan]"
6,1919,"['ambientalismo', nan, nan]"
7,1975,"['ambientalismo', nan, nan]"
8,1960,"['ambientalismo', nan, nan]"
9,1922,"['ambientalismo', nan, nan]"
10,1928,"['ambientalismo', nan, nan]"
11,2006,"['ambientalismo', nan, nan]"
12,1972,"['ambientalismo', nan, nan]"
13,1908,"['ambientalismo', nan, nan]"
14,1916,"['ambientalismo', nan, nan]"
15,1913,"['ambientalismo', nan, nan]"
16,1987,"['ambientalismo', nan, nan]"
17,1971,"['ambientalismo', nan, nan]"
18,1906,"['ambientalismo', nan, nan]"
19,1924,"['ambientalismo', nan, nan]"
20,1955,"['ambientalismo', nan, nan]"
21,1954,"['ambientalismo', nan, nan]"
22,1956,"['ambientalismo', nan, nan]"
23,1900,"['ambientalismo', nan, nan]"
24,1948,"['ambientalismo', nan, nan]"
25,2004,"['ambientalismo', nan, nan]"
26,1978,"['ambientalismo', nan, nan]"
27,1999,"['ambientalismo', nan, nan]"
28,1998,"['ambientalismo', nan, nan]"
29,1934,"['ambientalismo', nan, nan]"
30,1997,"['ambientalismo', nan, nan]"
31,2001,"['ambientalismo', nan, nan]"
32,1991,"['ambientalismo', nan, nan]"
33,1903,"['ambientalismo', nan, nan]"
34,1962,"['ambientalismo', nan, nan]"
35,1970,"['ambientalismo', nan, nan]"
36,1921,"['ambientalismo', nan, nan]"
37,1917,"['ambientalismo', nan, nan]"
38,1923,"['ambientalismo', nan, nan]"
39,1949,"['ambientalismo', nan, nan]"
40,1905,"['ambientalismo', nan, nan]"
41,1914,"['ambientalismo', nan, nan]"
42,2009,"['ambientalismo', nan, nan]"
43,1912,"['ambientalismo', nan, nan]"
44,1994,"['ambientalismo', nan, nan]"
45,1935,"['ambientalismo', nan, nan]"
46,1984,"['ambientalismo', nan, nan]"
47,1952,"['ambientalismo', nan, nan]"
48,1989,"['ambientalismo', nan, nan]"
49,1929,"['ambientalismo', nan, nan]"
50,2005,"['ambientalismo', nan, nan]"
51,1996,"['ambientalismo', nan, nan]"
52,1911,"['ambientalismo', nan, nan]"
53,1933,"['ambientalismo', nan, nan]"
54,1982,"['ambientalismo', nan, nan]"
55,1904,"['ambientalismo', nan, nan]"
56,1964,"['ambientalismo', nan, nan]"
57,1941,"['ambientalismo', nan, nan]"
58,1979,"['ambientalismo', nan, nan]"
59,1907,"['ambientalismo', nan, nan]"
60,1992,"['ambientalismo', nan, nan]"
61,1926,"['ambientalismo', nan, nan]"
62,1976,"['ambientalismo', nan, nan]"
63,1986,"['ambientalismo', nan, nan]"
64,1957,"['ambientalismo', nan, nan]"
65,1947,"['ambientalismo', nan, nan]"
66,1920,"['ambientalismo', nan, nan]"
67,1968,"['ambientalismo', nan, nan]"
68,1946,"['ambientalismo', nan, nan]"
69,1961,"['ambientalismo', nan, nan]"
70,2002,"['ambientalismo', nan, nan]"
71,1932,"['ambientalismo', nan, nan]"
72,1980,"['ambientalismo', nan, nan]"
73,1977,"['ambientalismo', nan, nan]"
74,1902,"['ambientalismo', nan, nan]"
75,1931,"['ambientalismo', nan, nan]"
76,2007,"['ambientalismo', nan, nan]"
77,1918,"['ambientalismo', nan, nan]"
78,1990,"['ambientalismo', nan, nan]"
79,1939,"['ambientalismo', nan, nan]"
80,1925,"['ambientalismo', nan, nan]"
81,1910,"['ambientalismo', nan, nan]"
82,1944,"['ambientalismo', nan, nan]"
83,1940,"['ambientalismo', nan, nan]"
84,1945,"['ambientalismo', nan, nan]"
85,1969,"['ambientalismo', nan, nan]"
86,1973,"['ambientalismo', nan, nan]"
87,2003,"['ambientalismo', nan, nan]"
88,1959,"['ambientalismo', nan, nan]"
89,1966,"['ambientalismo', nan, nan]"
90,1915,"['ambientalismo', nan, nan]"
91,1942,"['ambientalismo', nan, nan]"
92,1951,"['ambientalismo', nan, nan]"
93,1901,"['ambientalismo', nan, nan]"
94,1930,"['ambientalismo', nan, nan]"
95,1967,"['ambientalismo', nan, nan]"
96,1963,"['ambientalismo', nan, nan]"
97,1981,"['ambientalismo', nan, nan]"
98,1938,"['ambientalismo', nan, nan]"
99,1974,"['ambientalismo', nan, nan]"
100,2000,"['ambientalismo', nan, nan]"
101,1950,"['ambientalismo', nan, nan]"
102,1927,"['ambientalismo', nan, nan]"
103,1937,"['ambientalismo', nan, nan]"
104,1936,"['ambientalismo', nan, nan]"
105,2008,"['ambientalismo', nan, nan]"
106,1965,"['ambientalismo', nan, nan]"
107,1909,"['ambientalismo', nan, nan]"
108,1988,"['ambientalismo', nan, nan]"
109,1953,"['ambientalismo', nan, nan]"
