,year,cosine_similarity
0,1985,[[0.48073302]]
1,1943,[[0.30666095]]
2,1993,[[0.51523211]]
3,1995,[[0.51425119]]
4,1958,[[0.37090353]]
5,1983,[[0.51000498]]
6,1919,[[0.30803245]]
7,1975,[[0.47748252]]
8,1960,[[0.53340408]]
9,1922,[[0.31571548]]
10,1928,[[0.38781756]]
11,2006,[[0.50145189]]
12,1972,[[0.56753324]]
13,1908,[[0.43186274]]
14,1916,[[0.4269848]]
15,1913,[[0.42244694]]
16,1987,[[0.47381857]]
17,1971,[[0.57437728]]
18,1906,[[0.38143313]]
19,1924,[[0.29618529]]
20,1955,[[0.30785755]]
21,1954,[[0.36034693]]
22,1956,[[0.35484185]]
23,1900,[[0.44205673]]
24,1948,[[0.41648101]]
25,2004,[[0.49930173]]
26,1978,[[0.53120449]]
27,1999,[[0.55293376]]
28,1998,[[0.52512809]]
29,1934,[[0.34882781]]
30,1997,[[0.56772144]]
31,2001,[[0.49085322]]
32,1991,[[0.51952105]]
33,1903,[[0.47839406]]
34,1962,[[0.53408033]]
35,1970,[[0.5394231]]
36,1921,[[0.29662027]]
37,1917,[[0.31904723]]
38,1923,[[0.3555724]]
39,1949,[[0.35777378]]
40,1905,[[0.33604395]]
41,1914,[[0.37144043]]
42,2009,[[0.51797282]]
43,1912,[[0.34625578]]
44,1994,[[0.55968207]]
45,1935,[[0.37464237]]
46,1984,[[0.54563634]]
47,1952,[[0.31844389]]
48,1989,[[0.53913856]]
49,1929,[[0.31013457]]
50,2005,[[0.53365109]]
51,1996,[[0.49025632]]
52,1911,[[0.45917308]]
53,1933,[[0.32278425]]
54,1982,[[0.54691641]]
55,1904,[[0.41799107]]
56,1964,[[0.48545104]]
57,1941,[[0.35767904]]
58,1979,[[0.55632134]]
59,1907,[[0.41701297]]
60,1992,[[0.54303305]]
61,1926,[[0.39472301]]
62,1976,[[0.4990967]]
63,1986,[[0.47685235]]
64,1957,[[0.33656507]]
65,1947,[[0.31078543]]
66,1920,[[0.35361892]]
67,1968,[[0.50228364]]
68,1946,[[0.31470228]]
69,1961,[[0.49476457]]
70,2002,[[0.53814929]]
71,1932,[[0.40796967]]
72,1980,[[0.51415783]]
73,1977,[[0.51178801]]
74,1902,[[0.41920149]]
75,1931,[[0.39247762]]
76,2007,[[0.53033617]]
77,1918,[[0.34574141]]
78,1990,[[0.5323164]]
79,1939,[[0.36846979]]
80,1925,[[0.30840675]]
81,1910,[[0.45103268]]
82,1944,[[0.37079966]]
83,1940,[[0.3225404]]
84,1945,[[0.35089807]]
85,1969,[[0.50617786]]
86,1973,[[0.47729391]]
87,2003,[[0.50147153]]
88,1959,[[0.34519441]]
89,1966,[[0.50746324]]
90,1915,[[0.41415023]]
91,1942,[[0.36186869]]
92,1951,[[0.31912194]]
93,1901,[[0.34234841]]
94,1930,[[0.3957488]]
95,1967,[[0.48211797]]
96,1963,[[0.40017344]]
97,1981,[[0.55311195]]
98,1938,[[0.21389049]]
99,1974,[[0.50495713]]
100,2000,[[0.53892429]]
101,1950,[[0.31296937]]
102,1927,[[0.29536786]]
103,1937,[[0.40640372]]
104,1936,[[0.33663338]]
105,2008,[[0.58316563]]
106,1965,[[0.50208875]]
107,1909,[[0.40321906]]
108,1988,[[0.50324406]]
109,1953,[[0.36933808]]
