,year,words
0,1985,"['ribassista', nan, nan]"
1,1943,"['sottosviluppo', 'stagnazione', 'recessione', 'ribassista', nan, nan]"
2,1993,"['ribassista', nan, nan]"
3,1995,"['stagnazione', 'ribassista', nan, nan]"
4,1958,"['sottosviluppo', 'stagnazione', 'ribassista', nan, nan]"
5,1983,"['ribassista', nan, nan]"
6,1919,"['sottosviluppo', 'stagnazione', 'recessione', 'ribassista', nan, nan]"
7,1975,"['ribassista', nan, nan]"
8,1960,"['stagnazione', 'ribassista', nan, nan]"
9,1922,"['sottosviluppo', 'stagnazione', 'recessione', 'ribassista', nan, nan]"
10,1928,"['sottosviluppo', 'stagnazione', 'recessione', 'ribassista', nan, nan]"
11,2006,"['stagnazione', 'ribassista', nan, nan]"
12,1972,"['ribassista', nan, nan]"
13,1908,"['sottosviluppo', 'stagnazione', 'recessione', 'ribassista', nan, nan]"
14,1916,"['sottosviluppo', 'stagnazione', 'recessione', 'ribassista', nan, nan]"
15,1913,"['sottosviluppo', 'stagnazione', 'recessione', 'ribassista', nan, nan]"
16,1987,"['ribassista', nan, nan]"
17,1971,"['ribassista', nan, nan]"
18,1906,"['sottosviluppo', 'stagnazione', 'recessione', 'ribassista', nan, nan]"
19,1924,"['sottosviluppo', 'stagnazione', 'recessione', 'ribassista', nan, nan]"
20,1955,"['sottosviluppo', 'stagnazione', 'recessione', 'ribassista', nan, nan]"
21,1954,"['sottosviluppo', 'stagnazione', 'recessione', 'ribassista', nan, nan]"
22,1956,"['sottosviluppo', 'stagnazione', 'ribassista', nan, nan]"
23,1900,"['sottosviluppo', 'stagnazione', 'recessione', 'ribassista', nan, nan]"
24,1948,"['sottosviluppo', 'stagnazione', 'recessione', 'ribassista', nan, nan]"
25,2004,"['ribassista', nan, nan]"
26,1978,"['ribassista', nan, nan]"
27,1999,"['ribassista', nan, nan]"
28,1998,"['ribassista', nan, nan]"
29,1934,"['sottosviluppo', 'stagnazione', 'recessione', 'ribassista', nan, nan]"
30,1997,"['ribassista', nan, nan]"
31,2001,"['ribassista', nan, nan]"
32,1991,"['ribassista', nan, nan]"
33,1903,"['sottosviluppo', 'stagnazione', 'recessione', 'ribassista', nan, nan]"
34,1962,"['stagnazione', 'ribassista', nan, nan]"
35,1970,"['stagnazione', 'ribassista', nan, nan]"
36,1921,"['sottosviluppo', 'stagnazione', 'recessione', 'ribassista', nan, nan]"
37,1917,"['sottosviluppo', 'stagnazione', 'recessione', 'ribassista', nan, nan]"
38,1923,"['sottosviluppo', 'stagnazione', 'recessione', 'ribassista', nan, nan]"
39,1949,"['sottosviluppo', 'stagnazione', 'recessione', 'ribassista', nan, nan]"
40,1905,"['sottosviluppo', 'stagnazione', 'recessione', 'ribassista', nan, nan]"
41,1914,"['sottosviluppo', 'stagnazione', 'recessione', 'ribassista', nan, nan]"
42,2009,"['stagnazione', 'ribassista', nan, nan]"
43,1912,"['sottosviluppo', 'stagnazione', 'recessione', 'ribassista', nan, nan]"
44,1994,"['ribassista', nan, nan]"
45,1935,"['sottosviluppo', 'stagnazione', 'recessione', 'ribassista', nan, nan]"
46,1984,"['stagnazione', 'ribassista', nan, nan]"
47,1952,"['sottosviluppo', 'stagnazione', 'recessione', 'ribassista', nan, nan]"
48,1989,"['ribassista', nan, nan]"
49,1929,"['sottosviluppo', 'stagnazione', 'recessione', 'ribassista', nan, nan]"
50,2005,"['ribassista', nan, nan]"
51,1996,"['ribassista', nan, nan]"
52,1911,"['sottosviluppo', 'stagnazione', 'recessione', 'ribassista', nan, nan]"
53,1933,"['sottosviluppo', 'stagnazione', 'recessione', 'ribassista', nan, nan]"
54,1982,"['ribassista', nan, nan]"
