ideology,governance,economics
demokratie,governance,governance
 diktatur, regierung, regierung
 autoritär, verwaltung, verwaltung
 autoritarismus, verwaltung, verwaltung
 kommunismus, gerichtsbarkeit, gerichtsbarkeit
 kommunist, bürokratie, bürokratie
 totaliarismus, bürokrat, bürokrat
 sozialismus, bürokraten, bürokraten
 sozialist, behörde, behörde
 anarchie, behörden, behörden
 anarchist, politik, politik
 anarchismus, politisch, politisch
 konservatismus, souveränität, souveränität
 faschismus, ministerium, ministerium
 Faschist, regime, regime
 liberalismus, gemeinwesen, gemeinwesen
 libertarismus, öffentlichkeit, öffentlichkeit
 liberalisierung, besteuerung, besteuerung
 nationalismus, steuer, steuer
 nationalist,,
 populismus,,
 populist,,
 progressivismus,,
 progressiv,,
 humanismus,,
 humanist,,
 kapitalismus,,
 kapitalist,,
 utopie,,
 utopisch,,
 gleichheit,,
 gerechtigkeit,,
