ideology,governance,economics
демократия,управление,экономический
 диктатура, правительство, экономика
 авторитарный, администрация, развитие
 авторитаризм, административный, разработка
 коммунизм, юрисдикция, инфляция
 коммунист, юрисдикционный, занятость
 тоталитаризм, бюрократия, безработица
 социализм, бюрократ, фискальный
 социалистический, бюрократы, финансовый
 анархия, власть, финансы
 анархист, органы власти, коммерческий
 анархизм, политика, денежный
 консерватизм, политический, капитал
 фашизм, суверенитет, рынок
 фашист, министерство, акции
 либерализм, режим, корпоративизм
 либерал, государство, валюта
 либертарианство, общественность, монополия
 либертарианство, налогообложение, фирмы
 либерализация, налог, глобализация
 национализм,, глобализация
 националист,, модернизация
 популизм,, модернизировать
 популист,, промышленность
 прогрессизм,, индустриализация
 прогрессивный,, индустриализация
 гуманизм,, материализм
 гуманист,, материалист
 капитализм,, капитал
 капиталист,, сокращение
 утопия,, торговля
 утопический,,
 равенство,,
 справедливость,,
